S
I=33,J=33
0.000000, 0.000000, 0.000000
4.000000, 0.000000, 0.000000
8.000000, 0.000000, 0.000000
12.000000, 0.000000, 0.000000
16.000000, 0.000000, 0.000000
20.000000, 0.000000, 0.000000
24.000000, 0.000000, 0.000000
28.000000, 0.000000, 0.000000
32.000000, 0.000000, 0.000000
36.000000, 0.000000, 0.000000
40.000000, 0.000000, 0.000000
44.000000, 0.000000, 0.000000
48.000000, 0.000000, 0.000000
52.000000, 0.000000, 0.000000
56.000000, 0.000000, 0.000000
60.000000, 0.000000, 0.000000
64.000000, 0.000000, 0.000000
68.000000, 0.000000, 0.000000
72.000000, 0.000000, 0.000000
76.000000, 0.000000, 0.000000
80.000000, 0.000000, 0.000000
84.000000, 0.000000, 0.000000
88.000000, 0.000000, 0.000000
92.000000, 0.000000, 0.000000
96.000000, 0.000000, 0.000000
100.000000, 0.000000, 0.000000
104.000000, 0.000000, 0.000000
108.000000, 0.000000, 0.000000
112.000000, 0.000000, 0.000000
116.000000, 0.000000, 0.000000
120.000000, 0.000000, 0.000000
124.000000, 0.000000, 0.000000
0.000000, 4.000000, 0.000000
4.000000, 4.000000, 0.000000
8.000000, 4.000000, 0.000000
12.000000, 4.000000, 0.000000
16.000000, 4.000000, 0.000000
20.000000, 4.000000, 0.000000
24.000000, 4.000000, 0.000000
28.000000, 4.000000, 0.000000
32.000000, 4.000000, 0.000000
36.000000, 4.000000, 0.000000
40.000000, 4.000000, 0.000000
44.000000, 4.000000, 0.000000
48.000000, 4.000000, 0.000000
52.000000, 4.000000, 0.000000
56.000000, 4.000000, 0.000000
60.000000, 4.000000, 0.000000
64.000000, 4.000000, 0.000000
68.000000, 4.000000, 0.000000
72.000000, 4.000000, 0.000000
76.000000, 4.000000, 0.000000
80.000000, 4.000000, 0.000000
84.000000, 4.000000, 0.000000
88.000000, 4.000000, 0.000000
92.000000, 4.000000, 0.000000
96.000000, 4.000000, 0.000000
100.000000, 4.000000, 0.000000
104.000000, 4.000000, 0.000000
108.000000, 4.000000, 0.000000
112.000000, 4.000000, 0.000000
116.000000, 4.000000, 0.000000
120.000000, 4.000000, 0.000000
124.000000, 4.000000, 0.000000
0.000000, 8.000000, 0.000000
4.000000, 8.000000, 0.000000
8.000000, 8.000000, 0.000000
12.000000, 8.000000, 0.000000
16.000000, 8.000000, 0.000000
20.000000, 8.000000, 0.000000
24.000000, 8.000000, 0.000000
28.000000, 8.000000, 0.000000
32.000000, 8.000000, 0.000000
36.000000, 8.000000, 0.000000
40.000000, 8.000000, 0.000000
44.000000, 8.000000, 0.000000
48.000000, 8.000000, 0.000000
52.000000, 8.000000, 0.000000
56.000000, 8.000000, 0.000000
60.000000, 8.000000, 0.000000
64.000000, 8.000000, 0.000000
68.000000, 8.000000, 0.000000
72.000000, 8.000000, 0.000000
76.000000, 8.000000, 0.000000
80.000000, 8.000000, 0.000000
84.000000, 8.000000, 0.000000
88.000000, 8.000000, 0.000000
92.000000, 8.000000, 0.000000
96.000000, 8.000000, 0.000000
100.000000, 8.000000, 0.000000
104.000000, 8.000000, 0.000000
108.000000, 8.000000, 0.000000
112.000000, 8.000000, 0.000000
116.000000, 8.000000, 0.000000
120.000000, 8.000000, 0.000000
124.000000, 8.000000, 0.000000
0.000000, 12.000000, 0.000000
4.000000, 12.000000, 0.000000
8.000000, 12.000000, 0.000000
12.000000, 12.000000, 0.000000
16.000000, 12.000000, 0.000000
20.000000, 12.000000, 0.000000
24.000000, 12.000000, 0.000000
28.000000, 12.000000, 0.000000
32.000000, 12.000000, 0.000000
36.000000, 12.000000, 0.000000
40.000000, 12.000000, 0.000000
44.000000, 12.000000, 0.000000
48.000000, 12.000000, 0.000000
52.000000, 12.000000, 0.000000
56.000000, 12.000000, 0.000000
60.000000, 12.000000, 0.000000
64.000000, 12.000000, 0.000000
68.000000, 12.000000, 0.000000
72.000000, 12.000000, 0.000000
76.000000, 12.000000, 0.000000
80.000000, 12.000000, 0.000000
84.000000, 12.000000, 0.000000
88.000000, 12.000000, 0.000000
92.000000, 12.000000, 0.000000
96.000000, 12.000000, 0.000000
100.000000, 12.000000, 0.000000
104.000000, 12.000000, 0.000000
108.000000, 12.000000, 0.000000
112.000000, 12.000000, 0.000000
116.000000, 12.000000, 0.000000
120.000000, 12.000000, 0.000000
124.000000, 12.000000, 0.000000
0.000000, 16.000000, 0.000000
4.000000, 16.000000, 0.000000
8.000000, 16.000000, 0.000000
12.000000, 16.000000, 0.000000
16.000000, 16.000000, 0.000000
20.000000, 16.000000, 0.000000
24.000000, 16.000000, 0.000000
28.000000, 16.000000, 0.000000
32.000000, 16.000000, 0.000000
36.000000, 16.000000, 0.000000
40.000000, 16.000000, 0.000000
44.000000, 16.000000, 0.000000
48.000000, 16.000000, 0.000000
52.000000, 16.000000, 0.000003
56.000000, 16.000000, 0.000097
60.000000, 16.000000, 0.000418
64.000000, 16.000000, 0.000418
68.000000, 16.000000, 0.000097
72.000000, 16.000000, 0.000003
76.000000, 16.000000, 0.000000
80.000000, 16.000000, 0.000000
84.000000, 16.000000, 0.000000
88.000000, 16.000000, 0.000000
92.000000, 16.000000, 0.000000
96.000000, 16.000000, 0.000000
100.000000, 16.000000, 0.000000
104.000000, 16.000000, 0.000000
108.000000, 16.000000, 0.000000
112.000000, 16.000000, 0.000000
116.000000, 16.000000, 0.000000
120.000000, 16.000000, 0.000000
124.000000, 16.000000, 0.000000
0.000000, 20.000000, 0.000000
4.000000, 20.000000, 0.000000
8.000000, 20.000000, 0.000001
12.000000, 20.000000, 0.000026
16.000000, 20.000000, 0.000234
20.000000, 20.000000, 0.000298
24.000000, 20.000000, 0.000055
28.000000, 20.000000, 0.000002
32.000000, 20.000000, 0.000000
36.000000, 20.000000, 0.000000
40.000000, 20.000000, 0.000000
44.000000, 20.000000, 0.000000
48.000000, 20.000000, 0.000051
52.000000, 20.000000, 0.018079
56.000000, 20.000000, 0.541819
60.000000, 20.000000, 2.302072
64.000000, 20.000000, 2.302072
68.000000, 20.000000, 0.541818
72.000000, 20.000000, 0.018079
76.000000, 20.000000, 0.000051
80.000000, 20.000000, 0.000000
84.000000, 20.000000, 0.000000
88.000000, 20.000000, 0.000000
92.000000, 20.000000, 0.000000
96.000000, 20.000000, 0.000002
100.000000, 20.000000, 0.000055
104.000000, 20.000000, 0.000298
