S
I=84,J=84
0.0, 0.0, 1773.292969
0.0, 0.0, 1774.890991
0.0, 0.0, 1775.760986
0.0, 0.0, 1776.230957
0.0, 0.0, 1773.613037
0.0, 0.0, 1770.479004
0.0, 0.0, 1765.959961
0.0, 0.0, 1761.958984
0.0, 0.0, 1759.182007
0.0, 0.0, 1759.661987
0.0, 0.0, 1761.234009
0.0, 0.0, 1764.944946
0.0, 0.0, 1765.758057
0.0, 0.0, 1770.400024
0.0, 0.0, 1776.660034
0.0, 0.0, 1786.139038
0.0, 0.0, 1790.561035
0.0, 0.0, 1798.782959
0.0, 0.0, 1802.651001
0.0, 0.0, 1809.323975
0.0, 0.0, 1812.719971
0.0, 0.0, 1814.595947
0.0, 0.0, 1813.656006
0.0, 0.0, 1811.810059
0.0, 0.0, 1809.633057
0.0, 0.0, 1809.156982
0.0, 0.0, 1808.588989
0.0, 0.0, 1808.051025
0.0, 0.0, 1806.989014
0.0, 0.0, 1805.996948
0.0, 0.0, 1805.109985
0.0, 0.0, 1804.317017
0.0, 0.0, 1803.582031
0.0, 0.0, 1802.837036
0.0, 0.0, 1802.223999
0.0, 0.0, 1801.899048
0.0, 0.0, 1802.041992
0.0, 0.0, 1802.797974
0.0, 0.0, 1803.819946
0.0, 0.0, 1804.696045
0.0, 0.0, 1805.050049
0.0, 0.0, 1804.956055
0.0, 0.0, 1804.609009
0.0, 0.0, 1804.156006
0.0, 0.0, 1803.329956
0.0, 0.0, 1802.125977
0.0, 0.0, 1800.892944
0.0, 0.0, 1799.734009
0.0, 0.0, 1797.805054
0.0, 0.0, 1797.588989
0.0, 0.0, 1797.977051
0.0, 0.0, 1798.634033
0.0, 0.0, 1800.579956
0.0, 0.0, 1801.979980
0.0, 0.0, 1803.807983
0.0, 0.0, 1805.296997
0.0, 0.0, 1806.249023
0.0, 0.0, 1806.431030
0.0, 0.0, 1806.051025
0.0, 0.0, 1805.378052
0.0, 0.0, 1804.760010
0.0, 0.0, 1804.369995
0.0, 0.0, 1803.957031
0.0, 0.0, 1803.666992
0.0, 0.0, 1803.572998
0.0, 0.0, 1803.834961
0.0, 0.0, 1804.522949
0.0, 0.0, 1805.317017
0.0, 0.0, 1805.890991
0.0, 0.0, 1805.994019
0.0, 0.0, 1805.781982
0.0, 0.0, 1805.333984
0.0, 0.0, 1804.688965
0.0, 0.0, 1803.900024
0.0, 0.0, 1802.963989
0.0, 0.0, 1801.828979
0.0, 0.0, 1800.463013
0.0, 0.0, 1798.838013
0.0, 0.0, 1796.855957
0.0, 0.0, 1794.624023
0.0, 0.0, 1792.318970
0.0, 0.0, 1790.140015
0.0, 0.0, 1788.019043
0.0, 0.0, 1785.905029
0.0, 0.0, 1772.869019
0.0, 0.0, 1774.812500
0.0, 0.0, 1776.029663
0.0, 0.0, 1775.939453
0.0, 0.0, 1774.561523
0.0, 0.0, 1772.072998
0.0, 0.0, 1769.244629
0.0, 0.0, 1766.650757
0.0, 0.0, 1765.049072
0.0, 0.0, 1764.611816
0.0, 0.0, 1765.363403
0.0, 0.0, 1766.556030
0.0, 0.0, 1768.499023
0.0, 0.0, 1771.306641
0.0, 0.0, 1775.714111
0.0, 0.0, 1780.700195
0.0, 0.0, 1786.283081
0.0, 0.0, 1791.432861
0.0, 0.0, 1796.712891
0.0, 0.0, 1801.063843
0.0, 0.0, 1804.469849
0.0, 0.0, 1806.177856
0.0, 0.0, 1806.487671
0.0, 0.0, 1805.789063
0.0, 0.0, 1804.867798
0.0, 0.0, 1804.025146
0.0, 0.0, 1803.369751
0.0, 0.0, 1802.674194
0.0, 0.0, 1801.992676
0.0, 0.0, 1801.423584
0.0, 0.0, 1801.120850
0.0, 0.0, 1801.118530
0.0, 0.0, 1801.378784
0.0, 0.0, 1801.848267
0.0, 0.0, 1802.494629
0.0, 0.0, 1803.322754
0.0, 0.0, 1804.337158
0.0, 0.0, 1805.464478
0.0, 0.0, 1806.538574
0.0, 0.0, 1807.329590
0.0, 0.0, 1807.681396
0.0, 0.0, 1807.551147
0.0, 0.0, 1806.999023
0.0, 0.0, 1806.085815
0.0, 0.0, 1804.879395
0.0, 0.0, 1803.484375
0.0, 0.0, 1802.034058
0.0, 0.0, 1800.566528
0.0, 0.0, 1799.351318
0.0, 0.0, 1798.538330
0.0, 0.0, 1798.316284
0.0, 0.0, 1798.678589
0.0, 0.0, 1799.490112
0.0, 0.0, 1800.702637
0.0, 0.0, 1802.021851
0.0, 0.0, 1803.278442
0.0, 0.0, 1804.176270
0.0, 0.0, 1804.606079
0.0, 0.0, 1804.668701
0.0, 0.0, 1804.634521
0.0, 0.0, 1804.712402
0.0, 0.0, 1804.864380
0.0, 0.0, 1804.874023
0.0, 0.0, 1804.545288
0.0, 0.0, 1803.898560
0.0, 0.0, 1803.135010
0.0, 0.0, 1802.497925
0.0, 0.0, 1802.147827
0.0, 0.0, 1802.095337
0.0, 0.0, 1802.282471
0.0, 0.0, 1802.623169
0.0, 0.0, 1803.049316
0.0, 0.0, 1803.495605
0.0, 0.0, 1803.888428
0.0, 0.0, 1804.121582
0.0, 0.0, 1804.053589
0.0, 0.0, 1803.529175
0.0, 0.0, 1802.415527
0.0, 0.0, 1800.665894
0.0, 0.0, 1798.357422
0.0, 0.0, 1795.687256
0.0, 0.0, 1792.835083
0.0, 0.0, 1789.869019
0.0, 0.0, 1786.646973
0.0, 0.0, 1772.616943
0.0, 0.0, 1774.836914
0.0, 0.0, 1776.262695
0.0, 0.0, 1776.258057
0.0, 0.0, 1774.984009
0.0, 0.0, 1773.008911
0.0, 0.0, 1770.935425
0.0, 0.0, 1769.235474
0.0, 0.0, 1768.125732
0.0, 0.0, 1767.656738
0.0, 0.0, 1767.709106
0.0, 0.0, 1768.264160
0.0, 0.0, 1769.399414
0.0, 0.0, 1771.428223
0.0, 0.0, 1774.457275
0.0, 0.0, 1778.505371
0.0, 0.0, 1783.187012
0.0, 0.0, 1788.172485
0.0, 0.0, 1792.865601
0.0, 0.0, 1796.843750
0.0, 0.0, 1799.645996
0.0, 0.0, 1801.189941
0.0, 0.0, 1801.606445
0.0, 0.0, 1801.304688
0.0, 0.0, 1800.671143
0.0, 0.0, 1799.984619
0.0, 0.0, 1799.334351
0.0, 0.0, 1798.779785
0.0, 0.0, 1798.413574
0.0, 0.0, 1798.398926
0.0, 0.0, 1798.854004
0.0, 0.0, 1799.793457
0.0, 0.0, 1801.116455
0.0, 0.0, 1802.674072
0.0, 0.0, 1804.328491
0.0, 0.0, 1805.981812
0.0, 0.0, 1807.555054
0.0, 0.0, 1808.957397
0.0, 0.0, 1810.064941
0.0, 0.0, 1810.749268
0.0, 0.0, 1810.910889
0.0, 0.0, 1810.515015
0.0, 0.0, 1809.596680
0.0, 0.0, 1808.260132
0.0, 0.0, 1806.656738
0.0, 0.0, 1804.952148
0.0, 0.0, 1803.273071
0.0, 0.0, 1801.720581
0.0, 0.0, 1800.368042
0.0, 0.0, 1799.308594
0.0, 0.0, 1798.633301
0.0, 0.0, 1798.412109
0.0, 0.0, 1798.687256
0.0, 0.0, 1799.395752
0.0, 0.0, 1800.399658
0.0, 0.0, 1801.468018
0.0, 0.0, 1802.380737
0.0, 0.0, 1803.019775
0.0, 0.0, 1803.490967
0.0, 0.0, 1804.081909
0.0, 0.0, 1804.989746
0.0, 0.0, 1806.039063
0.0, 0.0, 1806.733521
0.0, 0.0, 1806.599365
0.0, 0.0, 1805.509277
0.0, 0.0, 1803.739624
0.0, 0.0, 1801.826904
0.0, 0.0, 1800.311768
