S
I=84,J=84
0.000000,0.000000,0.0000051342240113
0.000000,1.000000,0.0000050134708545
0.000000,2.000000,0.0000049040199883
0.000000,3.000000,0.0000048333768063
0.000000,4.000000,0.0000047987150538
0.000000,5.000000,0.0000047817870836
0.000000,6.000000,0.0000047624239414
0.000000,7.000000,0.0000047237781473
0.000000,8.000000,0.0000046630989345
0.000000,9.000000,0.0000046020500122
0.000000,10.000000,0.0000045552819756
0.000000,11.000000,0.0000045411097744
0.000000,12.000000,0.0000045597048484
0.000000,13.000000,0.0000046035111154
0.000000,14.000000,0.0000046485479288
0.000000,15.000000,0.0000046746299631
0.000000,16.000000,0.0000046745681175
0.000000,17.000000,0.0000046585951168
0.000000,18.000000,0.0000046084369387
0.000000,19.000000,0.0000045293941184
0.000000,20.000000,0.0000044106809582
0.000000,21.000000,0.0000042659457904
0.000000,22.000000,0.0000041381467781
0.000000,23.000000,0.0000040486461330
0.000000,24.000000,0.0000040177301344
0.000000,25.000000,0.0000040118911784
0.000000,26.000000,0.0000040272539081
0.000000,27.000000,0.0000040389591049
0.000000,28.000000,0.0000040433178583
0.000000,29.000000,0.0000040481318138
0.000000,30.000000,0.0000040493309825
0.000000,31.000000,0.0000040421259655
0.000000,32.000000,0.0000040209079089
0.000000,33.000000,0.0000039837827899
0.000000,34.000000,0.0000039399528760
0.000000,35.000000,0.0000038999401113
0.000000,36.000000,0.0000038733528527
0.000000,37.000000,0.0000038573680285
0.000000,38.000000,0.0000038468269850
0.000000,39.000000,0.0000038374350879
0.000000,40.000000,0.0000038255561776
0.000000,41.000000,0.0000038142079575
0.000000,42.000000,0.0000038028190374
0.000000,43.000000,0.0000037892680211
0.000000,44.000000,0.0000037760109990
0.000000,45.000000,0.0000037600200358
0.000000,46.000000,0.0000037400950532
0.000000,47.000000,0.0000037200679799
0.000000,48.000000,0.0000037026738937
0.000000,49.000000,0.0000036866329083
0.000000,50.000000,0.0000036690310026
0.000000,51.000000,0.0000036532469494
0.000000,52.000000,0.0000036385361000
0.000000,53.000000,0.0000036258970795
0.000000,54.000000,0.0000036151600398
0.000000,55.000000,0.0000036066439861
0.000000,56.000000,0.0000035984710394
0.000000,57.000000,0.0000035857010516
0.000000,58.000000,0.0000035682130601
0.000000,59.000000,0.0000035582829696
0.000000,60.000000,0.0000035670909710
0.000000,61.000000,0.0000036038939015
0.000000,62.000000,0.0000036645519685
0.000000,63.000000,0.0000037386269014
0.000000,64.000000,0.0000038164730540
0.000000,65.000000,0.0000038916741687
0.000000,66.000000,0.0000039717519940
0.000000,67.000000,0.0000040555510168
0.000000,68.000000,0.0000041406319724
0.000000,69.000000,0.0000042258548092
0.000000,70.000000,0.0000043154332161
0.000000,71.000000,0.0000044051439545
0.000000,72.000000,0.0000044889811761
0.000000,73.000000,0.0000045608740038
0.000000,74.000000,0.0000046193617891
0.000000,75.000000,0.0000046693921831
0.000000,76.000000,0.0000047169260142
0.000000,77.000000,0.0000047684220590
0.000000,78.000000,0.0000048281090130
0.000000,79.000000,0.0000048886531658
0.000000,80.000000,0.0000049401551223
0.000000,81.000000,0.0000049728469094
0.000000,82.000000,0.0000050000539886
0.000000,83.000000,0.0000050165949688
1.000000,0.000000,0.0000051773499763
1.000000,1.000000,0.0000050367930271
1.000000,2.000000,0.0000049299451348
1.000000,3.000000,0.0000048687929848
1.000000,4.000000,0.0000048471360969
1.000000,5.000000,0.0000048397341743
1.000000,6.000000,0.0000048250749387
1.000000,7.000000,0.0000047870380513
