S
I=84,J=84
0.0, 0.0, 9.394564
0.0, 0.0, 9.296306
0.0, 0.0, 9.250788
0.0, 0.0, 9.283131
0.0, 0.0, 9.352198
0.0, 0.0, 9.482864
0.0, 0.0, 9.594229
0.0, 0.0, 9.728525
0.0, 0.0, 9.871214
0.0, 0.0, 9.990135
0.0, 0.0, 10.071969
0.0, 0.0, 10.118462
0.0, 0.0, 10.168473
0.0, 0.0, 10.188990
0.0, 0.0, 10.188302
0.0, 0.0, 10.130248
0.0, 0.0, 10.029058
0.0, 0.0, 9.892546
0.0, 0.0, 9.744559
0.0, 0.0, 9.608661
0.0, 0.0, 9.446857
0.0, 0.0, 9.270692
0.0, 0.0, 9.024053
0.0, 0.0, 8.899815
0.0, 0.0, 8.783014
0.0, 0.0, 8.678688
0.0, 0.0, 8.556708
0.0, 0.0, 8.492867
0.0, 0.0, 8.414611
0.0, 0.0, 8.354877
0.0, 0.0, 8.316049
0.0, 0.0, 8.284821
0.0, 0.0, 8.274721
0.0, 0.0, 8.276037
0.0, 0.0, 8.326751
0.0, 0.0, 8.378319
0.0, 0.0, 8.450601
0.0, 0.0, 8.547038
0.0, 0.0, 8.664968
0.0, 0.0, 8.829938
0.0, 0.0, 8.959849
0.0, 0.0, 9.092665
0.0, 0.0, 9.268546
0.0, 0.0, 9.473169
0.0, 0.0, 9.732862
0.0, 0.0, 10.044988
0.0, 0.0, 10.397522
0.0, 0.0, 10.751521
0.0, 0.0, 11.188036
0.0, 0.0, 11.615520
0.0, 0.0, 12.029082
0.0, 0.0, 12.411133
0.0, 0.0, 12.789114
0.0, 0.0, 13.113156
0.0, 0.0, 13.437997
0.0, 0.0, 13.745381
0.0, 0.0, 14.032643
0.0, 0.0, 14.290868
0.0, 0.0, 14.468590
0.0, 0.0, 14.591211
0.0, 0.0, 14.693568
0.0, 0.0, 14.820905
0.0, 0.0, 15.012213
0.0, 0.0, 15.192249
0.0, 0.0, 15.385208
0.0, 0.0, 15.597539
0.0, 0.0, 15.860247
0.0, 0.0, 16.208292
0.0, 0.0, 16.652781
0.0, 0.0, 17.146763
0.0, 0.0, 17.631054
0.0, 0.0, 18.056757
0.0, 0.0, 18.387558
0.0, 0.0, 18.696434
0.0, 0.0, 18.971796
0.0, 0.0, 19.203335
0.0, 0.0, 19.370663
0.0, 0.0, 19.452345
0.0, 0.0, 19.437546
0.0, 0.0, 19.359318
0.0, 0.0, 19.257446
0.0, 0.0, 19.170500
0.0, 0.0, 19.140177
0.0, 0.0, 19.105051
0.0, 0.0, 9.570432
0.0, 0.0, 9.592475
0.0, 0.0, 9.654943
0.0, 0.0, 9.767005
0.0, 0.0, 9.901186
0.0, 0.0, 10.018344
0.0, 0.0, 10.111044
0.0, 0.0, 10.188198
0.0, 0.0, 10.260324
0.0, 0.0, 10.315593
0.0, 0.0, 10.333697
0.0, 0.0, 10.308084
0.0, 0.0, 10.242736
0.0, 0.0, 10.148636
0.0, 0.0, 10.027474
0.0, 0.0, 9.883042
0.0, 0.0, 9.720041
0.0, 0.0, 9.551298
0.0, 0.0, 9.392417
0.0, 0.0, 9.252308
0.0, 0.0, 9.135288
0.0, 0.0, 9.023613
0.0, 0.0, 8.919083
0.0, 0.0, 8.820108
0.0, 0.0, 8.733639
0.0, 0.0, 8.645330
0.0, 0.0, 8.557047
0.0, 0.0, 8.464911
0.0, 0.0, 8.378165
0.0, 0.0, 8.308809
0.0, 0.0, 8.269100
0.0, 0.0, 8.251367
0.0, 0.0, 8.240198
0.0, 0.0, 8.233142
0.0, 0.0, 8.230049
0.0, 0.0, 8.237163
0.0, 0.0, 8.251952
0.0, 0.0, 8.268802
0.0, 0.0, 8.275708
0.0, 0.0, 8.264035
0.0, 0.0, 8.277039
0.0, 0.0, 8.411166
0.0, 0.0, 8.745430
0.0, 0.0, 9.268591
0.0, 0.0, 9.889249
0.0, 0.0, 10.494833
0.0, 0.0, 10.988442
0.0, 0.0, 11.333010
0.0, 0.0, 11.550267
0.0, 0.0, 11.720814
0.0, 0.0, 11.917912
0.0, 0.0, 12.169498
0.0, 0.0, 12.456402
0.0, 0.0, 12.759425
0.0, 0.0, 13.062948
0.0, 0.0, 13.361914
0.0, 0.0, 13.646069
0.0, 0.0, 13.902419
0.0, 0.0, 14.123453
0.0, 0.0, 14.312287
0.0, 0.0, 14.488359
0.0, 0.0, 14.674625
0.0, 0.0, 14.879743
0.0, 0.0, 15.105979
0.0, 0.0, 15.353233
0.0, 0.0, 15.634501
0.0, 0.0, 15.964035
0.0, 0.0, 16.352118
0.0, 0.0, 16.791277
0.0, 0.0, 17.253809
0.0, 0.0, 17.700926
0.0, 0.0, 18.097528
0.0, 0.0, 18.431095
0.0, 0.0, 18.700254
0.0, 0.0, 18.908119
0.0, 0.0, 19.047132
0.0, 0.0, 19.111574
0.0, 0.0, 19.103121
0.0, 0.0, 19.037409
0.0, 0.0, 18.942526
0.0, 0.0, 18.851410
0.0, 0.0, 18.793259
0.0, 0.0, 18.789139
0.0, 0.0, 18.850290
0.0, 0.0, 9.756527
0.0, 0.0, 9.775460
0.0, 0.0, 9.849199
0.0, 0.0, 9.974818
0.0, 0.0, 10.091140
0.0, 0.0, 10.146372
0.0, 0.0, 10.146170
0.0, 0.0, 10.133499
0.0, 0.0, 10.135804
0.0, 0.0, 10.141732
0.0, 0.0, 10.119389
0.0, 0.0, 10.045476
0.0, 0.0, 9.919210
0.0, 0.0, 9.753320
0.0, 0.0, 9.561482
0.0, 0.0, 9.352743
0.0, 0.0, 9.136688
0.0, 0.0, 8.927299
0.0, 0.0, 8.741787
0.0, 0.0, 8.598211
0.0, 0.0, 8.499248
0.0, 0.0, 8.433606
0.0, 0.0, 8.382353
0.0, 0.0, 8.333472
0.0, 0.0, 8.283895
0.0, 0.0, 8.230647
0.0, 0.0, 8.168932
0.0, 0.0, 8.092957
0.0, 0.0, 8.013238
0.0, 0.0, 7.955542
0.0, 0.0, 7.937754
0.0, 0.0, 7.949565
0.0, 0.0, 7.964609
0.0, 0.0, 7.964258
0.0, 0.0, 7.948446
0.0, 0.0, 7.923112
0.0, 0.0, 7.890911
0.0, 0.0, 7.843748
0.0, 0.0, 7.769505
0.0, 0.0, 7.685042
0.0, 0.0, 7.679697
0.0, 0.0, 7.896226
0.0, 0.0, 8.420063
0.0, 0.0, 9.204597
0.0, 0.0, 10.092128
0.0, 0.0, 10.892724
0.0, 0.0, 11.462053
0.0, 0.0, 11.746947
0.0, 0.0, 11.802718
0.0, 0.0, 11.766975
0.0, 0.0, 11.781689
0.0, 0.0, 11.907454
0.0, 0.0, 12.127818
0.0, 0.0, 12.403069
0.0, 0.0, 12.703297
0.0, 0.0, 13.009704
0.0, 0.0, 13.310618
0.0, 0.0, 13.597587
0.0, 0.0, 13.866590
0.0, 0.0, 14.119815
0.0, 0.0, 14.365349
0.0, 0.0, 14.614032
0.0, 0.0, 14.874944
0.0, 0.0, 15.154439
0.0, 0.0, 15.458777
0.0, 0.0, 15.794740
0.0, 0.0, 16.167885
0.0, 0.0, 16.576834
0.0, 0.0, 17.008781
0.0, 0.0, 17.439993
0.0, 0.0, 17.843092
0.0, 0.0, 18.197887
0.0, 0.0, 18.493328
0.0, 0.0, 18.724825
0.0, 0.0, 18.884094
0.0, 0.0, 18.962103
0.0, 0.0, 18.955547
0.0, 0.0, 18.876982
0.0, 0.0, 18.756102
0.0, 0.0, 18.630327
0.0, 0.0, 18.532173
0.0, 0.0, 18.486435
0.0, 0.0, 18.523008
0.0, 0.0, 18.682827
0.0, 0.0, 9.951325
0.0, 0.0, 9.841670
0.0, 0.0, 9.819310
0.0, 0.0, 9.858891
0.0, 0.0, 9.859936
0.0, 0.0, 9.760859
0.0, 0.0, 9.602495
0.0, 0.0, 9.472841
0.0, 0.0, 9.416134
0.0, 0.0, 9.408160
0.0, 0.0, 9.392705
0.0, 0.0, 9.325441
0.0, 0.0, 9.193484
0.0, 0.0, 9.008152
0.0, 0.0, 8.785885
0.0, 0.0, 8.539679
0.0, 0.0, 8.281393
0.0, 0.0, 8.029627
0.0, 0.0, 7.808683
0.0, 0.0, 7.640388
0.0, 0.0, 7.533931
0.0, 0.0, 7.479311
0.0, 0.0, 7.456218
0.0, 0.0, 7.446905
0.0, 0.0, 7.439192
0.0, 0.0, 7.425516
0.0, 0.0, 7.391356
0.0, 0.0, 7.336278
0.0, 0.0, 7.277928
0.0, 0.0, 7.249846
0.0, 0.0, 7.270661
0.0, 0.0, 7.327204
0.0, 0.0, 7.382974
0.0, 0.0, 7.408635
0.0, 0.0, 7.396671
0.0, 0.0, 7.353971
0.0, 0.0, 7.286919
0.0, 0.0, 7.197978
0.0, 0.0, 7.096382
0.0, 0.0, 7.032216
0.0, 0.0, 7.124422
0.0, 0.0, 7.507690
0.0, 0.0, 8.235705
0.0, 0.0, 9.220737
0.0, 0.0, 10.267845
0.0, 0.0, 11.159289
0.0, 0.0, 11.738678
0.0, 0.0, 11.961493
0.0, 0.0, 11.905120
0.0, 0.0, 11.734347
0.0, 0.0, 11.616541
0.0, 0.0, 11.639759
0.0, 0.0, 11.799223
0.0, 0.0, 12.050449
0.0, 0.0, 12.350368
0.0, 0.0, 12.671330
0.0, 0.0, 12.999018
0.0, 0.0, 13.328436
0.0, 0.0, 13.658752
0.0, 0.0, 13.990113
0.0, 0.0, 14.323072
0.0, 0.0, 14.659334
0.0, 0.0, 15.002711
0.0, 0.0, 15.358487
0.0, 0.0, 15.731020
0.0, 0.0, 16.121506
0.0, 0.0, 16.526503
0.0, 0.0, 16.937008
0.0, 0.0, 17.338266
0.0, 0.0, 17.712982
0.0, 0.0, 18.048225
0.0, 0.0, 18.339378
0.0, 0.0, 18.588062
