S
I=84,J=84
0.0, 0.0, 196.249298
0.0, 0.0, 196.219696
0.0, 0.0, 196.191605
0.0, 0.0, 196.161194
0.0, 0.0, 196.141602
0.0, 0.0, 196.126602
0.0, 0.0, 196.117294
0.0, 0.0, 196.100601
0.0, 0.0, 196.070404
0.0, 0.0, 196.022400
0.0, 0.0, 195.972107
0.0, 0.0, 195.917496
0.0, 0.0, 195.886398
0.0, 0.0, 195.835495
0.0, 0.0, 195.771393
0.0, 0.0, 195.697601
0.0, 0.0, 195.632996
0.0, 0.0, 195.558395
0.0, 0.0, 195.479401
0.0, 0.0, 195.381500
0.0, 0.0, 195.279800
0.0, 0.0, 195.177307
0.0, 0.0, 195.094894
0.0, 0.0, 195.024200
0.0, 0.0, 194.968094
0.0, 0.0, 194.897202
0.0, 0.0, 194.838501
0.0, 0.0, 194.786697
0.0, 0.0, 194.751495
0.0, 0.0, 194.722794
0.0, 0.0, 194.699905
0.0, 0.0, 194.682907
0.0, 0.0, 194.673401
0.0, 0.0, 194.674301
0.0, 0.0, 194.679596
0.0, 0.0, 194.682297
0.0, 0.0, 194.676804
0.0, 0.0, 194.667099
0.0, 0.0, 194.653702
0.0, 0.0, 194.635803
0.0, 0.0, 194.612396
0.0, 0.0, 194.580505
0.0, 0.0, 194.543793
0.0, 0.0, 194.507797
0.0, 0.0, 194.484695
0.0, 0.0, 194.472595
0.0, 0.0, 194.462906
0.0, 0.0, 194.454102
0.0, 0.0, 194.445694
0.0, 0.0, 194.429794
0.0, 0.0, 194.408203
0.0, 0.0, 194.385803
0.0, 0.0, 194.358704
0.0, 0.0, 194.331497
0.0, 0.0, 194.301804
0.0, 0.0, 194.275803
0.0, 0.0, 194.254898
0.0, 0.0, 194.235992
0.0, 0.0, 194.216599
0.0, 0.0, 194.208206
0.0, 0.0, 194.220901
0.0, 0.0, 194.262497
0.0, 0.0, 194.328705
0.0, 0.0, 194.409607
0.0, 0.0, 194.497406
0.0, 0.0, 194.585907
0.0, 0.0, 194.679596
0.0, 0.0, 194.780701
0.0, 0.0, 194.890503
0.0, 0.0, 195.011795
0.0, 0.0, 195.149597
0.0, 0.0, 195.294296
0.0, 0.0, 195.434402
0.0, 0.0, 195.559601
0.0, 0.0, 195.674194
0.0, 0.0, 195.781693
0.0, 0.0, 195.884201
0.0, 0.0, 195.983505
0.0, 0.0, 196.080093
0.0, 0.0, 196.172501
0.0, 0.0, 196.258896
0.0, 0.0, 196.337494
0.0, 0.0, 196.410095
0.0, 0.0, 196.476395
0.0, 0.0, 196.312500
0.0, 0.0, 196.280228
0.0, 0.0, 196.243347
0.0, 0.0, 196.202789
0.0, 0.0, 196.162033
0.0, 0.0, 196.125351
0.0, 0.0, 196.091919
0.0, 0.0, 196.057800
0.0, 0.0, 196.016785
0.0, 0.0, 195.965683
0.0, 0.0, 195.903961
0.0, 0.0, 195.836349
0.0, 0.0, 195.763596
0.0, 0.0, 195.688202
0.0, 0.0, 195.611664
0.0, 0.0, 195.541763
0.0, 0.0, 195.480774
0.0, 0.0, 195.427750
0.0, 0.0, 195.374847
0.0, 0.0, 195.316452
0.0, 0.0, 195.248352
0.0, 0.0, 195.173660
0.0, 0.0, 195.096603
0.0, 0.0, 195.021774
0.0, 0.0, 194.948029
0.0, 0.0, 194.877075
0.0, 0.0, 194.810898
0.0, 0.0, 194.755524
0.0, 0.0, 194.712921
0.0, 0.0, 194.684418
0.0, 0.0, 194.669998
