S
I=64,J=64
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000025
0.0, 0.0, 0.000254
0.0, 0.0, 0.001638
0.0, 0.0, 0.010682
0.0, 0.0, 0.054765
0.0, 0.0, 0.239664
0.0, 0.0, 0.831247
0.0, 0.0, 2.453233
0.0, 0.0, 6.177724
0.0, 0.0, 13.862102
0.0, 0.0, 28.234354
0.0, 0.0, 48.605671
0.0, 0.0, 72.005653
0.0, 0.0, 91.290619
0.0, 0.0, 106.930473
0.0, 0.0, 115.367645
0.0, 0.0, 116.485130
0.0, 0.0, 111.307678
0.0, 0.0, 100.045677
0.0, 0.0, 81.533379
0.0, 0.0, 60.715778
0.0, 0.0, 37.770985
0.0, 0.0, 20.542894
0.0, 0.0, 10.045323
0.0, 0.0, 4.568760
0.0, 0.0, 1.830495
0.0, 0.0, 0.591302
0.0, 0.0, 0.158786
0.0, 0.0, 0.036119
0.0, 0.0, 0.007576
0.0, 0.0, 0.001321
0.0, 0.0, 0.000229
0.0, 0.0, 0.000025
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000068
0.0, 0.0, 0.000576
0.0, 0.0, 0.003421
0.0, 0.0, 0.015758
0.0, 0.0, 0.061525
0.0, 0.0, 0.228097
0.0, 0.0, 0.735991
0.0, 0.0, 2.091936
0.0, 0.0, 5.020085
0.0, 0.0, 10.515130
0.0, 0.0, 19.539925
0.0, 0.0, 32.283234
0.0, 0.0, 47.973598
0.0, 0.0, 62.602913
0.0, 0.0, 74.717163
0.0, 0.0, 83.680206
0.0, 0.0, 88.849060
0.0, 0.0, 89.438202
0.0, 0.0, 85.744659
0.0, 0.0, 77.908112
0.0, 0.0, 67.152359
0.0, 0.0, 53.025436
0.0, 0.0, 38.133476
0.0, 0.0, 24.608955
0.0, 0.0, 14.621044
0.0, 0.0, 7.821815
0.0, 0.0, 3.627823
0.0, 0.0, 1.455210
0.0, 0.0, 0.507987
0.0, 0.0, 0.163299
0.0, 0.0, 0.047101
0.0, 0.0, 0.012634
0.0, 0.0, 0.002760
0.0, 0.0, 0.000440
0.0, 0.0, 0.000051
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000135
0.0, 0.0, 0.001253
0.0, 0.0, 0.008603
0.0, 0.0, 0.039120
0.0, 0.0, 0.143220
0.0, 0.0, 0.448560
0.0, 0.0, 1.248425
0.0, 0.0, 3.235707
0.0, 0.0, 7.440228
0.0, 0.0, 15.178916
0.0, 0.0, 26.839457
0.0, 0.0, 41.893661
0.0, 0.0, 58.759201
0.0, 0.0, 74.447845
0.0, 0.0, 87.359940
0.0, 0.0, 96.662285
0.0, 0.0, 103.084717
0.0, 0.0, 107.060730
0.0, 0.0, 107.164177
0.0, 0.0, 103.214760
0.0, 0.0, 96.723061
0.0, 0.0, 87.312424
0.0, 0.0, 75.085167
0.0, 0.0, 60.745762
0.0, 0.0, 46.086342
0.0, 0.0, 32.053383
0.0, 0.0, 19.875629
0.0, 0.0, 10.858875
0.0, 0.0, 5.242060
0.0, 0.0, 2.313138
0.0, 0.0, 0.924728
0.0, 0.0, 0.340861
0.0, 0.0, 0.109418
0.0, 0.0, 0.029704
0.0, 0.0, 0.006808
0.0, 0.0, 0.001169
0.0, 0.0, 0.000186
0.0, 0.0, 0.000017
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000068
0.0, 0.0, 0.000576
0.0, 0.0, 0.003235
0.0, 0.0, 0.018137
0.0, 0.0, 0.080425
0.0, 0.0, 0.306271
0.0, 0.0, 0.938881
0.0, 0.0, 2.460905
0.0, 0.0, 5.708488
0.0, 0.0, 11.926401
0.0, 0.0, 22.939804
0.0, 0.0, 39.330795
0.0, 0.0, 60.171162
0.0, 0.0, 81.931671
0.0, 0.0, 101.114326
0.0, 0.0, 116.730728
0.0, 0.0, 127.837524
0.0, 0.0, 135.209946
0.0, 0.0, 140.170959
0.0, 0.0, 142.584930
0.0, 0.0, 142.106079
0.0, 0.0, 138.494690
0.0, 0.0, 131.693771
0.0, 0.0, 122.513947
0.0, 0.0, 110.585548
0.0, 0.0, 96.489647
0.0, 0.0, 80.506981
0.0, 0.0, 62.714958
0.0, 0.0, 44.350353
0.0, 0.0, 28.200838
0.0, 0.0, 16.360636
0.0, 0.0, 8.625947
0.0, 0.0, 4.183247
0.0, 0.0, 1.811479
0.0, 0.0, 0.693932
0.0, 0.0, 0.234720
0.0, 0.0, 0.067639
0.0, 0.0, 0.017816
0.0, 0.0, 0.003878
0.0, 0.0, 0.000677
0.0, 0.0, 0.000085
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000220
0.0, 0.0, 0.001846
0.0, 0.0, 0.011126
0.0, 0.0, 0.048655
0.0, 0.0, 0.177243
0.0, 0.0, 0.604176
0.0, 0.0, 1.789141
0.0, 0.0, 4.693594
0.0, 0.0, 10.519382
0.0, 0.0, 20.727804
0.0, 0.0, 36.708511
0.0, 0.0, 58.850124
0.0, 0.0, 86.472893
0.0, 0.0, 114.886826
0.0, 0.0, 139.489853
0.0, 0.0, 158.461121
0.0, 0.0, 171.000748
0.0, 0.0, 179.032303
0.0, 0.0, 183.786957
0.0, 0.0, 186.244049
0.0, 0.0, 186.925247
0.0, 0.0, 185.430740
0.0, 0.0, 181.321442
0.0, 0.0, 174.592285
0.0, 0.0, 165.092896
0.0, 0.0, 153.976517
0.0, 0.0, 141.116699
0.0, 0.0, 125.358482
0.0, 0.0, 105.974724
0.0, 0.0, 83.998215
0.0, 0.0, 61.817966
0.0, 0.0, 41.885529
0.0, 0.0, 26.170521
0.0, 0.0, 14.781182
0.0, 0.0, 7.525885
0.0, 0.0, 3.443852
0.0, 0.0, 1.392640
0.0, 0.0, 0.516757
0.0, 0.0, 0.170299
0.0, 0.0, 0.050365
0.0, 0.0, 0.013226
0.0, 0.0, 0.002896
0.0, 0.0, 0.000610
0.0, 0.0, 0.000085
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.000000
0.0, 0.0, 0.001744
0.0, 0.0, 0.020271
0.0, 0.0, 0.107081
0.0, 0.0, 0.416654
0.0, 0.0, 1.295026
0.0, 0.0, 3.470236
0.0, 0.0, 8.512676
0.0, 0.0, 18.452658
0.0, 0.0, 35.730564
0.0, 0.0, 60.660469
0.0, 0.0, 92.106606
0.0, 0.0, 127.495956
0.0, 0.0, 162.134247
0.0, 0.0, 192.219681
0.0, 0.0, 215.098557
0.0, 0.0, 229.484406
0.0, 0.0, 237.106018
0.0, 0.0, 240.457108
0.0, 0.0, 241.578049
0.0, 0.0, 241.225449
0.0, 0.0, 239.381897
0.0, 0.0, 236.056458
0.0, 0.0, 230.667755
0.0, 0.0, 223.183365
0.0, 0.0, 214.256821
0.0, 0.0, 204.312912
0.0, 0.0, 193.062042
0.0, 0.0, 178.837418
0.0, 0.0, 160.582565
0.0, 0.0, 138.714172
0.0, 0.0, 114.619316
0.0, 0.0, 89.219223
0.0, 0.0, 64.007996
0.0, 0.0, 42.055290
0.0, 0.0, 25.095209
0.0, 0.0, 13.438044
0.0, 0.0, 6.604938
0.0, 0.0, 2.940845
0.0, 0.0, 1.205880
0.0, 0.0, 0.456824
0.0, 0.0, 0.158275
0.0, 0.0, 0.052651
0.0, 0.0, 0.015665
0.0, 0.0, 0.003963
0.0, 0.0, 0.000914
0.0, 0.0, 0.000135
0.0, 0.0, 0.000034
0.0, 0.0, 0.000237
0.0, 0.0, 0.000898
0.0, 0.0, 0.002295
0.0, 0.0, 0.004357
0.0, 0.0, 0.006408
0.0, 0.0, 0.007465
0.0, 0.0, 0.056170
0.0, 0.0, 0.056317
0.0, 0.0, 0.056548
0.0, 0.0, 0.056559
0.0, 0.0, 0.055894
0.0, 0.0, 0.054091
0.0, 0.0, 0.050822
0.0, 0.0, 0.046080
0.0, 0.0, 0.040289
0.0, 0.0, 0.034260
0.0, 0.0, 0.029010
0.0, 0.0, 0.032922
0.0, 0.0, 0.128046
0.0, 0.0, 0.653847
0.0, 0.0, 2.367119
0.0, 0.0, 6.698166
0.0, 0.0, 15.719740
0.0, 0.0, 32.136395
0.0, 0.0, 59.480145
0.0, 0.0, 97.786369
0.0, 0.0, 144.551239
0.0, 0.0, 191.972305
0.0, 0.0, 234.006409
0.0, 0.0, 267.985748
0.0, 0.0, 292.844177
0.0, 0.0, 307.950745
0.0, 0.0, 314.400269
0.0, 0.0, 315.047852
0.0, 0.0, 312.644165
0.0, 0.0, 309.267029
0.0, 0.0, 305.213043
0.0, 0.0, 300.550140
0.0, 0.0, 294.454468
0.0, 0.0, 287.400879
0.0, 0.0, 279.032043
0.0, 0.0, 270.518005
0.0, 0.0, 261.894379
0.0, 0.0, 252.621170
0.0, 0.0, 241.021545
0.0, 0.0, 226.073669
0.0, 0.0, 208.044296
0.0, 0.0, 186.347382
0.0, 0.0, 160.166046
0.0, 0.0, 130.052933
0.0, 0.0, 97.868080
0.0, 0.0, 67.263275
0.0, 0.0, 42.512741
0.0, 0.0, 24.475872
0.0, 0.0, 13.036511
0.0, 0.0, 6.462294
0.0, 0.0, 2.987078
0.0, 0.0, 1.330471
0.0, 0.0, 0.567325
0.0, 0.0, 0.242731
0.0, 0.0, 0.123948
0.0, 0.0, 0.086962
0.0, 0.0, 0.080205
0.0, 0.0, 0.082000
0.0, 0.0, 0.086166
0.0, 0.0, 0.096928
0.0, 0.0, 0.121861
0.0, 0.0, 0.163540
0.0, 0.0, 0.212242
0.0, 0.0, 0.248185
0.0, 0.0, 1.305500
0.0, 0.0, 1.220880
0.0, 0.0, 1.192774
0.0, 0.0, 1.194474
0.0, 0.0, 1.198030
0.0, 0.0, 1.181290
0.0, 0.0, 1.131941
0.0, 0.0, 1.047334
0.0, 0.0, 0.934563
0.0, 0.0, 0.809938
0.0, 0.0, 0.694135
0.0, 0.0, 0.628732
0.0, 0.0, 0.905180
0.0, 0.0, 2.878372
0.0, 0.0, 9.742164
0.0, 0.0, 25.634848
0.0, 0.0, 54.482666
0.0, 0.0, 98.151222
0.0, 0.0, 155.168732
0.0, 0.0, 221.993347
0.0, 0.0, 286.554901
