S
I=11,J=11
0.000000, 0.000000, 0.000000
6.000000, 0.000000, 0.000000
12.000000, 0.000000, 0.000000
18.000000, 0.000000, 0.001638
24.000000, 0.000000, 6.177724
30.000000, 0.000000, 106.930473
36.000000, 0.000000, 60.715778
42.000000, 0.000000, 0.591302
48.000000, 0.000000, 0.000025
54.000000, 0.000000, 0.000000
60.000000, 0.000000, 0.000000
0.000000, 6.000000, 0.056170
6.000000, 6.000000, 0.050822
12.000000, 6.000000, 0.128046
18.000000, 6.000000, 59.480145
24.000000, 6.000000, 292.844177
30.000000, 6.000000, 305.213043
36.000000, 6.000000, 261.894379
42.000000, 6.000000, 160.166046
48.000000, 6.000000, 13.036511
54.000000, 6.000000, 0.123948
60.000000, 6.000000, 0.121861
0.000000, 12.000000, 1615.347656
6.000000, 12.000000, 1218.098633
12.000000, 12.000000, 736.225891
18.000000, 12.000000, 1966.262207
24.000000, 12.000000, 1465.162720
30.000000, 12.000000, 984.114990
36.000000, 12.000000, 833.389221
42.000000, 12.000000, 1129.716309
48.000000, 12.000000, 1017.115784
54.000000, 12.000000, 660.861572
60.000000, 12.000000, 740.350525
0.000000, 18.000000, 3225.509521
6.000000, 18.000000, 2556.419189
12.000000, 18.000000, 2903.339355
18.000000, 18.000000, 4510.116699
24.000000, 18.000000, 3459.801758
30.000000, 18.000000, 2620.394043
36.000000, 18.000000, 2157.939941
42.000000, 18.000000, 3869.655029
48.000000, 18.000000, 3486.289063
54.000000, 18.000000, 1148.979004
60.000000, 18.000000, 1362.920410
0.000000, 24.000000, 1160.385620
6.000000, 24.000000, 694.592957
12.000000, 24.000000, 1894.040771
18.000000, 24.000000, 4519.920410
24.000000, 24.000000, 3674.678467
30.000000, 24.000000, 1457.220337
36.000000, 24.000000, 1405.390259
42.000000, 24.000000, 4508.986328
48.000000, 24.000000, 4045.054199
54.000000, 24.000000, 188.003738
60.000000, 24.000000, 240.316620
0.000000, 30.000000, 291.734894
6.000000, 30.000000, 177.881302
12.000000, 30.000000, 548.727295
18.000000, 30.000000, 2907.909180
24.000000, 30.000000, 1479.875488
30.000000, 30.000000, 46.784367
36.000000, 30.000000, 239.621277
42.000000, 30.000000, 3547.765625
48.000000, 30.000000, 2343.142334
54.000000, 30.000000, 98.803093
60.000000, 30.000000, 0.553951
0.000000, 36.000000, 270.829254
6.000000, 36.000000, 364.517731
12.000000, 36.000000, 738.776611
18.000000, 36.000000, 604.630676
24.000000, 36.000000, 52.531509
30.000000, 36.000000, 4.327812
36.000000, 36.000000, 1.741571
42.000000, 36.000000, 176.650269
48.000000, 36.000000, 255.738632
54.000000, 36.000000, 316.107635
60.000000, 36.000000, 73.013084
0.000000, 42.000000, 308.580475
6.000000, 42.000000, 419.381958
12.000000, 42.000000, 727.568481
18.000000, 42.000000, 258.117096
24.000000, 42.000000, 23.123762
30.000000, 42.000000, 2160.517578
36.000000, 42.000000, 938.780396
42.000000, 42.000000, 0.335857
48.000000, 42.000000, 3.678030
54.000000, 42.000000, 160.723053
60.000000, 42.000000, 116.222885
0.000000, 48.000000, 177.290649
6.000000, 48.000000, 176.382355
12.000000, 48.000000, 125.859222
18.000000, 48.000000, 1.437975
24.000000, 48.000000, 37.437569
30.000000, 48.000000, 622.807007
36.000000, 48.000000, 378.583618
42.000000, 48.000000, 0.439415
48.000000, 48.000000, 0.000051
54.000000, 48.000000, 1.531338
60.000000, 48.000000, 22.919046
0.000000, 54.000000, 41.604000
6.000000, 54.000000, 20.737984
12.000000, 54.000000, 0.899135
18.000000, 54.000000, 0.000034
24.000000, 54.000000, 10.483344
30.000000, 54.000000, 166.822647
36.000000, 54.000000, 101.188324
42.000000, 54.000000, 0.079426
48.000000, 54.000000, 0.000000
54.000000, 54.000000, 0.000000
60.000000, 54.000000, 0.002489
0.000000, 60.000000, 0.004115
6.000000, 60.000000, 0.001626
12.000000, 60.000000, 0.000000
18.000000, 60.000000, 0.000000
24.000000, 60.000000, 0.335789
30.000000, 60.000000, 22.623680
36.000000, 60.000000, 13.976399
42.000000, 60.000000, 0.003099
48.000000, 60.000000, 0.000000
54.000000, 60.000000, 0.000000
60.000000, 60.000000, 0.000000
