S
I=128,J=128
1.000000,13.000000,22.681900
2.000000,13.000000,24.181601
3.000000,13.000000,18.745399
4.000000,13.000000,20.619900
5.000000,13.000000,22.681900
6.000000,13.000000,21.744699
7.000000,13.000000,22.869400
8.000000,13.000000,23.806700
9.000000,13.000000,20.994801
10.000000,13.000000,22.306999
11.000000,13.000000,22.681900
12.000000,13.000000,23.431801
13.000000,13.000000,26.618500
14.000000,13.000000,23.056801
15.000000,13.000000,24.743900
16.000000,13.000000,26.243601
17.000000,13.000000,26.805901
18.000000,13.000000,23.431801
19.000000,13.000000,23.056801
20.000000,13.000000,25.493700
21.000000,13.000000,25.868700
22.000000,13.000000,25.306299
23.000000,13.000000,23.244301
24.000000,13.000000,26.243601
25.000000,13.000000,24.181601
26.000000,13.000000,24.181601
27.000000,13.000000,22.119600
28.000000,13.000000,25.493700
29.000000,13.000000,25.681200
30.000000,13.000000,27.368299
31.000000,13.000000,26.056101
32.000000,13.000000,23.619200
33.000000,13.000000,28.305599
34.000000,13.000000,28.867901
35.000000,13.000000,25.868700
36.000000,13.000000,29.430300
37.000000,13.000000,28.680500
38.000000,13.000000,28.305599
39.000000,13.000000,25.868700
40.000000,13.000000,22.494499
41.000000,13.000000,26.618500
42.000000,13.000000,24.556499
43.000000,13.000000,21.932100
44.000000,13.000000,28.118099
45.000000,13.000000,27.930599
46.000000,13.000000,30.742500
47.000000,13.000000,28.680500
48.000000,13.000000,32.991901
49.000000,13.000000,29.992599
50.000000,13.000000,31.679701
51.000000,13.000000,27.368299
52.000000,13.000000,32.804501
53.000000,13.000000,33.366798
54.000000,13.000000,30.929899
55.000000,13.000000,32.242100
56.000000,13.000000,35.991199
57.000000,13.000000,37.678299
58.000000,13.000000,40.865002
59.000000,13.000000,40.865002
60.000000,13.000000,33.741699
61.000000,13.000000,28.680500
62.000000,13.000000,28.493000
63.000000,13.000000,29.242800
64.000000,13.000000,32.054600
65.000000,13.000000,31.679701
66.000000,13.000000,35.241402
67.000000,13.000000,36.741001
68.000000,13.000000,25.681200
69.000000,13.000000,27.368299
70.000000,13.000000,29.992599
71.000000,13.000000,26.243601
72.000000,13.000000,25.493700
73.000000,13.000000,26.243601
74.000000,13.000000,28.118099
75.000000,13.000000,26.056101
76.000000,13.000000,25.681200
77.000000,13.000000,35.241402
78.000000,13.000000,30.555000
79.000000,13.000000,26.618500
80.000000,13.000000,26.431000
81.000000,13.000000,23.431801
82.000000,13.000000,29.242800
83.000000,13.000000,30.180099
84.000000,13.000000,31.867201
85.000000,13.000000,36.366100
86.000000,13.000000,26.805901
87.000000,13.000000,27.180799
88.000000,13.000000,27.930599
89.000000,13.000000,24.368999
90.000000,13.000000,27.180799
91.000000,13.000000,33.929199
92.000000,13.000000,24.743900
93.000000,13.000000,21.557199
94.000000,13.000000,22.119600
95.000000,13.000000,19.682699
96.000000,13.000000,23.056801
97.000000,13.000000,23.431801
98.000000,13.000000,22.119600
99.000000,13.000000,24.368999
100.000000,13.000000,25.681200
101.000000,13.000000,20.994801
102.000000,13.000000,19.870100
103.000000,13.000000,20.994801
104.000000,13.000000,24.368999
105.000000,13.000000,27.555700
106.000000,13.000000,23.056801
107.000000,13.000000,20.245001
108.000000,13.000000,22.869400
109.000000,13.000000,23.806700
110.000000,13.000000,23.994101
111.000000,13.000000,22.306999
112.000000,13.000000,19.307800
113.000000,13.000000,23.244301
114.000000,13.000000,23.806700
115.000000,13.000000,20.807400
116.000000,13.000000,22.306999
117.000000,13.000000,21.932100
118.000000,13.000000,21.932100
119.000000,13.000000,24.556499
120.000000,13.000000,23.431801
121.000000,13.000000,18.745399
122.000000,13.000000,20.245001
123.000000,13.000000,24.931400
1.000000,14.000000,21.369801
2.000000,14.000000,25.868700
3.000000,14.000000,21.369801
4.000000,14.000000,22.494499
5.000000,14.000000,22.119600
6.000000,14.000000,22.494499
7.000000,14.000000,22.869400
8.000000,14.000000,22.494499
9.000000,14.000000,22.681900
10.000000,14.000000,23.244301
11.000000,14.000000,23.056801
12.000000,14.000000,23.806700
13.000000,14.000000,24.556499
14.000000,14.000000,24.368999
15.000000,14.000000,23.431801
16.000000,14.000000,23.806700
17.000000,14.000000,24.743900
18.000000,14.000000,22.494499
19.000000,14.000000,22.306999
20.000000,14.000000,26.431000
21.000000,14.000000,25.681200
22.000000,14.000000,23.994101
23.000000,14.000000,26.618500
24.000000,14.000000,27.180799
25.000000,14.000000,25.868700
26.000000,14.000000,26.431000
27.000000,14.000000,23.994101
28.000000,14.000000,24.556499
29.000000,14.000000,26.056101
30.000000,14.000000,26.056101
31.000000,14.000000,26.056101
32.000000,14.000000,26.243601
33.000000,14.000000,24.368999
34.000000,14.000000,29.430300
35.000000,14.000000,24.743900
36.000000,14.000000,24.181601
37.000000,14.000000,27.555700
38.000000,14.000000,25.681200
39.000000,14.000000,25.868700
40.000000,14.000000,29.805201
41.000000,14.000000,25.681200
42.000000,14.000000,23.994101
43.000000,14.000000,26.056101
44.000000,14.000000,33.366798
45.000000,14.000000,28.493000
46.000000,14.000000,27.743200
47.000000,14.000000,28.305599
48.000000,14.000000,39.365299
49.000000,14.000000,33.929199
50.000000,14.000000,30.929899
51.000000,14.000000,32.242100
52.000000,14.000000,30.367500
53.000000,14.000000,38.803001
54.000000,14.000000,50.237701
55.000000,14.000000,52.299702
56.000000,14.000000,43.864201
57.000000,14.000000,20.619900
58.000000,14.000000,14.808900
59.000000,14.000000,20.994801
60.000000,14.000000,37.303299
61.000000,14.000000,41.239899
62.000000,14.000000,48.925499
63.000000,14.000000,40.677502
64.000000,14.000000,38.803001
65.000000,14.000000,34.304100
66.000000,14.000000,31.679701
67.000000,14.000000,29.617701
68.000000,14.000000,30.180099
69.000000,14.000000,28.118099
70.000000,14.000000,26.243601
71.000000,14.000000,32.054600
72.000000,14.000000,28.867901
73.000000,14.000000,26.993401
74.000000,14.000000,27.555700
75.000000,14.000000,28.493000
76.000000,14.000000,32.991901
77.000000,14.000000,30.180099
78.000000,14.000000,24.931400
79.000000,14.000000,27.743200
80.000000,14.000000,33.179401
81.000000,14.000000,34.304100
82.000000,14.000000,39.177898
83.000000,14.000000,31.679701
84.000000,14.000000,28.305599
85.000000,14.000000,32.804501
86.000000,14.000000,35.053902
87.000000,14.000000,27.368299
88.000000,14.000000,24.556499
89.000000,14.000000,23.994101
90.000000,14.000000,30.367500
91.000000,14.000000,38.240601
92.000000,14.000000,26.431000
93.000000,14.000000,24.743900
94.000000,14.000000,23.056801
95.000000,14.000000,20.245001
96.000000,14.000000,27.180799
97.000000,14.000000,25.493700
98.000000,14.000000,22.306999
99.000000,14.000000,22.119600
100.000000,14.000000,20.807400
101.000000,14.000000,20.057600
102.000000,14.000000,21.744699
103.000000,14.000000,24.368999
104.000000,14.000000,24.368999
105.000000,14.000000,22.869400
106.000000,14.000000,24.931400
107.000000,14.000000,22.306999
108.000000,14.000000,22.494499
109.000000,14.000000,22.494499
110.000000,14.000000,24.181601
111.000000,14.000000,21.744699
112.000000,14.000000,21.182301
113.000000,14.000000,24.368999
114.000000,14.000000,23.619200
115.000000,14.000000,20.432501
116.000000,14.000000,23.431801
117.000000,14.000000,26.618500
118.000000,14.000000,24.181601
119.000000,14.000000,23.244301
120.000000,14.000000,24.743900
121.000000,14.000000,22.119600
122.000000,14.000000,23.244301
123.000000,14.000000,23.619200
1.000000,15.000000,20.432501
2.000000,15.000000,23.431801
3.000000,15.000000,23.806700
4.000000,15.000000,23.619200
5.000000,15.000000,21.744699
6.000000,15.000000,22.119600
7.000000,15.000000,21.182301
8.000000,15.000000,20.994801
9.000000,15.000000,23.806700
10.000000,15.000000,25.868700
11.000000,15.000000,23.431801
12.000000,15.000000,23.619200
13.000000,15.000000,24.368999
14.000000,15.000000,25.118799
15.000000,15.000000,23.994101
16.000000,15.000000,23.244301
17.000000,15.000000,23.994101
18.000000,15.000000,25.118799
19.000000,15.000000,25.118799
20.000000,15.000000,24.181601
21.000000,15.000000,25.868700
22.000000,15.000000,22.681900
23.000000,15.000000,25.868700
24.000000,15.000000,26.618500
25.000000,15.000000,25.681200
26.000000,15.000000,25.118799
27.000000,15.000000,26.618500
28.000000,15.000000,25.868700
29.000000,15.000000,26.805901
30.000000,15.000000,27.555700
31.000000,15.000000,26.618500
32.000000,15.000000,26.618500
33.000000,15.000000,23.994101
34.000000,15.000000,25.306299
35.000000,15.000000,26.243601
36.000000,15.000000,23.244301
37.000000,15.000000,25.681200
38.000000,15.000000,27.743200
39.000000,15.000000,27.368299
40.000000,15.000000,25.868700
41.000000,15.000000,28.118099
42.000000,15.000000,31.304800
43.000000,15.000000,27.930599
44.000000,15.000000,31.304800
45.000000,15.000000,32.804501
46.000000,15.000000,29.805201
47.000000,15.000000,34.304100
48.000000,15.000000,34.304100
49.000000,15.000000,33.741699
50.000000,15.000000,26.805901
51.000000,15.000000,35.616299
52.000000,15.000000,41.427299
53.000000,15.000000,20.807400
54.000000,15.000000,31.867201
55.000000,15.000000,24.556499
56.000000,15.000000,17.433201
57.000000,15.000000,87.353600
58.000000,15.000000,114.158997
59.000000,15.000000,93.726997
60.000000,15.000000,28.493000
61.000000,15.000000,10.122500
62.000000,15.000000,23.056801
63.000000,15.000000,29.617701
64.000000,15.000000,24.931400
65.000000,15.000000,31.867201
66.000000,15.000000,48.175701
67.000000,15.000000,50.237701
68.000000,15.000000,43.114399
69.000000,15.000000,30.555000
70.000000,15.000000,23.056801
71.000000,15.000000,30.367500
72.000000,15.000000,27.930599
73.000000,15.000000,33.554298
74.000000,15.000000,36.178600
75.000000,15.000000,30.180099
76.000000,15.000000,29.617701
77.000000,15.000000,36.553501
78.000000,15.000000,32.617001
79.000000,15.000000,29.805201
80.000000,15.000000,32.054600
81.000000,15.000000,29.242800
82.000000,15.000000,35.241402
83.000000,15.000000,30.367500
84.000000,15.000000,25.493700
85.000000,15.000000,31.304800
86.000000,15.000000,48.175701
87.000000,15.000000,31.117399
88.000000,15.000000,24.181601
89.000000,15.000000,29.242800
90.000000,15.000000,27.180799
91.000000,15.000000,28.493000
92.000000,15.000000,26.805901
93.000000,15.000000,28.680500
94.000000,15.000000,25.681200
95.000000,15.000000,25.118799
96.000000,15.000000,23.994101
97.000000,15.000000,23.619200
98.000000,15.000000,27.368299
99.000000,15.000000,24.743900
100.000000,15.000000,22.494499
101.000000,15.000000,23.431801
102.000000,15.000000,23.619200
103.000000,15.000000,26.431000
104.000000,15.000000,25.681200
105.000000,15.000000,21.744699
106.000000,15.000000,22.119600
107.000000,15.000000,23.244301
108.000000,15.000000,21.932100
109.000000,15.000000,23.619200
110.000000,15.000000,24.931400
111.000000,15.000000,22.869400
112.000000,15.000000,22.494499
113.000000,15.000000,21.932100
114.000000,15.000000,22.681900
115.000000,15.000000,23.056801
116.000000,15.000000,24.556499
117.000000,15.000000,20.994801
118.000000,15.000000,22.119600
119.000000,15.000000,23.431801
120.000000,15.000000,20.619900
121.000000,15.000000,20.807400
122.000000,15.000000,21.557199
123.000000,15.000000,23.244301
1.000000,16.000000,22.494499
2.000000,16.000000,20.619900
3.000000,16.000000,22.119600
4.000000,16.000000,23.431801
5.000000,16.000000,20.619900
6.000000,16.000000,22.681900
7.000000,16.000000,21.369801
8.000000,16.000000,23.056801
9.000000,16.000000,23.806700
10.000000,16.000000,23.994101
11.000000,16.000000,21.369801
12.000000,16.000000,21.744699
13.000000,16.000000,23.056801
14.000000,16.000000,23.619200
15.000000,16.000000,23.244301
16.000000,16.000000,26.805901
17.000000,16.000000,24.556499
18.000000,16.000000,25.681200
19.000000,16.000000,26.243601
20.000000,16.000000,22.681900
21.000000,16.000000,23.431801
22.000000,16.000000,24.556499
23.000000,16.000000,24.931400
24.000000,16.000000,23.994101
25.000000,16.000000,24.368999
26.000000,16.000000,26.993401
27.000000,16.000000,26.056101
28.000000,16.000000,22.306999
29.000000,16.000000,29.055401
30.000000,16.000000,28.867901
31.000000,16.000000,25.306299
32.000000,16.000000,29.617701
33.000000,16.000000,26.805901
34.000000,16.000000,28.493000
35.000000,16.000000,28.867901
36.000000,16.000000,27.368299
37.000000,16.000000,26.431000
38.000000,16.000000,28.867901
39.000000,16.000000,27.743200
40.000000,16.000000,25.681200
41.000000,16.000000,26.618500
42.000000,16.000000,27.368299
