S
I=9,J=9
0.000000, 0.000000, 0.000000
1.000000, 0.000000, 0.028459
2.000000, 0.000000, 0.094765
3.000000, 0.000000, 0.172687
4.000000, 0.000000, 0.173619
5.000000, 0.000000, 0.139463
6.000000, 0.000000, 0.546283
7.000000, 0.000000, 0.730539
8.000000, 0.000000, 0.829936
0.000000, 1.000000, 0.029882
1.000000, 1.000000, 0.033561
2.000000, 1.000000, 0.124221
3.000000, 1.000000, 0.316225
4.000000, 1.000000, 0.547767
5.000000, 1.000000, 0.709956
6.000000, 1.000000, 0.959806
7.000000, 1.000000, 0.843595
8.000000, 1.000000, 0.877100
0.000000, 2.000000, 0.105892
1.000000, 2.000000, 0.036072
2.000000, 2.000000, 0.089870
3.000000, 2.000000, 0.297693
4.000000, 2.000000, 0.569620
5.000000, 2.000000, 0.609986
6.000000, 2.000000, 0.590105
7.000000, 2.000000, 0.713721
8.000000, 2.000000, 0.876299
0.000000, 3.000000, 0.240339
1.000000, 3.000000, 0.033416
2.000000, 3.000000, 0.011728
3.000000, 3.000000, 0.117132
4.000000, 3.000000, 0.256087
5.000000, 3.000000, 0.197019
6.000000, 3.000000, 0.053939
7.000000, 3.000000, 0.708310
8.000000, 3.000000, 0.911772
0.000000, 4.000000, 0.582004
1.000000, 4.000000, 0.276001
2.000000, 4.000000, 0.238537
3.000000, 4.000000, 0.068866
4.000000, 4.000000, 0.185623
5.000000, 4.000000, 0.515892
6.000000, 4.000000, 0.746845
7.000000, 4.000000, 0.987868
8.000000, 4.000000, 0.928113
0.000000, 5.000000, 0.760044
1.000000, 5.000000, 0.749811
2.000000, 5.000000, 0.592997
3.000000, 5.000000, 0.297318
4.000000, 5.000000, 0.427012
5.000000, 5.000000, 0.688578
6.000000, 5.000000, 0.560457
7.000000, 5.000000, 0.358650
8.000000, 5.000000, 0.789769
0.000000, 6.000000, 0.558638
1.000000, 6.000000, 0.395767
2.000000, 6.000000, 0.384522
3.000000, 6.000000, 0.499745
4.000000, 6.000000, 0.570513
5.000000, 6.000000, 0.612607
6.000000, 6.000000, 0.511457
7.000000, 6.000000, 0.501261
8.000000, 6.000000, 0.756432
0.000000, 7.000000, 0.438598
1.000000, 7.000000, 0.202686
2.000000, 7.000000, 0.484724
3.000000, 7.000000, 0.683327
4.000000, 7.000000, 0.666189
5.000000, 7.000000, 0.658076
6.000000, 7.000000, 0.646964
7.000000, 7.000000, 0.713333
8.000000, 7.000000, 0.897216
0.000000, 8.000000, 0.510391
1.000000, 8.000000, 0.473881
2.000000, 8.000000, 0.589939
3.000000, 8.000000, 0.695613
4.000000, 8.000000, 0.718740
5.000000, 8.000000, 0.736930
6.000000, 8.000000, 0.774136
7.000000, 8.000000, 0.861165
8.000000, 8.000000, 1.000000
