S
I=9,J=9
0.499500,0.499000,0.071757
1.498500,0.499000,0.103748
2.497500,0.499000,0.135884
3.496500,0.499000,0.158466
4.495500,0.499000,0.159081
5.494500,0.499000,0.196894
6.493500,0.499000,0.500152
7.492500,0.499000,0.655177
8.491500,0.499000,0.703667
0.499500,1.497000,0.127109
1.498500,1.497000,0.169117
2.497500,1.497000,0.225403
3.496500,1.497000,0.293680
4.495500,1.497000,0.389525
5.494500,1.497000,0.603723
6.493500,1.497000,0.866300
7.492500,1.497000,0.869381
8.491500,1.497000,0.826848
0.499500,2.495000,0.199476
1.498500,2.495000,0.249235
2.497500,2.495000,0.325870
3.496500,2.495000,0.437455
4.495500,2.495000,0.610621
5.494500,2.495000,0.878701
6.493500,2.495000,1.069835
7.492500,2.495000,1.008556
8.491500,2.495000,0.899536
0.499500,3.493000,0.263132
1.498500,3.493000,0.318426
2.497500,3.493000,0.402362
3.496500,3.493000,0.523007
4.495500,3.493000,0.691021
5.494500,3.493000,0.896211
6.493500,3.493000,1.053906
7.492500,3.493000,1.023066
8.491500,3.493000,0.873348
0.499500,4.491000,0.312197
1.498500,4.491000,0.365473
2.497500,4.491000,0.441515
3.496500,4.491000,0.542633
4.495500,4.491000,0.667115
5.494500,4.491000,0.802315
6.493500,4.491000,0.932093
7.492500,4.491000,0.868891
8.491500,4.491000,0.704696
0.499500,5.489000,0.346472
1.498500,5.489000,0.391308
2.497500,5.489000,0.450116
3.496500,5.489000,0.519524
4.495500,5.489000,0.589017
5.494500,5.489000,0.632698
6.493500,5.489000,0.582172
7.492500,5.489000,0.363978
8.491500,5.489000,0.461898
0.499500,6.487000,0.369397
1.498500,6.487000,0.403021
2.497500,6.487000,0.442881
3.496500,6.487000,0.482838
4.495500,6.487000,0.510411
5.494500,6.487000,0.503765
6.493500,6.487000,0.437373
7.492500,6.487000,0.347017
8.491500,6.487000,0.378847
0.499500,7.485000,0.385649
1.498500,7.485000,0.408556
2.497500,7.485000,0.432853
3.496500,7.485000,0.452729
4.495500,7.485000,0.459357
5.494500,7.485000,0.443074
6.493500,7.485000,0.403695
7.492500,7.485000,0.370500
8.491500,7.485000,0.383825
0.499500,8.483001,0.399331
1.498500,8.483001,0.413733
2.497500,8.483001,0.427396
3.496500,8.483001,0.436228
4.495500,8.483001,0.435624
5.494500,8.483001,0.423151
6.493500,8.483001,0.403718
7.492500,8.483001,0.392546
8.491500,8.483001,0.404318
