S
I=71,J=71
0.0, 0.0, 1.181776
0.0, 0.0, 1.204673
0.0, 0.0, 1.227140
0.0, 0.0, 1.248953
0.0, 0.0, 1.269865
0.0, 0.0, 1.289616
0.0, 0.0, 1.307929
0.0, 0.0, 1.324516
0.0, 0.0, 1.339084
0.0, 0.0, 1.351333
0.0, 0.0, 1.360970
0.0, 0.0, 1.367704
0.0, 0.0, 1.371258
0.0, 0.0, 1.371372
0.0, 0.0, 1.367804
0.0, 0.0, 1.360343
0.0, 0.0, 1.348805
0.0, 0.0, 1.333045
0.0, 0.0, 1.312960
0.0, 0.0, 1.288498
0.0, 0.0, 1.259666
0.0, 0.0, 1.226542
0.0, 0.0, 1.189284
0.0, 0.0, 1.148148
0.0, 0.0, 1.103503
0.0, 0.0, 1.055849
0.0, 0.0, 1.005841
0.0, 0.0, 0.954308
0.0, 0.0, 0.902284
0.0, 0.0, 0.851033
0.0, 0.0, 0.802068
0.0, 0.0, 0.757157
0.0, 0.0, 0.718282
0.0, 0.0, 0.687516
0.0, 0.0, 0.666802
0.0, 0.0, 0.657628
0.0, 0.0, 0.660707
0.0, 0.0, 0.675795
0.0, 0.0, 0.701757
0.0, 0.0, 0.736835
0.0, 0.0, 0.778986
0.0, 0.0, 0.826159
0.0, 0.0, 0.876473
0.0, 0.0, 0.928284
0.0, 0.0, 0.980205
0.0, 0.0, 1.031092
0.0, 0.0, 1.080015
0.0, 0.0, 1.126236
0.0, 0.0, 1.169180
0.0, 0.0, 1.208416
0.0, 0.0, 1.243633
0.0, 0.0, 1.274625
0.0, 0.0, 1.301277
0.0, 0.0, 1.323547
0.0, 0.0, 1.341460
0.0, 0.0, 1.355093
0.0, 0.0, 1.364572
0.0, 0.0, 1.370062
0.0, 0.0, 1.371761
0.0, 0.0, 1.369895
0.0, 0.0, 1.364718
0.0, 0.0, 1.356497
0.0, 0.0, 1.345517
0.0, 0.0, 1.332071
0.0, 0.0, 1.316457
0.0, 0.0, 1.298970
0.0, 0.0, 1.279903
0.0, 0.0, 1.259537
0.0, 0.0, 1.238144
0.0, 0.0, 1.215974
0.0, 0.0, 1.193265
0.0, 0.0, 1.197999
0.0, 0.0, 1.223557
0.0, 0.0, 1.248502
0.0, 0.0, 1.272780
0.0, 0.0, 1.296175
0.0, 0.0, 1.318407
0.0, 0.0, 1.339169
0.0, 0.0, 1.358138
0.0, 0.0, 1.374980
0.0, 0.0, 1.389357
0.0, 0.0, 1.400932
0.0, 0.0, 1.409372
0.0, 0.0, 1.414360
0.0, 0.0, 1.415590
0.0, 0.0, 1.412782
0.0, 0.0, 1.405681
0.0, 0.0, 1.394063
0.0, 0.0, 1.377742
0.0, 0.0, 1.356571
0.0, 0.0, 1.330458
0.0, 0.0, 1.299367
0.0, 0.0, 1.263334
0.0, 0.0, 1.222479
0.0, 0.0, 1.177024
0.0, 0.0, 1.127314
0.0, 0.0, 1.073833
0.0, 0.0, 1.017239
0.0, 0.0, 0.958390
0.0, 0.0, 0.898382
0.0, 0.0, 0.838600
0.0, 0.0, 0.780770
0.0, 0.0, 0.727005
0.0, 0.0, 0.679809
0.0, 0.0, 0.641962
0.0, 0.0, 0.616204
0.0, 0.0, 0.604720
0.0, 0.0, 0.608579
0.0, 0.0, 0.627415
0.0, 0.0, 0.659539
0.0, 0.0, 0.702416
0.0, 0.0, 0.753231
0.0, 0.0, 0.809318
0.0, 0.0, 0.868363
0.0, 0.0, 0.928451
0.0, 0.0, 0.988034
0.0, 0.0, 1.045877
0.0, 0.0, 1.101008
0.0, 0.0, 1.152674
0.0, 0.0, 1.200308
0.0, 0.0, 1.243498
0.0, 0.0, 1.281963
0.0, 0.0, 1.315535
0.0, 0.0, 1.344136
0.0, 0.0, 1.367770
0.0, 0.0, 1.386500
0.0, 0.0, 1.400449
0.0, 0.0, 1.409783
0.0, 0.0, 1.414707
0.0, 0.0, 1.415463
0.0, 0.0, 1.412317
0.0, 0.0, 1.405564
0.0, 0.0, 1.395515
0.0, 0.0, 1.382498
0.0, 0.0, 1.366846
0.0, 0.0, 1.348899
0.0, 0.0, 1.328992
0.0, 0.0, 1.307455
0.0, 0.0, 1.284603
0.0, 0.0, 1.260725
0.0, 0.0, 1.236046
0.0, 0.0, 1.210626
0.0, 0.0, 1.214939
0.0, 0.0, 1.243193
0.0, 0.0, 1.270857
0.0, 0.0, 1.297889
0.0, 0.0, 1.324079
0.0, 0.0, 1.349124
0.0, 0.0, 1.372682
0.0, 0.0, 1.394389
0.0, 0.0, 1.413869
0.0, 0.0, 1.430738
0.0, 0.0, 1.444612
0.0, 0.0, 1.455111
0.0, 0.0, 1.461869
0.0, 0.0, 1.464537
0.0, 0.0, 1.462786
0.0, 0.0, 1.456318
0.0, 0.0, 1.444864
0.0, 0.0, 1.428190
0.0, 0.0, 1.406104
0.0, 0.0, 1.378461
0.0, 0.0, 1.345175
0.0, 0.0, 1.306227
0.0, 0.0, 1.261687
0.0, 0.0, 1.211726
0.0, 0.0, 1.156642
0.0, 0.0, 1.096885
0.0, 0.0, 1.033087
0.0, 0.0, 0.966099
0.0, 0.0, 0.897042
0.0, 0.0, 0.827369
0.0, 0.0, 0.758968
0.0, 0.0, 0.694275
0.0, 0.0, 0.636392
0.0, 0.0, 0.589066
0.0, 0.0, 0.556313
0.0, 0.0, 0.541551
0.0, 0.0, 0.546524
0.0, 0.0, 0.570628
0.0, 0.0, 0.611157
0.0, 0.0, 0.664261
0.0, 0.0, 0.725980
0.0, 0.0, 0.792872
0.0, 0.0, 0.862176
0.0, 0.0, 0.931747
0.0, 0.0, 0.999929
0.0, 0.0, 1.065443
0.0, 0.0, 1.127312
0.0, 0.0, 1.184800
0.0, 0.0, 1.237369
0.0, 0.0, 1.284648
0.0, 0.0, 1.326407
0.0, 0.0, 1.362526
0.0, 0.0, 1.392984
0.0, 0.0, 1.417833
0.0, 0.0, 1.437192
0.0, 0.0, 1.451230
0.0, 0.0, 1.460159
0.0, 0.0, 1.464233
0.0, 0.0, 1.463735
0.0, 0.0, 1.458980
0.0, 0.0, 1.450307
0.0, 0.0, 1.438073
0.0, 0.0, 1.422654
0.0, 0.0, 1.404431
0.0, 0.0, 1.383790
0.0, 0.0, 1.361111
0.0, 0.0, 1.336765
0.0, 0.0, 1.311104
0.0, 0.0, 1.284443
0.0, 0.0, 1.257000
0.0, 0.0, 1.228829
0.0, 0.0, 1.232579
0.0, 0.0, 1.263765
0.0, 0.0, 1.294429
0.0, 0.0, 1.324545
0.0, 0.0, 1.353891
0.0, 0.0, 1.382135
0.0, 0.0, 1.408895
0.0, 0.0, 1.433761
0.0, 0.0, 1.456309
0.0, 0.0, 1.476104
0.0, 0.0, 1.492708
0.0, 0.0, 1.505690
0.0, 0.0, 1.514630
0.0, 0.0, 1.519132
0.0, 0.0, 1.518817
0.0, 0.0, 1.513341
0.0, 0.0, 1.502386
0.0, 0.0, 1.485670
0.0, 0.0, 1.462950
0.0, 0.0, 1.434023
0.0, 0.0, 1.398745
0.0, 0.0, 1.357031
0.0, 0.0, 1.308883
0.0, 0.0, 1.254407
0.0, 0.0, 1.193836
0.0, 0.0, 1.127563
0.0, 0.0, 1.056167
0.0, 0.0, 0.980460
0.0, 0.0, 0.901530
