S
I=171,J=121
0.0, 0.0, 5.075113
0.0, 0.0, 4.756482
0.0, 0.0, 4.501936
0.0, 0.0, 4.298342
0.0, 0.0, 4.153118
0.0, 0.0, 4.052553
0.0, 0.0, 3.955538
0.0, 0.0, 3.802034
0.0, 0.0, 3.558403
0.0, 0.0, 3.228919
0.0, 0.0, 2.861794
0.0, 0.0, 2.508871
0.0, 0.0, 2.211653
0.0, 0.0, 2.035505
0.0, 0.0, 2.107874
0.0, 0.0, 2.523744
0.0, 0.0, 3.220395
0.0, 0.0, 3.922253
0.0, 0.0, 4.223816
0.0, 0.0, 3.915863
0.0, 0.0, 3.167914
0.0, 0.0, 2.298310
0.0, 0.0, 1.445382
0.0, 0.0, 0.648586
0.0, 0.0, 0.312124
0.0, 0.0, 0.755072
0.0, 0.0, 1.135664
0.0, 0.0, 1.368230
0.0, 0.0, 1.579729
0.0, 0.0, 2.252533
0.0, 0.0, 3.332080
0.0, 0.0, 4.440674
0.0, 0.0, 5.451010
0.0, 0.0, 6.285005
0.0, 0.0, 6.855060
0.0, 0.0, 7.074333
0.0, 0.0, 6.890186
0.0, 0.0, 6.339556
0.0, 0.0, 5.550630
0.0, 0.0, 4.656622
0.0, 0.0, 3.766087
0.0, 0.0, 2.974726
0.0, 0.0, 2.319475
0.0, 0.0, 1.841339
0.0, 0.0, 1.594043
0.0, 0.0, 1.518421
0.0, 0.0, 1.498369
0.0, 0.0, 1.496391
0.0, 0.0, 1.525733
0.0, 0.0, 1.570737
0.0, 0.0, 1.572358
0.0, 0.0, 1.474010
0.0, 0.0, 1.276588
0.0, 0.0, 1.083456
0.0, 0.0, 1.078372
0.0, 0.0, 1.316041
0.0, 0.0, 1.691571
0.0, 0.0, 2.136926
0.0, 0.0, 2.608758
0.0, 0.0, 3.033621
0.0, 0.0, 3.327563
0.0, 0.0, 3.437076
0.0, 0.0, 3.347043
0.0, 0.0, 3.097963
0.0, 0.0, 2.810567
0.0, 0.0, 2.661535
0.0, 0.0, 2.784243
0.0, 0.0, 3.125045
0.0, 0.0, 3.468860
0.0, 0.0, 3.660682
0.0, 0.0, 3.695896
0.0, 0.0, 3.645239
0.0, 0.0, 3.573008
0.0, 0.0, 3.522195
0.0, 0.0, 3.518166
0.0, 0.0, 3.548359
0.0, 0.0, 3.561238
0.0, 0.0, 3.500104
0.0, 0.0, 3.319294
0.0, 0.0, 2.980821
0.0, 0.0, 2.465136
0.0, 0.0, 1.805949
0.0, 0.0, 1.151381
0.0, 0.0, 0.778164
0.0, 0.0, 0.862065
0.0, 0.0, 1.026649
0.0, 0.0, 0.904245
0.0, 0.0, 1.053608
0.0, 0.0, 1.701132
0.0, 0.0, 2.102379
0.0, 0.0, 2.058281
0.0, 0.0, 1.708636
0.0, 0.0, 1.260867
0.0, 0.0, 1.215957
0.0, 0.0, 2.274688
0.0, 0.0, 4.026209
0.0, 0.0, 5.902550
0.0, 0.0, 7.361746
0.0, 0.0, 8.085414
0.0, 0.0, 8.056362
0.0, 0.0, 7.235997
0.0, 0.0, 5.556041
0.0, 0.0, 3.646034
0.0, 0.0, 2.638970
0.0, 0.0, 2.627420
0.0, 0.0, 3.026389
0.0, 0.0, 3.626667
0.0, 0.0, 4.296073
0.0, 0.0, 4.899997
0.0, 0.0, 5.402846
0.0, 0.0, 5.803267
0.0, 0.0, 6.118320
0.0, 0.0, 6.373002
0.0, 0.0, 6.576715
0.0, 0.0, 6.723084
0.0, 0.0, 6.790561
0.0, 0.0, 6.736073
0.0, 0.0, 6.504417
0.0, 0.0, 6.101340
0.0, 0.0, 5.708098
0.0, 0.0, 5.647817
0.0, 0.0, 5.484077
0.0, 0.0, 5.090512
0.0, 0.0, 4.703429
0.0, 0.0, 4.362844
0.0, 0.0, 4.080148
0.0, 0.0, 3.855889
0.0, 0.0, 3.670844
0.0, 0.0, 3.491786
0.0, 0.0, 3.287914
0.0, 0.0, 3.049214
0.0, 0.0, 2.791611
0.0, 0.0, 2.552852
0.0, 0.0, 2.386755
0.0, 0.0, 2.359835
0.0, 0.0, 2.530666
0.0, 0.0, 2.906402
0.0, 0.0, 3.396811
0.0, 0.0, 3.813080
0.0, 0.0, 3.951703
0.0, 0.0, 3.718648
0.0, 0.0, 3.180679
0.0, 0.0, 2.487159
0.0, 0.0, 1.770554
0.0, 0.0, 1.160555
0.0, 0.0, 0.806716
0.0, 0.0, 0.762598
0.0, 0.0, 0.958907
0.0, 0.0, 1.263283
0.0, 0.0, 1.691649
0.0, 0.0, 2.299156
0.0, 0.0, 3.084988
0.0, 0.0, 3.957715
0.0, 0.0, 4.808741
0.0, 0.0, 5.554488
0.0, 0.0, 6.107089
0.0, 0.0, 6.379595
0.0, 0.0, 6.319597
0.0, 0.0, 5.939775
0.0, 0.0, 5.318331
0.0, 0.0, 4.572167
0.0, 0.0, 3.821183
0.0, 0.0, 3.156142
0.0, 0.0, 2.626424
0.0, 0.0, 2.243715
0.0, 0.0, 1.987207
0.0, 0.0, 1.812644
0.0, 0.0, 1.674420
0.0, 0.0, 1.549336
0.0, 0.0, 1.435511
0.0, 0.0, 1.333753
0.0, 0.0, 1.241052
0.0, 0.0, 1.163809
0.0, 0.0, 1.127457
0.0, 0.0, 1.172724
0.0, 0.0, 1.323003
0.0, 0.0, 1.565495
0.0, 0.0, 1.867756
0.0, 0.0, 2.199464
0.0, 0.0, 2.535657
0.0, 0.0, 2.839405
0.0, 0.0, 3.060345
0.0, 0.0, 3.151715
0.0, 0.0, 3.094479
0.0, 0.0, 2.920232
0.0, 0.0, 2.718514
0.0, 0.0, 2.607920
0.0, 0.0, 2.670060
0.0, 0.0, 2.893963
0.0, 0.0, 3.186329
0.0, 0.0, 3.439747
0.0, 0.0, 3.595562
0.0, 0.0, 3.654032
0.0, 0.0, 3.650068
0.0, 0.0, 3.625732
0.0, 0.0, 3.608343
0.0, 0.0, 3.597040
0.0, 0.0, 3.565419
0.0, 0.0, 3.478276
0.0, 0.0, 3.307039
0.0, 0.0, 3.034369
0.0, 0.0, 2.658121
0.0, 0.0, 2.209572
0.0, 0.0, 1.773395
