S
I=71,J=71
0.0, 0.0, 2.265347
0.0, 0.0, 2.266668
0.0, 0.0, 2.263222
0.0, 0.0, 2.254417
0.0, 0.0, 2.239632
0.0, 0.0, 2.218236
0.0, 0.0, 2.189619
0.0, 0.0, 2.153233
0.0, 0.0, 2.108666
0.0, 0.0, 2.055756
0.0, 0.0, 1.993905
0.0, 0.0, 1.925066
0.0, 0.0, 1.849435
0.0, 0.0, 1.767437
0.0, 0.0, 1.679774
0.0, 0.0, 1.587477
0.0, 0.0, 1.491959
0.0, 0.0, 1.395064
0.0, 0.0, 1.299138
0.0, 0.0, 1.207085
0.0, 0.0, 1.122418
0.0, 0.0, 1.049231
0.0, 0.0, 0.992003
0.0, 0.0, 0.955088
0.0, 0.0, 0.941896
0.0, 0.0, 0.954009
0.0, 0.0, 0.990772
0.0, 0.0, 1.049640
0.0, 0.0, 1.127048
0.0, 0.0, 1.219245
0.0, 0.0, 1.322807
0.0, 0.0, 1.434797
0.0, 0.0, 1.552729
0.0, 0.0, 1.674458
0.0, 0.0, 1.812100
0.0, 0.0, 1.955511
0.0, 0.0, 2.091435
0.0, 0.0, 2.215827
0.0, 0.0, 2.325155
0.0, 0.0, 2.416768
0.0, 0.0, 2.489150
0.0, 0.0, 2.558751
0.0, 0.0, 2.601708
0.0, 0.0, 2.620538
0.0, 0.0, 2.618371
0.0, 0.0, 2.598348
0.0, 0.0, 2.563352
0.0, 0.0, 2.515847
0.0, 0.0, 2.457829
0.0, 0.0, 2.390843
0.0, 0.0, 2.316042
0.0, 0.0, 2.234272
0.0, 0.0, 2.146158
0.0, 0.0, 2.052197
0.0, 0.0, 1.952841
0.0, 0.0, 1.848569
0.0, 0.0, 1.739949
0.0, 0.0, 1.627669
0.0, 0.0, 1.512564
0.0, 0.0, 1.395602
0.0, 0.0, 1.277861
0.0, 0.0, 1.160481
0.0, 0.0, 1.044609
0.0, 0.0, 0.931344
0.0, 0.0, 0.821687
0.0, 0.0, 0.716505
0.0, 0.0, 0.616507
0.0, 0.0, 0.522241
0.0, 0.0, 0.435864
0.0, 0.0, 0.375609
0.0, 0.0, 0.343548
0.0, 0.0, 2.349284
0.0, 0.0, 2.352943
0.0, 0.0, 2.351358
0.0, 0.0, 2.343964
0.0, 0.0, 2.330015
0.0, 0.0, 2.308732
0.0, 0.0, 2.279317
0.0, 0.0, 2.241005
0.0, 0.0, 2.193134
0.0, 0.0, 2.135680
0.0, 0.0, 2.069754
0.0, 0.0, 1.995574
0.0, 0.0, 1.913221
0.0, 0.0, 1.823022
0.0, 0.0, 1.725619
0.0, 0.0, 1.622024
0.0, 0.0, 1.513683
0.0, 0.0, 1.402551
0.0, 0.0, 1.291170
0.0, 0.0, 1.182793
0.0, 0.0, 1.081514
0.0, 0.0, 0.992377
0.0, 0.0, 0.921285
0.0, 0.0, 0.874424
0.0, 0.0, 0.856935
0.0, 0.0, 0.871247
0.0, 0.0, 0.916197
0.0, 0.0, 0.987765
0.0, 0.0, 1.080763
0.0, 0.0, 1.190243
0.0, 0.0, 1.312117
0.0, 0.0, 1.443182
0.0, 0.0, 1.580966
0.0, 0.0, 1.730375
0.0, 0.0, 1.898898
0.0, 0.0, 2.065523
0.0, 0.0, 2.222875
0.0, 0.0, 2.365763
0.0, 0.0, 2.489580
0.0, 0.0, 2.590926
0.0, 0.0, 2.668254
0.0, 0.0, 2.727719
0.0, 0.0, 2.770541
0.0, 0.0, 2.786478
0.0, 0.0, 2.778867
0.0, 0.0, 2.751972
0.0, 0.0, 2.709499
0.0, 0.0, 2.654452
0.0, 0.0, 2.589116
0.0, 0.0, 2.515138
0.0, 0.0, 2.433642
0.0, 0.0, 2.345349
0.0, 0.0, 2.250718
0.0, 0.0, 2.150059
0.0, 0.0, 2.043649
0.0, 0.0, 1.931822
0.0, 0.0, 1.815056
0.0, 0.0, 1.694022
0.0, 0.0, 1.569609
0.0, 0.0, 1.442915
0.0, 0.0, 1.315209
0.0, 0.0, 1.187865
0.0, 0.0, 1.062280
0.0, 0.0, 0.939798
0.0, 0.0, 0.821645
0.0, 0.0, 0.708879
0.0, 0.0, 0.602373
0.0, 0.0, 0.502892
0.0, 0.0, 0.417383
0.0, 0.0, 0.362894
0.0, 0.0, 0.340089
0.0, 0.0, 2.439941
0.0, 0.0, 2.446320
0.0, 0.0, 2.447107
0.0, 0.0, 2.441651
0.0, 0.0, 2.429071
0.0, 0.0, 2.408419
0.0, 0.0, 2.378694
0.0, 0.0, 2.338873
0.0, 0.0, 2.288048
0.0, 0.0, 2.227280
0.0, 0.0, 2.157535
0.0, 0.0, 2.078135
0.0, 0.0, 1.988987
0.0, 0.0, 1.890278
0.0, 0.0, 1.782548
0.0, 0.0, 1.666755
0.0, 0.0, 1.544345
0.0, 0.0, 1.417333
0.0, 0.0, 1.288404
0.0, 0.0, 1.161069
0.0, 0.0, 1.039923
0.0, 0.0, 0.930978
0.0, 0.0, 0.841912
0.0, 0.0, 0.781640
0.0, 0.0, 0.758306
0.0, 0.0, 0.775871
0.0, 0.0, 0.832066
0.0, 0.0, 0.920102
0.0, 0.0, 1.032213
0.0, 0.0, 1.161944
0.0, 0.0, 1.304663
