S
I=36,J=36
0.000000, 0.000000, 2.265347
1.000000, 0.000000, 2.266668
2.000000, 0.000000, 2.263222
3.000000, 0.000000, 2.254417
4.000000, 0.000000, 2.239632
5.000000, 0.000000, 2.218236
6.000000, 0.000000, 2.189619
7.000000, 0.000000, 2.153233
8.000000, 0.000000, 2.108666
9.000000, 0.000000, 2.055756
10.000000, 0.000000, 1.993905
11.000000, 0.000000, 1.925066
12.000000, 0.000000, 1.849435
13.000000, 0.000000, 1.767437
14.000000, 0.000000, 1.679774
15.000000, 0.000000, 1.587477
16.000000, 0.000000, 1.491959
17.000000, 0.000000, 1.395064
18.000000, 0.000000, 1.299138
19.000000, 0.000000, 1.207085
20.000000, 0.000000, 1.122418
21.000000, 0.000000, 1.049231
22.000000, 0.000000, 0.992003
23.000000, 0.000000, 0.955088
24.000000, 0.000000, 0.941896
25.000000, 0.000000, 0.954009
26.000000, 0.000000, 0.990772
27.000000, 0.000000, 1.049640
28.000000, 0.000000, 1.127048
29.000000, 0.000000, 1.219245
30.000000, 0.000000, 1.322807
31.000000, 0.000000, 1.434797
32.000000, 0.000000, 1.552729
33.000000, 0.000000, 1.674458
34.000000, 0.000000, 1.812100
35.000000, 0.000000, 1.955511
0.000000, 1.000000, 2.349284
1.000000, 1.000000, 2.352943
2.000000, 1.000000, 2.351358
3.000000, 1.000000, 2.343964
4.000000, 1.000000, 2.330015
5.000000, 1.000000, 2.308732
6.000000, 1.000000, 2.279317
7.000000, 1.000000, 2.241005
8.000000, 1.000000, 2.193134
9.000000, 1.000000, 2.135680
10.000000, 1.000000, 2.069754
11.000000, 1.000000, 1.995574
12.000000, 1.000000, 1.913221
13.000000, 1.000000, 1.823022
14.000000, 1.000000, 1.725619
15.000000, 1.000000, 1.622024
16.000000, 1.000000, 1.513683
17.000000, 1.000000, 1.402551
18.000000, 1.000000, 1.291170
19.000000, 1.000000, 1.182793
20.000000, 1.000000, 1.081514
21.000000, 1.000000, 0.992377
22.000000, 1.000000, 0.921285
23.000000, 1.000000, 0.874424
24.000000, 1.000000, 0.856935
25.000000, 1.000000, 0.871247
26.000000, 1.000000, 0.916197
27.000000, 1.000000, 0.987765
28.000000, 1.000000, 1.080763
29.000000, 1.000000, 1.190243
30.000000, 1.000000, 1.312117
31.000000, 1.000000, 1.443182
32.000000, 1.000000, 1.580966
33.000000, 1.000000, 1.730375
34.000000, 1.000000, 1.898898
35.000000, 1.000000, 2.065523
0.000000, 2.000000, 2.439941
1.000000, 2.000000, 2.446320
2.000000, 2.000000, 2.447107
3.000000, 2.000000, 2.441651
4.000000, 2.000000, 2.429071
5.000000, 2.000000, 2.408419
6.000000, 2.000000, 2.378694
7.000000, 2.000000, 2.338873
8.000000, 2.000000, 2.288048
9.000000, 2.000000, 2.227280
10.000000, 2.000000, 2.157535
11.000000, 2.000000, 2.078135
12.000000, 2.000000, 1.988987
13.000000, 2.000000, 1.890278
14.000000, 2.000000, 1.782548
15.000000, 2.000000, 1.666755
16.000000, 2.000000, 1.544345
17.000000, 2.000000, 1.417333
18.000000, 2.000000, 1.288404
19.000000, 2.000000, 1.161069
20.000000, 2.000000, 1.039923
21.000000, 2.000000, 0.930978
22.000000, 2.000000, 0.841912
23.000000, 2.000000, 0.781640
24.000000, 2.000000, 0.758306
25.000000, 2.000000, 0.775871
26.000000, 2.000000, 0.832066
27.000000, 2.000000, 0.920102
28.000000, 2.000000, 1.032213
29.000000, 2.000000, 1.161944
30.000000, 2.000000, 1.304663
31.000000, 2.000000, 1.457178
32.000000, 2.000000, 1.618697
33.000000, 2.000000, 1.805106
34.000000, 2.000000, 2.003412
35.000000, 2.000000, 2.197346
0.000000, 3.000000, 2.537869
1.000000, 3.000000, 2.547529
2.000000, 3.000000, 2.551277
3.000000, 3.000000, 2.548373
4.000000, 3.000000, 2.537798
5.000000, 3.000000, 2.518427
6.000000, 3.000000, 2.489033
7.000000, 3.000000, 2.448309
8.000000, 3.000000, 2.395288
9.000000, 3.000000, 2.332428
10.000000, 3.000000, 2.259371
11.000000, 3.000000, 2.175088
12.000000, 3.000000, 2.079279
13.000000, 3.000000, 1.971945
14.000000, 3.000000, 1.853479
15.000000, 3.000000, 1.724749
16.000000, 3.000000, 1.587172
17.000000, 3.000000, 1.442790
18.000000, 3.000000, 1.294365
19.000000, 3.000000, 1.145543
20.000000, 3.000000, 1.001204
21.000000, 3.000000, 0.868108
22.000000, 3.000000, 0.755827
23.000000, 3.000000, 0.677199
24.000000, 3.000000, 0.645789
