S
I=43,J=43
0.000000, 0.000000, 3.234709
1.000000, 0.000000, 3.285911
2.000000, 0.000000, 3.353146
3.000000, 0.000000, 3.432924
4.000000, 0.000000, 3.522432
5.000000, 0.000000, 3.620209
6.000000, 0.000000, 3.711156
7.000000, 0.000000, 3.728000
8.000000, 0.000000, 3.576476
9.000000, 0.000000, 3.287656
10.000000, 0.000000, 2.979984
11.000000, 0.000000, 2.713221
12.000000, 0.000000, 2.489567
13.000000, 0.000000, 2.297004
14.000000, 0.000000, 2.124605
15.000000, 0.000000, 1.965061
16.000000, 0.000000, 1.814300
17.000000, 0.000000, 1.670486
18.000000, 0.000000, 1.533700
19.000000, 0.000000, 1.405267
20.000000, 0.000000, 1.287679
21.000000, 0.000000, 1.184856
22.000000, 0.000000, 1.101397
23.000000, 0.000000, 1.043313
24.000000, 0.000000, 1.016425
25.000000, 0.000000, 1.022210
26.000000, 0.000000, 1.057066
27.000000, 0.000000, 1.116141
28.000000, 0.000000, 1.195168
29.000000, 0.000000, 1.290592
30.000000, 0.000000, 1.400514
31.000000, 0.000000, 1.522880
32.000000, 0.000000, 1.655145
33.000000, 0.000000, 1.791156
34.000000, 0.000000, 1.936457
35.000000, 0.000000, 2.077693
36.000000, 0.000000, 2.204675
37.000000, 0.000000, 2.317103
38.000000, 0.000000, 2.413699
39.000000, 0.000000, 2.493194
40.000000, 0.000000, 2.556272
41.000000, 0.000000, 2.621509
42.000000, 0.000000, 2.667549
0.000000, 1.000000, 3.122058
1.000000, 1.000000, 3.168501
2.000000, 1.000000, 3.233712
3.000000, 1.000000, 3.310123
4.000000, 1.000000, 3.391939
5.000000, 1.000000, 3.489853
6.000000, 1.000000, 3.633763
7.000000, 1.000000, 3.766553
8.000000, 1.000000, 3.578033
9.000000, 1.000000, 3.152361
10.000000, 1.000000, 2.799900
11.000000, 1.000000, 2.545037
12.000000, 1.000000, 2.346781
13.000000, 1.000000, 2.177441
14.000000, 1.000000, 2.022030
15.000000, 1.000000, 1.873193
16.000000, 1.000000, 1.727416
17.000000, 1.000000, 1.583836
18.000000, 1.000000, 1.443162
19.000000, 1.000000, 1.307631
20.000000, 1.000000, 1.180893
21.000000, 1.000000, 1.067598
22.000000, 1.000000, 0.973803
23.000000, 1.000000, 0.907196
24.000000, 1.000000, 0.879228
25.000000, 1.000000, 0.893978
26.000000, 1.000000, 0.941944
27.000000, 1.000000, 1.016452
28.000000, 1.000000, 1.112291
29.000000, 1.000000, 1.225027
30.000000, 1.000000, 1.352771
31.000000, 1.000000, 1.495825
32.000000, 1.000000, 1.653550
33.000000, 1.000000, 1.826636
34.000000, 1.000000, 2.008249
35.000000, 1.000000, 2.169717
36.000000, 1.000000, 2.314425
37.000000, 1.000000, 2.442799
38.000000, 1.000000, 2.551711
39.000000, 1.000000, 2.638595
40.000000, 1.000000, 2.703105
41.000000, 1.000000, 2.755219
42.000000, 1.000000, 2.801399
0.000000, 2.000000, 2.998276
1.000000, 2.000000, 3.035289
2.000000, 2.000000, 3.096119
3.000000, 2.000000, 3.160600
4.000000, 2.000000, 3.203829
5.000000, 2.000000, 3.218264
6.000000, 2.000000, 3.275526
7.000000, 2.000000, 3.617528
8.000000, 2.000000, 3.338802
9.000000, 2.000000, 2.758852
10.000000, 2.000000, 2.491710
11.000000, 2.000000, 2.323913
12.000000, 2.000000, 2.186871
13.000000, 2.000000, 2.057672
14.000000, 2.000000, 1.927553
15.000000, 2.000000, 1.793093
16.000000, 2.000000, 1.653583
17.000000, 2.000000, 1.509947
18.000000, 2.000000, 1.364415
19.000000, 2.000000, 1.220183
20.000000, 2.000000, 1.081830
21.000000, 2.000000, 0.955254
22.000000, 2.000000, 0.848472
23.000000, 2.000000, 0.770584
24.000000, 2.000000, 0.739421
25.000000, 2.000000, 0.764358
26.000000, 2.000000, 0.826859
27.000000, 2.000000, 0.919513
28.000000, 2.000000, 1.034465
29.000000, 2.000000, 1.165788
30.000000, 2.000000, 1.310998
31.000000, 2.000000, 1.472839
32.000000, 2.000000, 1.658492
33.000000, 2.000000, 1.879562
34.000000, 2.000000, 2.099811
35.000000, 2.000000, 2.281864
36.000000, 2.000000, 2.450205
37.000000, 2.000000, 2.599990
38.000000, 2.000000, 2.724961
39.000000, 2.000000, 2.820808
40.000000, 2.000000, 2.885840
41.000000, 2.000000, 2.924388
42.000000, 2.000000, 2.961942
0.000000, 3.000000, 2.869689
1.000000, 3.000000, 2.893297
2.000000, 3.000000, 2.956590
3.000000, 3.000000, 3.016078
4.000000, 3.000000, 3.016766
5.000000, 3.000000, 2.878176
6.000000, 3.000000, 2.521873
7.000000, 3.000000, 1.758775
8.000000, 3.000000, 1.742464
9.000000, 3.000000, 2.061154
10.000000, 3.000000, 2.115769
11.000000, 3.000000, 2.096587
12.000000, 3.000000, 2.039982
13.000000, 3.000000, 1.957577
14.000000, 3.000000, 1.854653
15.000000, 3.000000, 1.734635
16.000000, 3.000000, 1.600553
17.000000, 3.000000, 1.455456
18.000000, 3.000000, 1.303072
19.000000, 3.000000, 1.147582
20.000000, 3.000000, 0.994765
21.000000, 3.000000, 0.851825
22.000000, 3.000000, 0.729273
23.000000, 3.000000, 0.641792
24.000000, 3.000000, 0.608257
25.000000, 3.000000, 0.636410
26.000000, 3.000000, 0.715201
27.000000, 3.000000, 0.829705
28.000000, 3.000000, 0.967447
29.000000, 3.000000, 1.119965
30.000000, 3.000000, 1.282734
31.000000, 3.000000, 1.457895
32.000000, 3.000000, 1.677873
33.000000, 3.000000, 1.938147
34.000000, 3.000000, 2.188649
35.000000, 3.000000, 2.413154
36.000000, 3.000000, 2.617026
37.000000, 3.000000, 2.795913
38.000000, 3.000000, 2.942294
39.000000, 3.000000, 3.049580
40.000000, 3.000000, 3.116246
41.000000, 3.000000, 3.146254
42.000000, 3.000000, 3.165210
0.000000, 4.000000, 2.752544
1.000000, 4.000000, 2.753621
2.000000, 4.000000, 2.839271
3.000000, 4.000000, 2.909285
4.000000, 4.000000, 2.915243
5.000000, 4.000000, 2.726016
6.000000, 4.000000, 2.152951
7.000000, 4.000000, 1.461281
8.000000, 4.000000, 1.346914
9.000000, 4.000000, 1.666640
10.000000, 4.000000, 1.865982
11.000000, 4.000000, 1.943134
12.000000, 4.000000, 1.945910
13.000000, 4.000000, 1.899744
14.000000, 4.000000, 1.817834
15.000000, 4.000000, 1.708032
16.000000, 4.000000, 1.576005
17.000000, 4.000000, 1.426480
18.000000, 4.000000, 1.264419
19.000000, 4.000000, 1.095041
20.000000, 4.000000, 0.924373
21.000000, 4.000000, 0.760601
22.000000, 4.000000, 0.616086
23.000000, 4.000000, 0.510465
24.000000, 4.000000, 0.469540
25.000000, 4.000000, 0.507185
26.000000, 4.000000, 0.609713
27.000000, 4.000000, 0.752329
28.000000, 4.000000, 0.917105
29.000000, 4.000000, 1.094542
30.000000, 4.000000, 1.281018
31.000000, 4.000000, 1.480928
32.000000, 4.000000, 1.734869
33.000000, 4.000000, 2.022506
