S
I=22,J=22
0.000000, 0.000000, 4.731442
1.000000, 0.000000, 4.642158
2.000000, 0.000000, 3.838645
3.000000, 0.000000, 2.861200
4.000000, 0.000000, 2.173057
5.000000, 0.000000, 1.761485
6.000000, 0.000000, 1.616223
7.000000, 0.000000, 1.630176
8.000000, 0.000000, 1.759128
9.000000, 0.000000, 2.056668
10.000000, 0.000000, 2.460647
11.000000, 0.000000, 2.942672
12.000000, 0.000000, 3.346479
13.000000, 0.000000, 3.472687
14.000000, 0.000000, 3.435666
15.000000, 0.000000, 3.395748
16.000000, 0.000000, 3.395974
17.000000, 0.000000, 3.436162
18.000000, 0.000000, 3.639549
19.000000, 0.000000, 3.936293
20.000000, 0.000000, 4.368186
21.000000, 0.000000, 5.008922
0.000000, 1.000000, 5.685111
1.000000, 1.000000, 6.342028
2.000000, 1.000000, 5.159021
3.000000, 1.000000, 3.471639
4.000000, 1.000000, 2.566621
5.000000, 1.000000, 2.063227
6.000000, 1.000000, 1.810593
7.000000, 1.000000, 1.687199
8.000000, 1.000000, 1.652792
9.000000, 1.000000, 1.716673
10.000000, 1.000000, 1.868100
11.000000, 1.000000, 2.067866
12.000000, 1.000000, 2.268234
13.000000, 1.000000, 2.440381
14.000000, 1.000000, 2.637170
15.000000, 1.000000, 2.865147
16.000000, 1.000000, 3.088438
17.000000, 1.000000, 3.276367
18.000000, 1.000000, 3.579356
19.000000, 1.000000, 3.963567
20.000000, 1.000000, 4.503669
21.000000, 1.000000, 5.339220
0.000000, 2.000000, 5.941373
1.000000, 2.000000, 6.483202
2.000000, 2.000000, 5.350797
3.000000, 2.000000, 3.823111
4.000000, 2.000000, 2.898750
5.000000, 2.000000, 2.329292
6.000000, 2.000000, 1.956334
7.000000, 2.000000, 1.687464
8.000000, 2.000000, 1.487512
9.000000, 2.000000, 1.366247
10.000000, 2.000000, 1.277044
11.000000, 2.000000, 1.299117
12.000000, 2.000000, 1.420440
13.000000, 2.000000, 1.648207
14.000000, 2.000000, 2.002381
15.000000, 2.000000, 2.364894
16.000000, 2.000000, 2.696562
17.000000, 2.000000, 3.013129
18.000000, 2.000000, 3.375105
19.000000, 2.000000, 3.819744
20.000000, 2.000000, 4.334710
21.000000, 2.000000, 4.936635
0.000000, 3.000000, 5.444539
1.000000, 3.000000, 5.367952
2.000000, 3.000000, 4.693808
3.000000, 3.000000, 3.757700
