S
I=11,J=11
0.000000, 0.000000, 4.560684
2.000000, 0.000000, 4.468461
4.000000, 0.000000, 3.647504
6.000000, 0.000000, 2.622926
8.000000, 0.000000, 1.924698
10.000000, 0.000000, 1.578249
12.000000, 0.000000, 1.492769
14.000000, 0.000000, 1.557635
16.000000, 0.000000, 1.729920
18.000000, 0.000000, 2.065406
20.000000, 0.000000, 2.504222
22.000000, 0.000000, 3.019782
24.000000, 0.000000, 3.454598
26.000000, 0.000000, 3.589753
28.000000, 0.000000, 3.518732
30.000000, 0.000000, 3.447521
32.000000, 0.000000, 3.466196
34.000000, 0.000000, 3.554112
36.000000, 0.000000, 3.712894
38.000000, 0.000000, 3.963853
40.000000, 0.000000, 4.353520
42.000000, 0.000000, 4.962235
0.000000, 2.000000, 5.606361
2.000000, 2.000000, 6.268775
4.000000, 2.000000, 5.089897
6.000000, 2.000000, 3.391043
8.000000, 2.000000, 2.463957
10.000000, 2.000000, 1.981517
12.000000, 2.000000, 1.756969
14.000000, 2.000000, 1.659188
16.000000, 2.000000, 1.646315
18.000000, 2.000000, 1.729018
20.000000, 2.000000, 1.898032
22.000000, 2.000000, 2.115865
24.000000, 2.000000, 2.336716
26.000000, 2.000000, 2.518962
28.000000, 2.000000, 2.672820
30.000000, 2.000000, 2.858087
32.000000, 2.000000, 3.059548
34.000000, 2.000000, 3.310148
36.000000, 2.000000, 3.615057
38.000000, 2.000000, 3.979760
40.000000, 2.000000, 4.496540
42.000000, 2.000000, 5.292847
0.000000, 4.000000, 5.853380
2.000000, 4.000000, 6.411409
4.000000, 4.000000, 5.299127
6.000000, 4.000000, 3.777127
8.000000, 4.000000, 2.826243
10.000000, 4.000000, 2.261948
12.000000, 4.000000, 1.916141
14.000000, 4.000000, 1.675497
16.000000, 4.000000, 1.495989
18.000000, 4.000000, 1.390907
20.000000, 4.000000, 1.313298
22.000000, 4.000000, 1.342403
24.000000, 4.000000, 1.464891
26.000000, 4.000000, 1.677280
28.000000, 4.000000, 1.993142
30.000000, 4.000000, 2.319416
32.000000, 4.000000, 2.645284
34.000000, 4.000000, 2.998303
36.000000, 4.000000, 3.382860
38.000000, 4.000000, 3.827585
40.000000, 4.000000, 4.332936
42.000000, 4.000000, 4.923842
0.000000, 6.000000, 5.409822
2.000000, 6.000000, 5.342457
4.000000, 6.000000, 4.676707
6.000000, 6.000000, 3.743466
8.000000, 6.000000, 2.949883
10.000000, 6.000000, 2.387396
12.000000, 6.000000, 1.981377
14.000000, 6.000000, 1.649672
16.000000, 6.000000, 1.343453
18.000000, 6.000000, 1.092678
20.000000, 6.000000, 0.832088
22.000000, 6.000000, 0.657871
24.000000, 6.000000, 0.746684
26.000000, 6.000000, 1.081600
28.000000, 6.000000, 1.503003
30.000000, 6.000000, 1.909573
32.000000, 6.000000, 2.304258
34.000000, 6.000000, 2.704576
36.000000, 6.000000, 3.106610
38.000000, 6.000000, 3.534003
40.000000, 6.000000, 3.997633
42.000000, 6.000000, 4.419932
0.000000, 8.000000, 4.935001
2.000000, 8.000000, 4.687196
4.000000, 8.000000, 4.195636
6.000000, 8.000000, 3.524611
8.000000, 8.000000, 2.907439
10.000000, 8.000000, 2.409456
12.000000, 8.000000, 2.006236
14.000000, 8.000000, 1.646575
16.000000, 8.000000, 1.282251
18.000000, 8.000000, 0.955492
20.000000, 8.000000, 0.585140
22.000000, 8.000000, 0.179967
24.000000, 8.000000, 0.331847
26.000000, 8.000000, 0.803981
28.000000, 8.000000, 1.263376
30.000000, 8.000000, 1.678121
32.000000, 8.000000, 2.084322
34.000000, 8.000000, 2.474047
36.000000, 8.000000, 2.846219
38.000000, 8.000000, 3.223045
40.000000, 8.000000, 3.609725
42.000000, 8.000000, 3.974475
0.000000, 10.000000, 4.581065
2.000000, 10.000000, 4.273038
4.000000, 10.000000, 3.807800
6.000000, 10.000000, 3.283676
8.000000, 10.000000, 2.801169
10.000000, 10.000000, 2.389332
12.000000, 10.000000, 2.036073
14.000000, 10.000000, 1.709705
16.000000, 10.000000, 1.376659
18.000000, 10.000000, 1.074225
20.000000, 10.000000, 0.793732
22.000000, 10.000000, 0.602991
24.000000, 10.000000, 0.669915
26.000000, 10.000000, 0.952708
28.000000, 10.000000, 1.300394
30.000000, 10.000000, 1.635001
32.000000, 10.000000, 1.992589
34.000000, 10.000000, 2.317644
36.000000, 10.000000, 2.623297
38.000000, 10.000000, 2.933529
40.000000, 10.000000, 3.257940
42.000000, 10.000000, 3.580723
0.000000, 12.000000, 4.334626
2.000000, 12.000000, 3.955492
4.000000, 12.000000, 3.494900
6.000000, 12.000000, 3.059900
8.000000, 12.000000, 2.679178
10.000000, 12.000000, 2.358975
12.000000, 12.000000, 2.086145
14.000000, 12.000000, 1.838727
16.000000, 12.000000, 1.598283
18.000000, 12.000000, 1.384760
20.000000, 12.000000, 1.238608
22.000000, 12.000000, 1.159835
24.000000, 12.000000, 1.189358
26.000000, 12.000000, 1.339954
28.000000, 12.000000, 1.532177
30.000000, 12.000000, 1.745646
32.000000, 12.000000, 1.996526
34.000000, 12.000000, 2.215533
36.000000, 12.000000, 2.428811
38.000000, 12.000000, 2.664109
40.000000, 12.000000, 2.938310
42.000000, 12.000000, 3.247512
0.000000, 14.000000, 4.090601
2.000000, 14.000000, 3.614774
4.000000, 14.000000, 3.172516
6.000000, 14.000000, 2.811373
8.000000, 14.000000, 2.530207
10.000000, 14.000000, 2.313787
12.000000, 14.000000, 2.143187
14.000000, 14.000000, 2.001692
16.000000, 14.000000, 1.880497
18.000000, 14.000000, 1.784433
20.000000, 14.000000, 1.750225
