S
I=18,J=18
0.000000, 0.000000, 2.265347
4.000000, 0.000000, 2.239632
8.000000, 0.000000, 2.108666
12.000000, 0.000000, 1.849435
16.000000, 0.000000, 1.491959
20.000000, 0.000000, 1.122418
24.000000, 0.000000, 0.941896
28.000000, 0.000000, 1.127048
32.000000, 0.000000, 1.552729
36.000000, 0.000000, 2.091435
40.000000, 0.000000, 2.489150
44.000000, 0.000000, 2.618371
48.000000, 0.000000, 2.457829
52.000000, 0.000000, 2.146158
56.000000, 0.000000, 1.739949
60.000000, 0.000000, 1.277861
64.000000, 0.000000, 0.821687
68.000000, 0.000000, 0.435864
0.000000, 4.000000, 2.643652
4.000000, 4.000000, 2.657174
8.000000, 4.000000, 2.516903
12.000000, 4.000000, 2.186769
16.000000, 4.000000, 1.645666
20.000000, 4.000000, 0.969963
24.000000, 4.000000, 0.518702
28.000000, 4.000000, 0.946232
32.000000, 4.000000, 1.750068
36.000000, 4.000000, 2.797489
40.000000, 4.000000, 3.414407
44.000000, 4.000000, 3.349097
48.000000, 4.000000, 3.019123
52.000000, 4.000000, 2.605869
56.000000, 4.000000, 2.093362
60.000000, 4.000000, 1.469653
64.000000, 4.000000, 0.853115
68.000000, 4.000000, 0.416977
0.000000, 8.000000, 3.158344
4.000000, 8.000000, 3.194464
8.000000, 8.000000, 3.084225
12.000000, 8.000000, 2.769842
16.000000, 8.000000, 2.090200
20.000000, 8.000000, 1.067186
24.000000, 8.000000, 0.178634
28.000000, 8.000000, 1.004240
32.000000, 8.000000, 2.183459
36.000000, 8.000000, 4.194454
40.000000, 8.000000, 5.153494
44.000000, 8.000000, 4.128027
48.000000, 8.000000, 3.544923
52.000000, 8.000000, 3.161041
56.000000, 8.000000, 2.740865
60.000000, 8.000000, 2.047108
64.000000, 8.000000, 1.284499
68.000000, 8.000000, 0.853667
0.000000, 12.000000, 3.509784
4.000000, 12.000000, 3.645535
8.000000, 12.000000, 3.726737
12.000000, 12.000000, 3.724205
16.000000, 12.000000, 3.229238
20.000000, 12.000000, 1.881494
24.000000, 12.000000, 1.093541
28.000000, 12.000000, 1.376273
32.000000, 12.000000, 2.305986
36.000000, 12.000000, 4.076043
40.000000, 12.000000, 4.920514
44.000000, 12.000000, 3.985515
48.000000, 12.000000, 3.680809
52.000000, 12.000000, 3.781145
56.000000, 12.000000, 4.109825
60.000000, 12.000000, 3.675993
64.000000, 12.000000, 2.297792
68.000000, 12.000000, 1.597879
0.000000, 16.000000, 3.854131
4.000000, 16.000000, 4.101713
8.000000, 16.000000, 4.409198
12.000000, 16.000000, 4.999982
16.000000, 16.000000, 6.268775
20.000000, 16.000000, 3.391043
24.000000, 16.000000, 1.981517
28.000000, 16.000000, 1.659188
32.000000, 16.000000, 1.729018
36.000000, 16.000000, 2.115865
40.000000, 16.000000, 2.518962
44.000000, 16.000000, 2.858087
48.000000, 16.000000, 3.310148
52.000000, 16.000000, 3.979760
56.000000, 16.000000, 5.292847
60.000000, 16.000000, 6.032279
64.000000, 16.000000, 3.413377
68.000000, 16.000000, 2.394871
0.000000, 20.000000, 4.172552
4.000000, 20.000000, 4.466524
8.000000, 20.000000, 4.787624
12.000000, 20.000000, 5.202805
16.000000, 20.000000, 5.342457
20.000000, 20.000000, 3.743466
24.000000, 20.000000, 2.387396
28.000000, 20.000000, 1.649672
32.000000, 20.000000, 1.092678
36.000000, 20.000000, 0.657871
40.000000, 20.000000, 1.081600
44.000000, 20.000000, 1.909573
48.000000, 20.000000, 2.704576
52.000000, 20.000000, 3.534003
56.000000, 20.000000, 4.419932
60.000000, 20.000000, 4.613056
64.000000, 20.000000, 3.789123
68.000000, 20.000000, 3.022325
0.000000, 24.000000, 4.471165
4.000000, 24.000000, 4.760609
8.000000, 24.000000, 4.908265
12.000000, 24.000000, 4.785906
16.000000, 24.000000, 4.273038
20.000000, 24.000000, 3.283676
24.000000, 24.000000, 2.389332
28.000000, 24.000000, 1.709705
32.000000, 24.000000, 1.074225
36.000000, 24.000000, 0.602991
40.000000, 24.000000, 0.952708
44.000000, 24.000000, 1.635001
48.000000, 24.000000, 2.317644
52.000000, 24.000000, 2.933529
56.000000, 24.000000, 3.580723
60.000000, 24.000000, 3.972438
64.000000, 24.000000, 3.870101
68.000000, 24.000000, 3.473132
0.000000, 28.000000, 4.784410
4.000000, 28.000000, 5.113141
8.000000, 28.000000, 5.093534
12.000000, 28.000000, 4.514165
16.000000, 28.000000, 3.614774
20.000000, 28.000000, 2.811373
24.000000, 28.000000, 2.313787
28.000000, 28.000000, 2.001692
32.000000, 28.000000, 1.784433
36.000000, 28.000000, 1.729368
40.000000, 28.000000, 1.808315
44.000000, 28.000000, 1.945124
48.000000, 28.000000, 2.130452
