S
I=20,J=20
0.0, 0.0, 1.835879
0.0, 0.0, 1.355466
0.0, 0.0, 1.115219
0.0, 0.0, 1.055397
0.0, 0.0, 1.105321
0.0, 0.0, 1.209203
0.0, 0.0, 1.336496
0.0, 0.0, 1.476903
0.0, 0.0, 1.630462
0.0, 0.0, 1.801877
0.0, 0.0, 1.998571
0.0, 0.0, 2.230448
0.0, 0.0, 2.510565
0.0, 0.0, 2.855450
0.0, 0.0, 3.280316
0.0, 0.0, 3.774246
0.0, 0.0, 4.245782
0.0, 0.0, 4.550980
0.0, 0.0, 4.559593
0.0, 0.0, 4.447223
0.0, 0.0, 1.459662
0.0, 0.0, 1.016551
0.0, 0.0, 0.821408
0.0, 0.0, 0.811565
0.0, 0.0, 0.904723
0.0, 0.0, 1.038088
0.0, 0.0, 1.183778
0.0, 0.0, 1.336377
0.0, 0.0, 1.499535
0.0, 0.0, 1.679626
0.0, 0.0, 1.884243
0.0, 0.0, 2.122591
0.0, 0.0, 2.406128
0.0, 0.0, 2.748503
0.0, 0.0, 3.160659
0.0, 0.0, 3.628232
0.0, 0.0, 4.074108
0.0, 0.0, 4.351207
0.0, 0.0, 4.436488
0.0, 0.0, 4.269176
0.0, 0.0, 1.177555
0.0, 0.0, 0.786269
0.0, 0.0, 0.631697
0.0, 0.0, 0.654853
0.0, 0.0, 0.768790
0.0, 0.0, 0.911635
0.0, 0.0, 1.059466
0.0, 0.0, 1.211117
0.0, 0.0, 1.372641
0.0, 0.0, 1.551024
0.0, 0.0, 1.753057
0.0, 0.0, 1.985876
0.0, 0.0, 2.257368
0.0, 0.0, 2.575482
0.0, 0.0, 2.943756
0.0, 0.0, 3.345437
0.0, 0.0, 3.719609
0.0, 0.0, 3.989928
0.0, 0.0, 4.067647
0.0, 0.0, 3.943634
0.0, 0.0, 1.043704
0.0, 0.0, 0.710042
0.0, 0.0, 0.579485
0.0, 0.0, 0.602650
0.0, 0.0, 0.704402
0.0, 0.0, 0.830826
0.0, 0.0, 0.962619
0.0, 0.0, 1.100304
0.0, 0.0, 1.250003
0.0, 0.0, 1.417667
0.0, 0.0, 1.608132
0.0, 0.0, 1.825491
0.0, 0.0, 2.073686
0.0, 0.0, 2.355319
