S
I=15,J=15
0.0, 0.0, 4.082517
0.0, 0.0, 3.261671
0.0, 0.0, 2.584894
0.0, 0.0, 2.101960
0.0, 0.0, 1.801950
0.0, 0.0, 1.649836
0.0, 0.0, 1.604139
0.0, 0.0, 1.627116
0.0, 0.0, 1.690705
0.0, 0.0, 1.779001
0.0, 0.0, 1.886380
0.0, 0.0, 2.013450
0.0, 0.0, 2.164599
0.0, 0.0, 2.347040
0.0, 0.0, 2.570300
0.0, 0.0, 3.889636
0.0, 0.0, 2.963670
0.0, 0.0, 2.229043
0.0, 0.0, 1.734233
0.0, 0.0, 1.456606
0.0, 0.0, 1.346015
0.0, 0.0, 1.346825
0.0, 0.0, 1.411484
0.0, 0.0, 1.509784
0.0, 0.0, 1.627642
0.0, 0.0, 1.761713
0.0, 0.0, 1.914821
0.0, 0.0, 2.093245
0.0, 0.0, 2.306085
0.0, 0.0, 2.565561
0.0, 0.0, 3.532715
0.0, 0.0, 2.579947
0.0, 0.0, 1.835879
0.0, 0.0, 1.355466
0.0, 0.0, 1.115219
0.0, 0.0, 1.055397
0.0, 0.0, 1.105321
0.0, 0.0, 1.209203
0.0, 0.0, 1.336496
0.0, 0.0, 1.476903
0.0, 0.0, 1.630462
0.0, 0.0, 1.801877
0.0, 0.0, 1.998571
0.0, 0.0, 2.230448
0.0, 0.0, 2.510565
0.0, 0.0, 3.058779
0.0, 0.0, 2.161505
0.0, 0.0, 1.459662
0.0, 0.0, 1.016551
0.0, 0.0, 0.821408
0.0, 0.0, 0.811565
0.0, 0.0, 0.904723
0.0, 0.0, 1.038088
0.0, 0.0, 1.183778
0.0, 0.0, 1.336377
0.0, 0.0, 1.499535
0.0, 0.0, 1.679626
0.0, 0.0, 1.884243
0.0, 0.0, 2.122591
0.0, 0.0, 2.406128
0.0, 0.0, 2.585583
0.0, 0.0, 1.800174
0.0, 0.0, 1.177555
0.0, 0.0, 0.786269
0.0, 0.0, 0.631697
0.0, 0.0, 0.654853
0.0, 0.0, 0.768790
0.0, 0.0, 0.911635
0.0, 0.0, 1.059466
0.0, 0.0, 1.211117
0.0, 0.0, 1.372641
0.0, 0.0, 1.551024
0.0, 0.0, 1.753057
0.0, 0.0, 1.985876
0.0, 0.0, 2.257368
0.0, 0.0, 2.230394
0.0, 0.0, 1.570594
0.0, 0.0, 1.043704
0.0, 0.0, 0.710042
0.0, 0.0, 0.579485
0.0, 0.0, 0.602650
0.0, 0.0, 0.704402
0.0, 0.0, 0.830826
0.0, 0.0, 0.962619
0.0, 0.0, 1.100304
0.0, 0.0, 1.250003
0.0, 0.0, 1.417667
0.0, 0.0, 1.608132
0.0, 0.0, 1.825491
0.0, 0.0, 2.073686
0.0, 0.0, 2.031956
0.0, 0.0, 1.488858
0.0, 0.0, 1.052215
0.0, 0.0, 0.766951
0.0, 0.0, 0.639060
0.0, 0.0, 0.632519
0.0, 0.0, 0.693375
0.0, 0.0, 0.781809
0.0, 0.0, 0.882879
0.0, 0.0, 0.996814
0.0, 0.0, 1.127718
0.0, 0.0, 1.278846
0.0, 0.0, 1.452124
0.0, 0.0, 1.648684
0.0, 0.0, 1.868995
0.0, 0.0, 1.968682
0.0, 0.0, 1.517606
0.0, 0.0, 1.148681
0.0, 0.0, 0.890975
0.0, 0.0, 0.747804
0.0, 0.0, 0.695945
0.0, 0.0, 0.701972
0.0, 0.0, 0.741073
0.0, 0.0, 0.803531
0.0, 0.0, 0.889068
0.0, 0.0, 0.998999
0.0, 0.0, 1.132787
0.0, 0.0, 1.288698
0.0, 0.0, 1.465032
0.0, 0.0, 1.660190
0.0, 0.0, 1.996099
0.0, 0.0, 1.607288
0.0, 0.0, 1.277732
0.0, 0.0, 1.025784
0.0, 0.0, 0.854458
0.0, 0.0, 0.751603
0.0, 0.0, 0.699684
0.0, 0.0, 0.686684
0.0, 0.0, 0.709242
0.0, 0.0, 0.767735
0.0, 0.0, 0.860383
0.0, 0.0, 0.981910
0.0, 0.0, 1.125973
0.0, 0.0, 1.287560
0.0, 0.0, 1.463127
0.0, 0.0, 2.083266
0.0, 0.0, 1.729991
0.0, 0.0, 1.415842
0.0, 0.0, 1.152289
0.0, 0.0, 0.943822
0.0, 0.0, 0.787181
0.0, 0.0, 0.676776
0.0, 0.0, 0.611920
0.0, 0.0, 0.597005
0.0, 0.0, 0.634449
0.0, 0.0, 0.718504
0.0, 0.0, 0.836699
0.0, 0.0, 0.976251
0.0, 0.0, 1.128497
0.0, 0.0, 1.288522
0.0, 0.0, 2.224837
0.0, 0.0, 1.888857
0.0, 0.0, 1.573176
0.0, 0.0, 1.285979
0.0, 0.0, 1.034086
0.0, 0.0, 0.821370
0.0, 0.0, 0.651545
0.0, 0.0, 0.534382
0.0, 0.0, 0.484040
0.0, 0.0, 0.506661
0.0, 0.0, 0.590681
0.0, 0.0, 0.712869
0.0, 0.0, 0.852162
0.0, 0.0, 0.996740
0.0, 0.0, 1.141388
0.0, 0.0, 2.432555
0.0, 0.0, 2.105979
0.0, 0.0, 1.779569
0.0, 0.0, 1.461402
0.0, 0.0, 1.161795
0.0, 0.0, 0.891774
0.0, 0.0, 0.663158
0.0, 0.0, 0.494026
0.0, 0.0, 0.408822
0.0, 0.0, 0.417939
0.0, 0.0, 0.503151
0.0, 0.0, 0.628325
0.0, 0.0, 0.764659
0.0, 0.0, 0.897982
0.0, 0.0, 1.023205
0.0, 0.0, 2.723049
0.0, 0.0, 2.409233
0.0, 0.0, 2.071619
0.0, 0.0, 1.719028
0.0, 0.0, 1.368145
0.0, 0.0, 1.039832
0.0, 0.0, 0.755343
0.0, 0.0, 0.539462
0.0, 0.0, 0.419683
0.0, 0.0, 0.409630
0.0, 0.0, 0.483956
0.0, 0.0, 0.599480
0.0, 0.0, 0.722259
0.0, 0.0, 0.835753
0.0, 0.0, 0.934020
0.0, 0.0, 3.111174
0.0, 0.0, 2.826369
0.0, 0.0, 2.487050
0.0, 0.0, 2.100204
0.0, 0.0, 1.692076
0.0, 0.0, 1.299852
0.0, 0.0, 0.959218
0.0, 0.0, 0.700165
0.0, 0.0, 0.547274
0.0, 0.0, 0.504952
0.0, 0.0, 0.548611
0.0, 0.0, 0.635284
0.0, 0.0, 0.729642
0.0, 0.0, 0.812299
0.0, 0.0, 0.874497
0.0, 0.0, 3.603584
0.0, 0.0, 3.379247
0.0, 0.0, 3.059707
0.0, 0.0, 2.642149
0.0, 0.0, 2.164354
0.0, 0.0, 1.691258
0.0, 0.0, 1.282081
0.0, 0.0, 0.973654
0.0, 0.0, 0.779953
0.0, 0.0, 0.694871
0.0, 0.0, 0.691999
0.0, 0.0, 0.734114
0.0, 0.0, 0.787552
0.0, 0.0, 0.830157
0.0, 0.0, 0.848874
