S
I=124,J=101
0.0, 0.0, 0.000301
0.0, 0.0, 0.000406
0.0, 0.0, 0.000528
0.0, 0.0, 0.000665
0.0, 0.0, 0.000812
0.0, 0.0, 0.000964
0.0, 0.0, 0.001120
0.0, 0.0, 0.001275
0.0, 0.0, 0.001429
0.0, 0.0, 0.001580
0.0, 0.0, 0.001726
0.0, 0.0, 0.001868
0.0, 0.0, 0.002005
0.0, 0.0, 0.002135
0.0, 0.0, 0.002261
0.0, 0.0, 0.002382
0.0, 0.0, 0.002497
0.0, 0.0, 0.002607
0.0, 0.0, 0.002710
0.0, 0.0, 0.002805
0.0, 0.0, 0.002890
0.0, 0.0, 0.002962
0.0, 0.0, 0.003018
0.0, 0.0, 0.003053
0.0, 0.0, 0.003062
0.0, 0.0, 0.003036
0.0, 0.0, 0.002964
0.0, 0.0, 0.002827
0.0, 0.0, 0.002598
0.0, 0.0, 0.002227
0.0, 0.0, 0.001622
0.0, 0.0, 0.000617
0.0, 0.0, 0.001129
0.0, 0.0, 0.004263
0.0, 0.0, 0.010152
0.0, 0.0, 0.021612
0.0, 0.0, 0.044885
0.0, 0.0, 0.095575
0.0, 0.0, 0.296654
0.0, 0.0, 0.745040
0.0, 0.0, 2.802907
0.0, 0.0, 4.961796
0.0, 0.0, 4.466488
0.0, 0.0, 1.386540
0.0, 0.0, 2.656126
0.0, 0.0, 5.975191
0.0, 0.0, 7.392678
0.0, 0.0, 7.420253
0.0, 0.0, 7.287120
0.0, 0.0, 7.287023
0.0, 0.0, 7.287004
0.0, 0.0, 7.287073
0.0, 0.0, 7.287219
0.0, 0.0, 7.420403
0.0, 0.0, 7.392974
0.0, 0.0, 5.974718
0.0, 0.0, 2.656263
0.0, 0.0, 1.384537
0.0, 0.0, 4.467142
0.0, 0.0, 4.963808
0.0, 0.0, 2.805127
0.0, 0.0, 0.762138
0.0, 0.0, 0.326166
0.0, 0.0, 0.122259
0.0, 0.0, 0.066087
0.0, 0.0, 0.039711
0.0, 0.0, 0.026750
0.0, 0.0, 0.019970
0.0, 0.0, 0.016120
0.0, 0.0, 0.013700
0.0, 0.0, 0.012030
0.0, 0.0, 0.010760
0.0, 0.0, 0.009742
0.0, 0.0, 0.008893
0.0, 0.0, 0.008166
0.0, 0.0, 0.007535
0.0, 0.0, 0.006981
0.0, 0.0, 0.006495
0.0, 0.0, 0.006062
0.0, 0.0, 0.005676
0.0, 0.0, 0.005328
0.0, 0.0, 0.005013
0.0, 0.0, 0.004725
0.0, 0.0, 0.004460
0.0, 0.0, 0.004214
0.0, 0.0, 0.003981
0.0, 0.0, 0.003756
0.0, 0.0, 0.003540
0.0, 0.0, 0.003327
0.0, 0.0, 0.003116
0.0, 0.0, 0.002905
0.0, 0.0, 0.002692
0.0, 0.0, 0.002476
0.0, 0.0, 0.002256
0.0, 0.0, 0.002031
0.0, 0.0, 0.001802
0.0, 0.0, 0.001568
0.0, 0.0, 0.001331
0.0, 0.0, 0.001094
0.0, 0.0, 0.000861
0.0, 0.0, 0.000641
0.0, 0.0, 0.000463
0.0, 0.0, 0.000628
0.0, 0.0, 0.000807
0.0, 0.0, 0.001001
0.0, 0.0, 0.001199
0.0, 0.0, 0.001397
0.0, 0.0, 0.001591
0.0, 0.0, 0.001781
0.0, 0.0, 0.001965
0.0, 0.0, 0.002142
0.0, 0.0, 0.002312
0.0, 0.0, 0.002476
0.0, 0.0, 0.002632
0.0, 0.0, 0.002781
0.0, 0.0, 0.002924
0.0, 0.0, 0.003060
0.0, 0.0, 0.003190
0.0, 0.0, 0.003312
