S
I=60,J=60
0.0, 0.0, 2.265347
0.0, 0.0, 2.266276
0.0, 0.0, 2.259528
0.0, 0.0, 2.243923
0.0, 0.0, 2.218236
0.0, 0.0, 2.181270
0.0, 0.0, 2.131989
0.0, 0.0, 2.069761
0.0, 0.0, 1.993905
0.0, 0.0, 1.906783
0.0, 0.0, 1.809195
0.0, 0.0, 1.702170
0.0, 0.0, 1.587477
0.0, 0.0, 1.467782
0.0, 0.0, 1.346812
0.0, 0.0, 1.229554
0.0, 0.0, 1.122418
0.0, 0.0, 1.033251
0.0, 0.0, 0.970760
0.0, 0.0, 0.942846
0.0, 0.0, 0.954009
0.0, 0.0, 1.003546
0.0, 0.0, 1.086265
0.0, 0.0, 1.195004
0.0, 0.0, 1.322807
0.0, 0.0, 1.463812
0.0, 0.0, 1.613242
0.0, 0.0, 1.775573
0.0, 0.0, 1.955511
0.0, 0.0, 2.123764
0.0, 0.0, 2.272563
0.0, 0.0, 2.395630
0.0, 0.0, 2.489150
0.0, 0.0, 2.571912
0.0, 0.0, 2.613948
0.0, 0.0, 2.620706
0.0, 0.0, 2.598348
0.0, 0.0, 2.552562
0.0, 0.0, 2.488045
0.0, 0.0, 2.408361
0.0, 0.0, 2.316042
0.0, 0.0, 2.212817
0.0, 0.0, 2.099880
0.0, 0.0, 1.978161
0.0, 0.0, 1.848569
0.0, 0.0, 1.712191
0.0, 0.0, 1.570412
0.0, 0.0, 1.424959
0.0, 0.0, 1.277861
0.0, 0.0, 1.131328
0.0, 0.0, 0.987585
0.0, 0.0, 0.848713
0.0, 0.0, 0.716505
0.0, 0.0, 0.592385
0.0, 0.0, 0.476517
0.0, 0.0, 0.387998
0.0, 0.0, 0.343548
0.0, 0.0, 0.337920
0.0, 0.0, 0.357854
0.0, 0.0, 0.389798
0.0, 0.0, 2.371297
0.0, 0.0, 2.377556
0.0, 0.0, 2.373766
0.0, 0.0, 2.359656
0.0, 0.0, 2.334028
0.0, 0.0, 2.295516
0.0, 0.0, 2.243039
0.0, 0.0, 2.176032
0.0, 0.0, 2.094662
0.0, 0.0, 1.999361
0.0, 0.0, 1.890816
0.0, 0.0, 1.769990
0.0, 0.0, 1.638622
0.0, 0.0, 1.499526
0.0, 0.0, 1.356825
0.0, 0.0, 1.216285
0.0, 0.0, 1.085742
0.0, 0.0, 0.975368
0.0, 0.0, 0.896946
0.0, 0.0, 0.861297
0.0, 0.0, 0.874518
0.0, 0.0, 0.935606
0.0, 0.0, 1.037537
0.0, 0.0, 1.171012
0.0, 0.0, 1.328162
0.0, 0.0, 1.504100
0.0, 0.0, 1.696641
0.0, 0.0, 1.902827
0.0, 0.0, 2.112375
0.0, 0.0, 2.311113
0.0, 0.0, 2.484637
0.0, 0.0, 2.624246
0.0, 0.0, 2.727943
0.0, 0.0, 2.794744
0.0, 0.0, 2.825939
0.0, 0.0, 2.822142
0.0, 0.0, 2.788650
0.0, 0.0, 2.731439
0.0, 0.0, 2.655796
0.0, 0.0, 2.565663
0.0, 0.0, 2.463590
0.0, 0.0, 2.351034
0.0, 0.0, 2.228761
0.0, 0.0, 2.097239
0.0, 0.0, 1.956978
0.0, 0.0, 1.808814
0.0, 0.0, 1.654094
0.0, 0.0, 1.494745
0.0, 0.0, 1.333224
0.0, 0.0, 1.172338
0.0, 0.0, 1.015019
