S
I=28,J=25
0.0, 0.0, 0.003810
0.0, 0.0, 0.003718
0.0, 0.0, 0.003596
0.0, 0.0, 0.003535
0.0, 0.0, 0.003482
0.0, 0.0, 0.003406
0.0, 0.0, 0.003350
0.0, 0.0, 0.003324
0.0, 0.0, 0.003445
0.0, 0.0, 0.003446
0.0, 0.0, 0.003480
0.0, 0.0, 0.003477
0.0, 0.0, 0.003237
0.0, 0.0, 0.003238
0.0, 0.0, 0.003183
0.0, 0.0, 0.003165
0.0, 0.0, 0.003123
0.0, 0.0, 0.003101
0.0, 0.0, 0.003077
0.0, 0.0, 0.003112
0.0, 0.0, 0.003103
0.0, 0.0, 0.003130
0.0, 0.0, 0.003210
0.0, 0.0, 0.003292
0.0, 0.0, 0.003358
0.0, 0.0, 0.003422
0.0, 0.0, 0.003449
0.0, 0.0, 0.003516
0.0, 0.0, 0.003765
0.0, 0.0, 0.003679
0.0, 0.0, 0.003548
0.0, 0.0, 0.003505
0.0, 0.0, 0.003524
0.0, 0.0, 0.003453
0.0, 0.0, 0.003464
0.0, 0.0, 0.003335
0.0, 0.0, 0.003379
0.0, 0.0, 0.003421
0.0, 0.0, 0.003462
0.0, 0.0, 0.003513
0.0, 0.0, 0.003251
0.0, 0.0, 0.003246
0.0, 0.0, 0.003183
0.0, 0.0, 0.003129
0.0, 0.0, 0.003103
0.0, 0.0, 0.003065
0.0, 0.0, 0.003031
0.0, 0.0, 0.003057
0.0, 0.0, 0.003077
0.0, 0.0, 0.003125
0.0, 0.0, 0.003199
0.0, 0.0, 0.003322
0.0, 0.0, 0.003389
0.0, 0.0, 0.003446
0.0, 0.0, 0.003426
0.0, 0.0, 0.003474
0.0, 0.0, 0.003612
0.0, 0.0, 0.003563
0.0, 0.0, 0.003488
0.0, 0.0, 0.003457
0.0, 0.0, 0.003463
0.0, 0.0, 0.003440
0.0, 0.0, 0.003517
0.0, 0.0, 0.003388
0.0, 0.0, 0.003305
0.0, 0.0, 0.003359
0.0, 0.0, 0.003389
0.0, 0.0, 0.003482
0.0, 0.0, 0.003289
0.0, 0.0, 0.003229
0.0, 0.0, 0.003171
0.0, 0.0, 0.003120
0.0, 0.0, 0.003071
0.0, 0.0, 0.003063
0.0, 0.0, 0.003073
0.0, 0.0, 0.003032
0.0, 0.0, 0.003051
0.0, 0.0, 0.003088
0.0, 0.0, 0.003188
0.0, 0.0, 0.003318
0.0, 0.0, 0.003399
0.0, 0.0, 0.003408
0.0, 0.0, 0.003407
0.0, 0.0, 0.003419
0.0, 0.0, 0.003509
0.0, 0.0, 0.003450
0.0, 0.0, 0.003389
0.0, 0.0, 0.003363
0.0, 0.0, 0.003441
0.0, 0.0, 0.003361
0.0, 0.0, 0.003463
0.0, 0.0, 0.003458
0.0, 0.0, 0.003258
0.0, 0.0, 0.003227
0.0, 0.0, 0.003332
0.0, 0.0, 0.003305
0.0, 0.0, 0.003316
0.0, 0.0, 0.003225
0.0, 0.0, 0.003139
0.0, 0.0, 0.003078
0.0, 0.0, 0.003013
0.0, 0.0, 0.003016
0.0, 0.0, 0.003067
0.0, 0.0, 0.003022
0.0, 0.0, 0.003062
0.0, 0.0, 0.003077
0.0, 0.0, 0.003179
0.0, 0.0, 0.003329
0.0, 0.0, 0.003425
0.0, 0.0, 0.003387
0.0, 0.0, 0.003387
0.0, 0.0, 0.003327
0.0, 0.0, 0.003416
0.0, 0.0, 0.003348
0.0, 0.0, 0.003266
0.0, 0.0, 0.003259
0.0, 0.0, 0.003350
0.0, 0.0, 0.003280
0.0, 0.0, 0.003336
0.0, 0.0, 0.003353
0.0, 0.0, 0.003292
0.0, 0.0, 0.003096
0.0, 0.0, 0.003143
0.0, 0.0, 0.003232
0.0, 0.0, 0.003199
0.0, 0.0, 0.003144
0.0, 0.0, 0.003029
0.0, 0.0, 0.002964
0.0, 0.0, 0.002917
0.0, 0.0, 0.002924
0.0, 0.0, 0.002927
0.0, 0.0, 0.002994
0.0, 0.0, 0.003060
0.0, 0.0, 0.003096
0.0, 0.0, 0.003206
0.0, 0.0, 0.003332
0.0, 0.0, 0.003392
0.0, 0.0, 0.003369
0.0, 0.0, 0.003328
0.0, 0.0, 0.003265
0.0, 0.0, 0.003265
0.0, 0.0, 0.003248
0.0, 0.0, 0.003133
0.0, 0.0, 0.003133
0.0, 0.0, 0.003192
0.0, 0.0, 0.003228
0.0, 0.0, 0.003154
0.0, 0.0, 0.003213
0.0, 0.0, 0.003194
0.0, 0.0, 0.003121
0.0, 0.0, 0.003011
0.0, 0.0, 0.003030
0.0, 0.0, 0.003062
0.0, 0.0, 0.003031
0.0, 0.0, 0.002955
0.0, 0.0, 0.002915
0.0, 0.0, 0.002888
0.0, 0.0, 0.002869
0.0, 0.0, 0.002896
0.0, 0.0, 0.002956
0.0, 0.0, 0.003031
0.0, 0.0, 0.003137
0.0, 0.0, 0.003248
0.0, 0.0, 0.003313
0.0, 0.0, 0.003317
0.0, 0.0, 0.003309
0.0, 0.0, 0.003277
0.0, 0.0, 0.003205
0.0, 0.0, 0.003169
0.0, 0.0, 0.003115
0.0, 0.0, 0.003057
0.0, 0.0, 0.003026
0.0, 0.0, 0.003045
0.0, 0.0, 0.003101
0.0, 0.0, 0.003079
0.0, 0.0, 0.003087
0.0, 0.0, 0.003093
0.0, 0.0, 0.003051
0.0, 0.0, 0.002960
0.0, 0.0, 0.002919
0.0, 0.0, 0.002926
0.0, 0.0, 0.002926
0.0, 0.0, 0.002889
0.0, 0.0, 0.002852
0.0, 0.0, 0.002826
0.0, 0.0, 0.002820
0.0, 0.0, 0.002848
0.0, 0.0, 0.002938
0.0, 0.0, 0.003038
0.0, 0.0, 0.003148
0.0, 0.0, 0.003270
0.0, 0.0, 0.003260
0.0, 0.0, 0.003249
0.0, 0.0, 0.003255
0.0, 0.0, 0.003205
0.0, 0.0, 0.003156
0.0, 0.0, 0.003171
0.0, 0.0, 0.003056
0.0, 0.0, 0.003024
0.0, 0.0, 0.002987
0.0, 0.0, 0.002977
0.0, 0.0, 0.003066
0.0, 0.0, 0.003022
0.0, 0.0, 0.003027
0.0, 0.0, 0.003029
0.0, 0.0, 0.002978
0.0, 0.0, 0.002899
0.0, 0.0, 0.002847
0.0, 0.0, 0.002845
0.0, 0.0, 0.002875
0.0, 0.0, 0.002829
0.0, 0.0, 0.002822
0.0, 0.0, 0.002788
0.0, 0.0, 0.002778
0.0, 0.0, 0.002801
0.0, 0.0, 0.002892
0.0, 0.0, 0.003021
0.0, 0.0, 0.003170
0.0, 0.0, 0.003222
0.0, 0.0, 0.003217
0.0, 0.0, 0.003186
0.0, 0.0, 0.003192
0.0, 0.0, 0.003131
0.0, 0.0, 0.003117
0.0, 0.0, 0.003039
0.0, 0.0, 0.003001
0.0, 0.0, 0.002980
0.0, 0.0, 0.002960
0.0, 0.0, 0.002934
0.0, 0.0, 0.002994
0.0, 0.0, 0.002971
0.0, 0.0, 0.002969
0.0, 0.0, 0.002986
0.0, 0.0, 0.002939
0.0, 0.0, 0.002864
0.0, 0.0, 0.002792
0.0, 0.0, 0.002803
0.0, 0.0, 0.002813
0.0, 0.0, 0.002789
0.0, 0.0, 0.002796
0.0, 0.0, 0.002762
0.0, 0.0, 0.002747
0.0, 0.0, 0.002789
0.0, 0.0, 0.002879
0.0, 0.0, 0.003009
0.0, 0.0, 0.003146
0.0, 0.0, 0.003157
0.0, 0.0, 0.003192
0.0, 0.0, 0.003172
0.0, 0.0, 0.003128
0.0, 0.0, 0.003083
0.0, 0.0, 0.003067
0.0, 0.0, 0.002974
0.0, 0.0, 0.002977
0.0, 0.0, 0.002910
0.0, 0.0, 0.002903
0.0, 0.0, 0.002893
0.0, 0.0, 0.002928
0.0, 0.0, 0.002914
0.0, 0.0, 0.002916
0.0, 0.0, 0.002917
0.0, 0.0, 0.002898
0.0, 0.0, 0.002847
0.0, 0.0, 0.002788
0.0, 0.0, 0.002768
0.0, 0.0, 0.002758
0.0, 0.0, 0.002761
0.0, 0.0, 0.002763
0.0, 0.0, 0.002759
0.0, 0.0, 0.002727
0.0, 0.0, 0.002766
0.0, 0.0, 0.002838
0.0, 0.0, 0.002953
0.0, 0.0, 0.003084
0.0, 0.0, 0.003133
0.0, 0.0, 0.003160
0.0, 0.0, 0.003157
0.0, 0.0, 0.003067
0.0, 0.0, 0.003038
0.0, 0.0, 0.003017
0.0, 0.0, 0.002869
0.0, 0.0, 0.002897
0.0, 0.0, 0.002917
0.0, 0.0, 0.002882
0.0, 0.0, 0.002834
0.0, 0.0, 0.002872
0.0, 0.0, 0.002879
0.0, 0.0, 0.002883
0.0, 0.0, 0.002875
0.0, 0.0, 0.002845
0.0, 0.0, 0.002800
0.0, 0.0, 0.002786
0.0, 0.0, 0.002763
0.0, 0.0, 0.002752
0.0, 0.0, 0.002727
0.0, 0.0, 0.002758
0.0, 0.0, 0.002751
0.0, 0.0, 0.002736
0.0, 0.0, 0.002758
0.0, 0.0, 0.002843
0.0, 0.0, 0.002915
0.0, 0.0, 0.003040
0.0, 0.0, 0.003109
0.0, 0.0, 0.003110
0.0, 0.0, 0.003086
0.0, 0.0, 0.003029
0.0, 0.0, 0.002981
0.0, 0.0, 0.002961
0.0, 0.0, 0.002763
0.0, 0.0, 0.002800
0.0, 0.0, 0.002861
0.0, 0.0, 0.002866
0.0, 0.0, 0.002800
0.0, 0.0, 0.002835
0.0, 0.0, 0.002840
0.0, 0.0, 0.002855
0.0, 0.0, 0.002854
0.0, 0.0, 0.002821
0.0, 0.0, 0.002749
0.0, 0.0, 0.002767
0.0, 0.0, 0.002780
0.0, 0.0, 0.002793
0.0, 0.0, 0.002711
0.0, 0.0, 0.002762
0.0, 0.0, 0.002763
0.0, 0.0, 0.002757
0.0, 0.0, 0.002757
0.0, 0.0, 0.002849
0.0, 0.0, 0.002920
0.0, 0.0, 0.002995
0.0, 0.0, 0.003051
0.0, 0.0, 0.003056
0.0, 0.0, 0.003000
0.0, 0.0, 0.002990
0.0, 0.0, 0.002923
