S3D
I=20,J=23,K=10
0.0, 0.0, 0.0, 0.00474374
0.0, 12.0, 0.0, 0.00437796
0.0, 24.0, 0.0, 0.00548676
0.0, 36.0, 0.0, 0.01448395
0.0, 48.0, 0.0, 0.01462570
0.0, 60.0, 0.0, 0.01571931
0.0, 72.0, 0.0, 0.01586821
0.0, 84.0, 0.0, 0.01575444
0.0, 96.0, 0.0, 0.01518297
0.0, 108.0, 0.0, 0.01560503
0.0, 120.0, 0.0, 0.01571238
0.0, 132.0, 0.0, 0.01540922
0.0, 144.0, 0.0, 0.01632733
0.0, 156.0, 0.0, 0.01590221
0.0, 168.0, 0.0, 0.01505409
0.0, 180.0, 0.0, 0.01559628
0.0, 192.0, 0.0, 0.01489055
0.0, 204.0, 0.0, 0.01207869
0.0, 216.0, 0.0, 0.01446080
0.0, 228.0, 0.0, 0.01562391
0.0, 240.0, 0.0, 0.01560289
0.0, 252.0, 0.0, 0.01514756
0.0, 264.0, 0.0, 0.01600780
12.0, 0.0, 0.0, 0.00450593
12.0, 12.0, 0.0, 0.00436285
12.0, 24.0, 0.0, 0.00978678
12.0, 36.0, 0.0, 0.01406677
12.0, 48.0, 0.0, 0.01568287
12.0, 60.0, 0.0, 0.01554717
12.0, 72.0, 0.0, 0.01542342
12.0, 84.0, 0.0, 0.01517770
12.0, 96.0, 0.0, 0.01493603
12.0, 108.0, 0.0, 0.01487191
12.0, 120.0, 0.0, 0.01484175
12.0, 132.0, 0.0, 0.01590081
12.0, 144.0, 0.0, 0.01373460
12.0, 156.0, 0.0, 0.01376981
12.0, 168.0, 0.0, 0.01432335
12.0, 180.0, 0.0, 0.01578870
12.0, 192.0, 0.0, 0.01606874
12.0, 204.0, 0.0, 0.01436106
12.0, 216.0, 0.0, 0.01638303
12.0, 228.0, 0.0, 0.01436954
12.0, 240.0, 0.0, 0.01374825
12.0, 252.0, 0.0, 0.01406984
12.0, 264.0, 0.0, 0.01446938
24.0, 0.0, 0.0, 0.00370303
24.0, 12.0, 0.0, 0.00388130
24.0, 24.0, 0.0, 0.00815491
24.0, 36.0, 0.0, 0.01251216
24.0, 48.0, 0.0, 0.01515534
24.0, 60.0, 0.0, 0.01529406
24.0, 72.0, 0.0, 0.01522010
24.0, 84.0, 0.0, 0.01474817
24.0, 96.0, 0.0, 0.01434939
24.0, 108.0, 0.0, 0.01424093
24.0, 120.0, 0.0, 0.01375842
24.0, 132.0, 0.0, 0.01332207
24.0, 144.0, 0.0, 0.01252660
24.0, 156.0, 0.0, 0.01265874
24.0, 168.0, 0.0, 0.01366986
24.0, 180.0, 0.0, 0.01435282
24.0, 192.0, 0.0, 0.01428599
24.0, 204.0, 0.0, 0.01367859
24.0, 216.0, 0.0, 0.01494841
24.0, 228.0, 0.0, 0.01411316
24.0, 240.0, 0.0, 0.01363621
24.0, 252.0, 0.0, 0.01293875
24.0, 264.0, 0.0, 0.01272232
36.0, 0.0, 0.0, 0.00314055
36.0, 12.0, 0.0, 0.00328713
36.0, 24.0, 0.0, 0.00341513
36.0, 36.0, 0.0, 0.01460119
36.0, 48.0, 0.0, 0.01500706
36.0, 60.0, 0.0, 0.01535902
36.0, 72.0, 0.0, 0.01462541
36.0, 84.0, 0.0, 0.01395642
36.0, 96.0, 0.0, 0.01324672
36.0, 108.0, 0.0, 0.01317049
36.0, 120.0, 0.0, 0.01286893
36.0, 132.0, 0.0, 0.01264866
36.0, 144.0, 0.0, 0.01249668
36.0, 156.0, 0.0, 0.01230549
36.0, 168.0, 0.0, 0.01237742
36.0, 180.0, 0.0, 0.01158875
36.0, 192.0, 0.0, 0.01080313
36.0, 204.0, 0.0, 0.01275366
36.0, 216.0, 0.0, 0.01293401
36.0, 228.0, 0.0, 0.01445692
36.0, 240.0, 0.0, 0.01358550
36.0, 252.0, 0.0, 0.01294923
36.0, 264.0, 0.0, 0.01228682
48.0, 0.0, 0.0, 0.00292321
48.0, 12.0, 0.0, 0.00867689
48.0, 24.0, 0.0, 0.01083220
48.0, 36.0, 0.0, 0.01366583
48.0, 48.0, 0.0, 0.01379535
48.0, 60.0, 0.0, 0.01270847
48.0, 72.0, 0.0, 0.01279659
48.0, 84.0, 0.0, 0.01229869
48.0, 96.0, 0.0, 0.01215883
48.0, 108.0, 0.0, 0.01221988
48.0, 120.0, 0.0, 0.01198466
48.0, 132.0, 0.0, 0.01217254
48.0, 144.0, 0.0, 0.01088793
48.0, 156.0, 0.0, 0.01176079
48.0, 168.0, 0.0, 0.01102218
48.0, 180.0, 0.0, 0.00946129
48.0, 192.0, 0.0, 0.00820043
48.0, 204.0, 0.0, 0.01204260
48.0, 216.0, 0.0, 0.01135123
48.0, 228.0, 0.0, 0.01209568
48.0, 240.0, 0.0, 0.01423910
48.0, 252.0, 0.0, 0.01313173
48.0, 264.0, 0.0, 0.01248453
60.0, 0.0, 0.0, 0.00281140
60.0, 12.0, 0.0, 0.00809955
60.0, 24.0, 0.0, 0.01160872
60.0, 36.0, 0.0, 0.01156333
60.0, 48.0, 0.0, 0.01221731
60.0, 60.0, 0.0, 0.01174542
60.0, 72.0, 0.0, 0.01106943
60.0, 84.0, 0.0, 0.01075462
60.0, 96.0, 0.0, 0.00988910
60.0, 108.0, 0.0, 0.00981876
60.0, 120.0, 0.0, 0.00923369
60.0, 132.0, 0.0, 0.00868944
60.0, 144.0, 0.0, 0.00836447
60.0, 156.0, 0.0, 0.00845297
60.0, 168.0, 0.0, 0.00836260
60.0, 180.0, 0.0, 0.00868990
60.0, 192.0, 0.0, 0.01188044
60.0, 204.0, 0.0, 0.01209013
60.0, 216.0, 0.0, 0.01200834
60.0, 228.0, 0.0, 0.01343455
60.0, 240.0, 0.0, 0.01419037
60.0, 252.0, 0.0, 0.01406532
60.0, 264.0, 0.0, 0.01312147
72.0, 0.0, 0.0, 0.00268177
72.0, 12.0, 0.0, 0.00850910
72.0, 24.0, 0.0, 0.00977849
72.0, 36.0, 0.0, 0.00800191
72.0, 48.0, 0.0, 0.00711608
72.0, 60.0, 0.0, 0.00757515
72.0, 72.0, 0.0, 0.00572772
72.0, 84.0, 0.0, 0.00557590
72.0, 96.0, 0.0, 0.00538625
72.0, 108.0, 0.0, 0.00525616
72.0, 120.0, 0.0, 0.00594761
72.0, 132.0, 0.0, 0.00525388
72.0, 144.0, 0.0, 0.00534538
72.0, 156.0, 0.0, 0.00428245
72.0, 168.0, 0.0, 0.00572259
72.0, 180.0, 0.0, 0.00472307
72.0, 192.0, 0.0, 0.00724116
72.0, 204.0, 0.0, 0.00813093
72.0, 216.0, 0.0, 0.00942801
72.0, 228.0, 0.0, 0.01026063
72.0, 240.0, 0.0, 0.01114891
72.0, 252.0, 0.0, 0.01314357
72.0, 264.0, 0.0, 0.01290379
84.0, 0.0, 0.0, 0.00289162
84.0, 12.0, 0.0, 0.00690944
84.0, 24.0, 0.0, 0.00620619
84.0, 36.0, 0.0, 0.00595181
84.0, 48.0, 0.0, 0.00526876
84.0, 60.0, 0.0, 0.00564169
84.0, 72.0, 0.0, 0.00545085
84.0, 84.0, 0.0, 0.00510910
84.0, 96.0, 0.0, 0.00422334
84.0, 108.0, 0.0, 0.00426472
84.0, 120.0, 0.0, 0.00384586
84.0, 132.0, 0.0, 0.00383257
84.0, 144.0, 0.0, 0.00408623
84.0, 156.0, 0.0, 0.00353278
84.0, 168.0, 0.0, 0.00425154
84.0, 180.0, 0.0, 0.00393305
84.0, 192.0, 0.0, 0.00560393
84.0, 204.0, 0.0, 0.00585635
84.0, 216.0, 0.0, 0.00689073
84.0, 228.0, 0.0, 0.00837675
84.0, 240.0, 0.0, 0.00944363
84.0, 252.0, 0.0, 0.01025005
84.0, 264.0, 0.0, 0.01264802
96.0, 0.0, 0.0, 0.00361563
96.0, 12.0, 0.0, 0.00457333
96.0, 24.0, 0.0, 0.00474441
96.0, 36.0, 0.0, 0.00481171
96.0, 48.0, 0.0, 0.00499587
96.0, 60.0, 0.0, 0.00536384
96.0, 72.0, 0.0, 0.00501586
96.0, 84.0, 0.0, 0.00462862
96.0, 96.0, 0.0, 0.00413436
96.0, 108.0, 0.0, 0.00367854
96.0, 120.0, 0.0, 0.00324572
96.0, 132.0, 0.0, 0.00344557
96.0, 144.0, 0.0, 0.00320640
96.0, 156.0, 0.0, 0.00323561
96.0, 168.0, 0.0, 0.00354765
96.0, 180.0, 0.0, 0.00414965
96.0, 192.0, 0.0, 0.00536008
96.0, 204.0, 0.0, 0.00625498
96.0, 216.0, 0.0, 0.00644757
96.0, 228.0, 0.0, 0.00736105
96.0, 240.0, 0.0, 0.00850247
96.0, 252.0, 0.0, 0.00893897
96.0, 264.0, 0.0, 0.01009479
108.0, 0.0, 0.0, 0.00391659
108.0, 12.0, 0.0, 0.00421235
108.0, 24.0, 0.0, 0.00357596
108.0, 36.0, 0.0, 0.00380660
108.0, 48.0, 0.0, 0.00450970
108.0, 60.0, 0.0, 0.00463752
108.0, 72.0, 0.0, 0.00470667
108.0, 84.0, 0.0, 0.00312292
108.0, 96.0, 0.0, 0.00249621
108.0, 108.0, 0.0, 0.00264548
108.0, 120.0, 0.0, 0.00277549
108.0, 132.0, 0.0, 0.00285534
108.0, 144.0, 0.0, 0.00280090
108.0, 156.0, 0.0, 0.00288024
108.0, 168.0, 0.0, 0.00312364
108.0, 180.0, 0.0, 0.00302878
108.0, 192.0, 0.0, 0.00378582
108.0, 204.0, 0.0, 0.00437722
108.0, 216.0, 0.0, 0.00463674
108.0, 228.0, 0.0, 0.00495628
108.0, 240.0, 0.0, 0.00612851
108.0, 252.0, 0.0, 0.00760549
108.0, 264.0, 0.0, 0.00896488
120.0, 0.0, 0.0, 0.00376458
120.0, 12.0, 0.0, 0.00343423
120.0, 24.0, 0.0, 0.00323137
120.0, 36.0, 0.0, 0.00247410
120.0, 48.0, 0.0, 0.00267165
120.0, 60.0, 0.0, 0.00283580
120.0, 72.0, 0.0, 0.00282381
120.0, 84.0, 0.0, 0.00272783
120.0, 96.0, 0.0, 0.00265779
120.0, 108.0, 0.0, 0.00269158
120.0, 120.0, 0.0, 0.00256125
120.0, 132.0, 0.0, 0.00245071
120.0, 144.0, 0.0, 0.00251122
120.0, 156.0, 0.0, 0.00285964
120.0, 168.0, 0.0, 0.00277729
120.0, 180.0, 0.0, 0.00321735
120.0, 192.0, 0.0, 0.00303081
120.0, 204.0, 0.0, 0.00326079
120.0, 216.0, 0.0, 0.00275419
120.0, 228.0, 0.0, 0.00499134
120.0, 240.0, 0.0, 0.00505988
120.0, 252.0, 0.0, 0.00534997
120.0, 264.0, 0.0, 0.00606291
132.0, 0.0, 0.0, 0.00357921
132.0, 12.0, 0.0, 0.00416920
132.0, 24.0, 0.0, 0.00359902
132.0, 36.0, 0.0, 0.00321859
132.0, 48.0, 0.0, 0.00297619
132.0, 60.0, 0.0, 0.00309488
132.0, 72.0, 0.0, 0.00305615
132.0, 84.0, 0.0, 0.00223624
132.0, 96.0, 0.0, 0.00213726
132.0, 108.0, 0.0, 0.00233157
132.0, 120.0, 0.0, 0.00268806
132.0, 132.0, 0.0, 0.00253273
132.0, 144.0, 0.0, 0.00251114
132.0, 156.0, 0.0, 0.00279475
132.0, 168.0, 0.0, 0.00320965
132.0, 180.0, 0.0, 0.00291347
132.0, 192.0, 0.0, 0.00291309
132.0, 204.0, 0.0, 0.00264518
132.0, 216.0, 0.0, 0.00335832
132.0, 228.0, 0.0, 0.00315287
132.0, 240.0, 0.0, 0.00354158
132.0, 252.0, 0.0, 0.00411837
132.0, 264.0, 0.0, 0.00464774
144.0, 0.0, 0.0, 0.00285414
144.0, 12.0, 0.0, 0.00382036
144.0, 24.0, 0.0, 0.00333296
144.0, 36.0, 0.0, 0.00305168
144.0, 48.0, 0.0, 0.00322565
144.0, 60.0, 0.0, 0.00295004
144.0, 72.0, 0.0, 0.00247333
144.0, 84.0, 0.0, 0.00229455
144.0, 96.0, 0.0, 0.00214670
144.0, 108.0, 0.0, 0.00209835
144.0, 120.0, 0.0, 0.00238183
144.0, 132.0, 0.0, 0.00256214
144.0, 144.0, 0.0, 0.00274280
144.0, 156.0, 0.0, 0.00294940
144.0, 168.0, 0.0, 0.00307675
144.0, 180.0, 0.0, 0.00311014
144.0, 192.0, 0.0, 0.00247729
144.0, 204.0, 0.0, 0.00265768
144.0, 216.0, 0.0, 0.00228077
144.0, 228.0, 0.0, 0.00235818
144.0, 240.0, 0.0, 0.00286731
144.0, 252.0, 0.0, 0.00365740
144.0, 264.0, 0.0, 0.00423705
156.0, 0.0, 0.0, 0.00207056
156.0, 12.0, 0.0, 0.00357084
156.0, 24.0, 0.0, 0.00347811
156.0, 36.0, 0.0, 0.00316228
156.0, 48.0, 0.0, 0.00332612
156.0, 60.0, 0.0, 0.00269753
156.0, 72.0, 0.0, 0.00186403
156.0, 84.0, 0.0, 0.00162409
156.0, 96.0, 0.0, 0.00167649
156.0, 108.0, 0.0, 0.00192129
156.0, 120.0, 0.0, 0.00209701
156.0, 132.0, 0.0, 0.00239909
156.0, 144.0, 0.0, 0.00271497
156.0, 156.0, 0.0, 0.00283546
156.0, 168.0, 0.0, 0.00274120
156.0, 180.0, 0.0, 0.00254178
156.0, 192.0, 0.0, 0.00223161
156.0, 204.0, 0.0, 0.00214418
156.0, 216.0, 0.0, 0.00211216
156.0, 228.0, 0.0, 0.00220820
156.0, 240.0, 0.0, 0.00229762
156.0, 252.0, 0.0, 0.00277621
156.0, 264.0, 0.0, 0.00371854
168.0, 0.0, 0.0, 0.00176473
168.0, 12.0, 0.0, 0.00192861
168.0, 24.0, 0.0, 0.00276288
168.0, 36.0, 0.0, 0.00272275
168.0, 48.0, 0.0, 0.00263860
168.0, 60.0, 0.0, 0.00253496
168.0, 72.0, 0.0, 0.00189223
168.0, 84.0, 0.0, 0.00140900
168.0, 96.0, 0.0, 0.00143569
168.0, 108.0, 0.0, 0.00166571
168.0, 120.0, 0.0, 0.00200021
168.0, 132.0, 0.0, 0.00251874
168.0, 144.0, 0.0, 0.00292429
168.0, 156.0, 0.0, 0.00287810
168.0, 168.0, 0.0, 0.00286514
168.0, 180.0, 0.0, 0.00266211
168.0, 192.0, 0.0, 0.00235245
168.0, 204.0, 0.0, 0.00230719
168.0, 216.0, 0.0, 0.00211017
168.0, 228.0, 0.0, 0.00185364
168.0, 240.0, 0.0, 0.00196943
168.0, 252.0, 0.0, 0.00233335
168.0, 264.0, 0.0, 0.00287750
180.0, 0.0, 0.0, 0.00186375
180.0, 12.0, 0.0, 0.00170654
180.0, 24.0, 0.0, 0.00234864
180.0, 36.0, 0.0, 0.00248415
180.0, 48.0, 0.0, 0.00286690
180.0, 60.0, 0.0, 0.00230202
180.0, 72.0, 0.0, 0.00190388
180.0, 84.0, 0.0, 0.00172806
180.0, 96.0, 0.0, 0.00161115
180.0, 108.0, 0.0, 0.00153664
180.0, 120.0, 0.0, 0.00186297
180.0, 132.0, 0.0, 0.00239870
180.0, 144.0, 0.0, 0.00222318
180.0, 156.0, 0.0, 0.00245464
180.0, 168.0, 0.0, 0.00218101
180.0, 180.0, 0.0, 0.00255926
180.0, 192.0, 0.0, 0.00274592
180.0, 204.0, 0.0, 0.00234274
180.0, 216.0, 0.0, 0.00203948
180.0, 228.0, 0.0, 0.00172270
180.0, 240.0, 0.0, 0.00152480
180.0, 252.0, 0.0, 0.00197117
180.0, 264.0, 0.0, 0.00246052
192.0, 0.0, 0.0, 0.00136825
192.0, 12.0, 0.0, 0.00136559
192.0, 24.0, 0.0, 0.00173074
192.0, 36.0, 0.0, 0.00193450
192.0, 48.0, 0.0, 0.00196320
192.0, 60.0, 0.0, 0.00235766
192.0, 72.0, 0.0, 0.00207614
192.0, 84.0, 0.0, 0.00178180
192.0, 96.0, 0.0, 0.00160050
192.0, 108.0, 0.0, 0.00167743
192.0, 120.0, 0.0, 0.00177528
192.0, 132.0, 0.0, 0.00181927
192.0, 144.0, 0.0, 0.00167176
192.0, 156.0, 0.0, 0.00187773
192.0, 168.0, 0.0, 0.00202704
192.0, 180.0, 0.0, 0.00196300
192.0, 192.0, 0.0, 0.00177398
192.0, 204.0, 0.0, 0.00176770
192.0, 216.0, 0.0, 0.00180931
192.0, 228.0, 0.0, 0.00156012
192.0, 240.0, 0.0, 0.00141686
192.0, 252.0, 0.0, 0.00147924
192.0, 264.0, 0.0, 0.00238908
204.0, 0.0, 0.0, 0.00130630
204.0, 12.0, 0.0, 0.00164745
204.0, 24.0, 0.0, 0.00192585
204.0, 36.0, 0.0, 0.00191463
204.0, 48.0, 0.0, 0.00235486
204.0, 60.0, 0.0, 0.00244111
204.0, 72.0, 0.0, 0.00222754
