S3D
I=8,J=9,K=6
0.0, 0.0, 0.0, 0.00474374
0.0, 30.0, 0.0, 0.01212665
0.0, 60.0, 0.0, 0.01571931
0.0, 90.0, 0.0, 0.01538015
0.0, 120.0, 0.0, 0.01571238
0.0, 150.0, 0.0, 0.01597160
0.0, 180.0, 0.0, 0.01559628
0.0, 210.0, 0.0, 0.01398411
0.0, 240.0, 0.0, 0.01560289
30.0, 0.0, 0.0, 0.00340168
30.0, 30.0, 0.0, 0.00854461
30.0, 60.0, 0.0, 0.01531724
30.0, 90.0, 0.0, 0.01427184
30.0, 120.0, 0.0, 0.01343304
30.0, 150.0, 0.0, 0.01202929
30.0, 180.0, 0.0, 0.01281189
30.0, 210.0, 0.0, 0.01408088
30.0, 240.0, 0.0, 0.01352138
60.0, 0.0, 0.0, 0.00281140
60.0, 30.0, 0.0, 0.01189864
60.0, 60.0, 0.0, 0.01236911
60.0, 90.0, 0.0, 0.01033759
60.0, 120.0, 0.0, 0.00931807
60.0, 150.0, 0.0, 0.00857711
60.0, 180.0, 0.0, 0.00880377
60.0, 210.0, 0.0, 0.01325645
60.0, 240.0, 0.0, 0.01241055
90.0, 0.0, 0.0, 0.00299779
90.0, 30.0, 0.0, 0.00534069
90.0, 60.0, 0.0, 0.00542900
90.0, 90.0, 0.0, 0.00473796
90.0, 120.0, 0.0, 0.00347604
90.0, 150.0, 0.0, 0.00362353
90.0, 180.0, 0.0, 0.00395625
90.0, 210.0, 0.0, 0.00636758
90.0, 240.0, 0.0, 0.00869667
120.0, 0.0, 0.0, 0.00376458
120.0, 30.0, 0.0, 0.00253377
120.0, 60.0, 0.0, 0.00279554
120.0, 90.0, 0.0, 0.00233203
120.0, 120.0, 0.0, 0.00251907
120.0, 150.0, 0.0, 0.00252050
120.0, 180.0, 0.0, 0.00321795
120.0, 210.0, 0.0, 0.00310275
120.0, 240.0, 0.0, 0.00513422
150.0, 0.0, 0.0, 0.00238914
150.0, 30.0, 0.0, 0.00333653
150.0, 60.0, 0.0, 0.00283517
150.0, 90.0, 0.0, 0.00188872
150.0, 120.0, 0.0, 0.00224576
150.0, 150.0, 0.0, 0.00276772
150.0, 180.0, 0.0, 0.00282418
150.0, 210.0, 0.0, 0.00235794
150.0, 240.0, 0.0, 0.00252046
180.0, 0.0, 0.0, 0.00186375
