S
I=45,J=40
0.0, 0.0, 0.004744
0.0, 0.0, 0.004626
0.0, 0.0, 0.004378
0.0, 0.0, 0.004416
0.0, 0.0, 0.005487
0.0, 0.0, 0.012127
0.0, 0.0, 0.014484
0.0, 0.0, 0.015149
0.0, 0.0, 0.014626
0.0, 0.0, 0.015810
0.0, 0.0, 0.015719
0.0, 0.0, 0.015771
0.0, 0.0, 0.015868
0.0, 0.0, 0.015890
0.0, 0.0, 0.015754
0.0, 0.0, 0.015380
0.0, 0.0, 0.015183
0.0, 0.0, 0.015488
0.0, 0.0, 0.015605
0.0, 0.0, 0.015688
0.0, 0.0, 0.015712
0.0, 0.0, 0.015679
0.0, 0.0, 0.015409
0.0, 0.0, 0.015924
0.0, 0.0, 0.016327
0.0, 0.0, 0.015972
0.0, 0.0, 0.015902
0.0, 0.0, 0.015700
0.0, 0.0, 0.015054
0.0, 0.0, 0.015156
0.0, 0.0, 0.015596
0.0, 0.0, 0.015605
0.0, 0.0, 0.014891
0.0, 0.0, 0.014827
0.0, 0.0, 0.012079
0.0, 0.0, 0.013984
0.0, 0.0, 0.014461
0.0, 0.0, 0.015314
0.0, 0.0, 0.015624
0.0, 0.0, 0.015562
0.0, 0.0, 0.015603
0.0, 0.0, 0.015551
0.0, 0.0, 0.015148
0.0, 0.0, 0.015628
0.0, 0.0, 0.016008
0.0, 0.0, 0.004679
0.0, 0.0, 0.004580
0.0, 0.0, 0.004436
0.0, 0.0, 0.004143
0.0, 0.0, 0.005131
0.0, 0.0, 0.012460
0.0, 0.0, 0.014604
0.0, 0.0, 0.015484
0.0, 0.0, 0.015950
0.0, 0.0, 0.015952
0.0, 0.0, 0.015864
0.0, 0.0, 0.015889
0.0, 0.0, 0.015810
0.0, 0.0, 0.015773
0.0, 0.0, 0.015391
0.0, 0.0, 0.015168
0.0, 0.0, 0.015269
0.0, 0.0, 0.015529
0.0, 0.0, 0.015646
0.0, 0.0, 0.015800
0.0, 0.0, 0.015998
0.0, 0.0, 0.016095
0.0, 0.0, 0.016106
0.0, 0.0, 0.015693
0.0, 0.0, 0.014759
0.0, 0.0, 0.015060
0.0, 0.0, 0.015052
0.0, 0.0, 0.015214
0.0, 0.0, 0.015968
0.0, 0.0, 0.015118
0.0, 0.0, 0.015181
0.0, 0.0, 0.014331
0.0, 0.0, 0.014511
0.0, 0.0, 0.013964
0.0, 0.0, 0.014507
0.0, 0.0, 0.015026
0.0, 0.0, 0.015762
0.0, 0.0, 0.015148
0.0, 0.0, 0.014646
0.0, 0.0, 0.014027
0.0, 0.0, 0.013962
0.0, 0.0, 0.013926
0.0, 0.0, 0.014279
0.0, 0.0, 0.014671
0.0, 0.0, 0.015235
0.0, 0.0, 0.004506
0.0, 0.0, 0.004368
0.0, 0.0, 0.004360
0.0, 0.0, 0.004004
0.0, 0.0, 0.011046
0.0, 0.0, 0.012569
0.0, 0.0, 0.013913
0.0, 0.0, 0.014756
0.0, 0.0, 0.015760
0.0, 0.0, 0.015770
0.0, 0.0, 0.015515
0.0, 0.0, 0.015414
0.0, 0.0, 0.015452
0.0, 0.0, 0.015452
0.0, 0.0, 0.015018
0.0, 0.0, 0.014671
0.0, 0.0, 0.014818
0.0, 0.0, 0.015122
0.0, 0.0, 0.015195
0.0, 0.0, 0.014875
0.0, 0.0, 0.015126
0.0, 0.0, 0.015338
0.0, 0.0, 0.015539
0.0, 0.0, 0.014855
0.0, 0.0, 0.013434
0.0, 0.0, 0.014050
0.0, 0.0, 0.014159
0.0, 0.0, 0.014692
0.0, 0.0, 0.015257
0.0, 0.0, 0.015526
0.0, 0.0, 0.015685
