S
I=15,J=13
0.0, 0.0, 0.002680
0.0, 0.0, 0.002652
0.0, 0.0, 0.002653
0.0, 0.0, 0.002632
0.0, 0.0, 0.002590
0.0, 0.0, 0.002543
0.0, 0.0, 0.002536
0.0, 0.0, 0.002582
0.0, 0.0, 0.002651
0.0, 0.0, 0.002681
0.0, 0.0, 0.002677
0.0, 0.0, 0.002632
0.0, 0.0, 0.002539
0.0, 0.0, 0.002470
0.0, 0.0, 0.002390
0.0, 0.0, 0.002697
0.0, 0.0, 0.002691
0.0, 0.0, 0.002697
0.0, 0.0, 0.002660
0.0, 0.0, 0.002616
0.0, 0.0, 0.002560
0.0, 0.0, 0.002544
0.0, 0.0, 0.002554
0.0, 0.0, 0.002588
0.0, 0.0, 0.002604
0.0, 0.0, 0.002627
0.0, 0.0, 0.002652
0.0, 0.0, 0.002603
0.0, 0.0, 0.002528
0.0, 0.0, 0.002418
0.0, 0.0, 0.002700
0.0, 0.0, 0.002692
0.0, 0.0, 0.002693
0.0, 0.0, 0.002673
0.0, 0.0, 0.002649
0.0, 0.0, 0.002599
0.0, 0.0, 0.002553
0.0, 0.0, 0.002535
0.0, 0.0, 0.002564
0.0, 0.0, 0.002580
0.0, 0.0, 0.002599
0.0, 0.0, 0.002638
0.0, 0.0, 0.002649
0.0, 0.0, 0.002591
0.0, 0.0, 0.002440
0.0, 0.0, 0.002690
0.0, 0.0, 0.002676
0.0, 0.0, 0.002657
0.0, 0.0, 0.002646
0.0, 0.0, 0.002652
0.0, 0.0, 0.002597
0.0, 0.0, 0.002524
0.0, 0.0, 0.002509
0.0, 0.0, 0.002560
0.0, 0.0, 0.002567
0.0, 0.0, 0.002561
0.0, 0.0, 0.002605
0.0, 0.0, 0.002660
0.0, 0.0, 0.002587
0.0, 0.0, 0.002447
0.0, 0.0, 0.002674
0.0, 0.0, 0.002667
0.0, 0.0, 0.002641
0.0, 0.0, 0.002615
0.0, 0.0, 0.002642
0.0, 0.0, 0.002613
0.0, 0.0, 0.002540
0.0, 0.0, 0.002542
0.0, 0.0, 0.002571
0.0, 0.0, 0.002563
0.0, 0.0, 0.002550
0.0, 0.0, 0.002560
0.0, 0.0, 0.002582
0.0, 0.0, 0.002528
0.0, 0.0, 0.002449
0.0, 0.0, 0.002661
0.0, 0.0, 0.002647
0.0, 0.0, 0.002643
0.0, 0.0, 0.002630
0.0, 0.0, 0.002633
0.0, 0.0, 0.002628
0.0, 0.0, 0.002605
0.0, 0.0, 0.002579
0.0, 0.0, 0.002551
0.0, 0.0, 0.002538
0.0, 0.0, 0.002542
0.0, 0.0, 0.002527
0.0, 0.0, 0.002512
0.0, 0.0, 0.002488
0.0, 0.0, 0.002464
0.0, 0.0, 0.002667
0.0, 0.0, 0.002653
0.0, 0.0, 0.002651
0.0, 0.0, 0.002637
0.0, 0.0, 0.002626
0.0, 0.0, 0.002623
0.0, 0.0, 0.002610
