S3D
I=4,J=5,K=3
0.0, 0.0, 0.0, 0.00474374
0.0, 60.0, 0.0, 0.01571931
0.0, 120.0, 0.0, 0.01571238
0.0, 180.0, 0.0, 0.01559628
0.0, 240.0, 0.0, 0.01560289
60.0, 0.0, 0.0, 0.00281140
60.0, 60.0, 0.0, 0.01236911
60.0, 120.0, 0.0, 0.00931807
60.0, 180.0, 0.0, 0.00880377
60.0, 240.0, 0.0, 0.01241055
120.0, 0.0, 0.0, 0.00376458
120.0, 60.0, 0.0, 0.00279554
120.0, 120.0, 0.0, 0.00251907
120.0, 180.0, 0.0, 0.00321795
120.0, 240.0, 0.0, 0.00513422
180.0, 0.0, 0.0, 0.00186375
180.0, 60.0, 0.0, 0.00235341
180.0, 120.0, 0.0, 0.00186488
180.0, 180.0, 0.0, 0.00262897
180.0, 240.0, 0.0, 0.00152105
0.0, 0.0, 10.0, 0.00188148
0.0, 60.0, 10.0, 0.00606898
0.0, 120.0, 10.0, 0.00856330
0.0, 180.0, 10.0, 0.00811575
0.0, 240.0, 10.0, 0.00867077
60.0, 0.0, 10.0, 0.00235849
60.0, 60.0, 10.0, 0.00917799
60.0, 120.0, 10.0, 0.00375044
60.0, 180.0, 10.0, 0.00244091
60.0, 240.0, 10.0, 0.00442629
120.0, 0.0, 10.0, 0.00271020
120.0, 60.0, 10.0, 0.00255764
120.0, 120.0, 10.0, 0.00115228
120.0, 180.0, 10.0, 0.00149354
120.0, 240.0, 10.0, 0.00326726
180.0, 0.0, 10.0, 0.00087886
180.0, 60.0, 10.0, 0.00129054
180.0, 120.0, 10.0, 0.00062236
180.0, 180.0, 10.0, 0.00129188
180.0, 240.0, 10.0, 0.00060768
0.0, 0.0, 20.0, 0.00011336
0.0, 60.0, 20.0, 0.00048426
0.0, 120.0, 20.0, 0.00124306
0.0, 180.0, 20.0, 0.00053745
0.0, 240.0, 20.0, 0.00019580
60.0, 0.0, 20.0, 0.00003196
60.0, 60.0, 20.0, 0.00101146
60.0, 120.0, 20.0, 0.00097136
60.0, 180.0, 20.0, 0.00114077
60.0, 240.0, 20.0, 0.00064089
120.0, 0.0, 20.0, 0.00008486
120.0, 60.0, 20.0, 0.00048427
120.0, 120.0, 20.0, 0.00048402
120.0, 180.0, 20.0, 0.00039541
120.0, 240.0, 20.0, 0.00066520
180.0, 0.0, 20.0, 0.00002386
180.0, 60.0, 20.0, 0.00008557
180.0, 120.0, 20.0, 0.00009488
180.0, 180.0, 20.0, 0.00006545
180.0, 240.0, 20.0, 0.00005093
