S
I=18,J=16
0.000000, 0.000000, 1316.602051
0.000000, 15.000000, 1421.546997
0.000000, 30.000000, 1093.163940
0.000000, 45.000000, 791.640625
0.000000, 60.000000, 805.273376
0.000000, 75.000000, 908.671875
0.000000, 90.000000, 995.640625
0.000000, 105.000000, 1072.781006
0.000000, 120.000000, 1103.859009
0.000000, 135.000000, 1187.836060
0.000000, 150.000000, 1268.694946
0.000000, 165.000000, 1330.272949
0.000000, 180.000000, 1370.671997
0.000000, 195.000000, 1359.156006
0.000000, 210.000000, 1458.258057
0.000000, 225.000000, 1387.187988
15.000000, 0.000000, 1124.022949
15.000000, 15.000000, 1211.656006
15.000000, 30.000000, 1328.687988
15.000000, 45.000000, 1379.555054
15.000000, 60.000000, 1426.171997
15.000000, 75.000000, 1447.569946
15.000000, 90.000000, 1459.125000
15.000000, 105.000000, 1508.843994
15.000000, 120.000000, 1521.687988
15.000000, 135.000000, 1490.609009
15.000000, 150.000000, 1456.663940
15.000000, 165.000000, 1456.578003
15.000000, 180.000000, 1421.586060
15.000000, 195.000000, 1290.828003
15.000000, 210.000000, 1178.000000
15.000000, 225.000000, 965.640625
30.000000, 0.000000, 1518.640991
30.000000, 15.000000, 1595.078003
30.000000, 30.000000, 1667.921997
30.000000, 45.000000, 1673.477051
30.000000, 60.000000, 1555.055054
30.000000, 75.000000, 1540.866943
30.000000, 90.000000, 1554.546997
30.000000, 105.000000, 1101.836060
30.000000, 120.000000, 1138.022949
30.000000, 135.000000, 874.000000
30.000000, 150.000000, 939.921875
30.000000, 165.000000, 1055.538940
30.000000, 180.000000, 1200.984009
30.000000, 195.000000, 1308.812012
30.000000, 210.000000, 1352.000000
30.000000, 225.000000, 1427.484009
45.000000, 0.000000, 1649.437988
45.000000, 15.000000, 905.453125
45.000000, 30.000000, 843.125000
45.000000, 45.000000, 690.335876
45.000000, 60.000000, 940.570313
45.000000, 75.000000, 1140.022949
45.000000, 90.000000, 1243.640991
45.000000, 105.000000, 1396.156006
45.000000, 120.000000, 1433.647949
45.000000, 135.000000, 1483.944946
45.000000, 150.000000, 1538.897949
45.000000, 165.000000, 1613.156006
45.000000, 180.000000, 1646.796997
45.000000, 195.000000, 1684.788940
45.000000, 210.000000, 1736.187988
45.000000, 225.000000, 1772.616943
60.000000, 0.000000, 1267.352051
60.000000, 15.000000, 1420.687988
60.000000, 30.000000, 1530.375000
60.000000, 45.000000, 1531.741943
60.000000, 60.000000, 1621.883057
60.000000, 75.000000, 1701.116943
60.000000, 90.000000, 1741.194946
60.000000, 105.000000, 1708.234009
60.000000, 120.000000, 1750.586060
60.000000, 135.000000, 1836.647949
60.000000, 150.000000, 1818.703003
60.000000, 165.000000, 1755.187988
60.000000, 180.000000, 1699.031006
60.000000, 195.000000, 995.140625
60.000000, 210.000000, 936.539124
60.000000, 225.000000, 886.242188
75.000000, 0.000000, 1810.921997
75.000000, 15.000000, 1774.680054
75.000000, 30.000000, 1777.734009
75.000000, 45.000000, 1811.852051
75.000000, 60.000000, 1839.366943
75.000000, 75.000000, 1791.859009
75.000000, 90.000000, 1758.694946
75.000000, 105.000000, 1056.336060
75.000000, 120.000000, 1091.116943
75.000000, 135.000000, 1179.477051
75.000000, 150.000000, 1404.038940
75.000000, 165.000000, 1410.437988
75.000000, 180.000000, 1503.968994
75.000000, 195.000000, 1602.977051
75.000000, 210.000000, 1694.984009
75.000000, 225.000000, 1737.968994
90.000000, 0.000000, 1693.586060
90.000000, 15.000000, 1097.765991
90.000000, 30.000000, 1156.836060
90.000000, 45.000000, 1294.647949
90.000000, 60.000000, 1562.538940
90.000000, 75.000000, 1718.890991
90.000000, 90.000000, 1693.163940
90.000000, 105.000000, 1837.046997
90.000000, 120.000000, 1833.711060
90.000000, 135.000000, 1931.430054
90.000000, 150.000000, 2009.515991
90.000000, 165.000000, 2006.241943
90.000000, 180.000000, 1932.890991
90.000000, 195.000000, 1876.602051
90.000000, 210.000000, 1804.397949
90.000000, 225.000000, 1778.281006
105.000000, 0.000000, 1752.281006
105.000000, 15.000000, 1977.046997
105.000000, 30.000000, 2064.960938
105.000000, 45.000000, 2038.937988
105.000000, 60.000000, 2106.883057
105.000000, 75.000000, 2024.116943
105.000000, 90.000000, 2022.765991
105.000000, 105.000000, 1948.336060
105.000000, 120.000000, 1822.647949
105.000000, 135.000000, 1770.843994
105.000000, 150.000000, 1698.921997
105.000000, 165.000000, 1673.508057
105.000000, 180.000000, 1607.069946
105.000000, 195.000000, 1161.796997
105.000000, 210.000000, 1378.171997
105.000000, 225.000000, 1579.953003
120.000000, 0.000000, 2075.664063
120.000000, 15.000000, 2023.562012
120.000000, 30.000000, 2000.727051
120.000000, 45.000000, 1865.508057
120.000000, 60.000000, 1743.875000
120.000000, 75.000000, 1724.241943
120.000000, 90.000000, 1631.812012
120.000000, 105.000000, 1243.093994
120.000000, 120.000000, 1526.930054
120.000000, 135.000000, 1795.109009
120.000000, 150.000000, 2076.562012
120.000000, 165.000000, 2148.820068
120.000000, 180.000000, 2168.929932
120.000000, 195.000000, 2148.539063
120.000000, 210.000000, 2292.195068
120.000000, 225.000000, 2211.108887
135.000000, 0.000000, 1778.319946
135.000000, 15.000000, 1327.897949
135.000000, 30.000000, 1723.788940
135.000000, 45.000000, 1892.180054
135.000000, 60.000000, 2326.758057
135.000000, 75.000000, 2315.366943
135.000000, 90.000000, 2312.593994
135.000000, 105.000000, 2278.906006
135.000000, 120.000000, 2402.843994
135.000000, 135.000000, 2363.202881
135.000000, 150.000000, 2185.375000
135.000000, 165.000000, 2009.805054
135.000000, 180.000000, 1880.515991
135.000000, 195.000000, 2067.554932
135.000000, 210.000000, 2076.789063
135.000000, 225.000000, 2026.569946
150.000000, 0.000000, 2587.960938
150.000000, 15.000000, 2393.968994
150.000000, 30.000000, 2519.147949
150.000000, 45.000000, 2566.608887
150.000000, 60.000000, 2442.727051
150.000000, 75.000000, 2280.741943
150.000000, 90.000000, 2019.593994
150.000000, 105.000000, 1793.734009
150.000000, 120.000000, 2092.687988
150.000000, 135.000000, 2168.858887
150.000000, 150.000000, 2082.952881
150.000000, 165.000000, 1996.437988
150.000000, 180.000000, 1883.593994
150.000000, 195.000000, 1554.383057
