S
I=269,J=239
0.0, 0.0, 13.181640
0.0, 0.0, 13.846680
0.0, 0.0, 13.899410
0.0, 0.0, 13.439450
0.0, 0.0, 13.182620
0.0, 0.0, 13.014650
0.0, 0.0, 13.017580
0.0, 0.0, 13.029300
0.0, 0.0, 13.215820
0.0, 0.0, 13.406250
0.0, 0.0, 13.459960
0.0, 0.0, 13.382810
0.0, 0.0, 13.688480
0.0, 0.0, 14.323240
0.0, 0.0, 14.474610
0.0, 0.0, 14.393550
0.0, 0.0, 14.251950
0.0, 0.0, 13.959960
0.0, 0.0, 13.639650
0.0, 0.0, 13.780270
0.0, 0.0, 13.625980
0.0, 0.0, 13.490230
0.0, 0.0, 13.378910
0.0, 0.0, 13.439450
0.0, 0.0, 13.056640
0.0, 0.0, 12.313480
0.0, 0.0, 11.152340
0.0, 0.0, 10.504880
0.0, 0.0, 10.418950
0.0, 0.0, 10.115230
0.0, 0.0, 9.449219
0.0, 0.0, 9.185547
0.0, 0.0, 8.955078
0.0, 0.0, 8.055664
0.0, 0.0, 7.167969
0.0, 0.0, 7.021484
0.0, 0.0, 6.745117
0.0, 0.0, 5.514648
0.0, 0.0, 4.936523
0.0, 0.0, 5.176758
0.0, 0.0, 4.946289
0.0, 0.0, 4.605469
0.0, 0.0, 4.710938
0.0, 0.0, 4.923828
0.0, 0.0, 4.920898
0.0, 0.0, 4.813477
0.0, 0.0, 4.997070
0.0, 0.0, 5.025391
0.0, 0.0, 4.888672
0.0, 0.0, 4.583984
0.0, 0.0, 4.377930
0.0, 0.0, 4.472656
0.0, 0.0, 4.726562
0.0, 0.0, 4.769531
0.0, 0.0, 4.696289
0.0, 0.0, 4.820312
0.0, 0.0, 4.833984
0.0, 0.0, 4.995117
0.0, 0.0, 4.978516
0.0, 0.0, 5.047852
0.0, 0.0, 5.217773
0.0, 0.0, 5.303711
0.0, 0.0, 5.498047
0.0, 0.0, 5.453125
0.0, 0.0, 5.711914
0.0, 0.0, 5.720703
0.0, 0.0, 5.717773
0.0, 0.0, 5.760742
0.0, 0.0, 6.009766
0.0, 0.0, 6.009766
0.0, 0.0, 5.991211
0.0, 0.0, 6.201172
0.0, 0.0, 6.148438
0.0, 0.0, 6.208984
0.0, 0.0, 6.164062
0.0, 0.0, 6.358398
0.0, 0.0, 6.327148
0.0, 0.0, 6.399414
0.0, 0.0, 6.373047
0.0, 0.0, 6.479492
0.0, 0.0, 6.479492
0.0, 0.0, 6.669922
0.0, 0.0, 6.743164
0.0, 0.0, 6.720703
0.0, 0.0, 6.660156
0.0, 0.0, 6.627930
0.0, 0.0, 6.716797
0.0, 0.0, 6.924805
0.0, 0.0, 6.937500
0.0, 0.0, 6.940430
0.0, 0.0, 7.026367
0.0, 0.0, 6.935547
0.0, 0.0, 6.997070
0.0, 0.0, 7.056641
0.0, 0.0, 7.119141
0.0, 0.0, 7.167969
0.0, 0.0, 7.204102
0.0, 0.0, 7.264648
0.0, 0.0, 7.375977
0.0, 0.0, 7.402344
0.0, 0.0, 7.420898
