S3D
I=24,J=27,K=3
0.0, 0.0, 0.0, 1316.60205078
0.0, 10.0, 0.0, 1339.80505371
0.0, 20.0, 0.0, 1368.93798828
0.0, 30.0, 0.0, 1093.16394043
0.0, 40.0, 0.0, 818.42187500
0.0, 50.0, 0.0, 744.66412354
0.0, 60.0, 0.0, 805.27337646
0.0, 70.0, 0.0, 874.03118896
0.0, 80.0, 0.0, 941.19531250
0.0, 90.0, 0.0, 995.64062500
0.0, 100.0, 0.0, 1057.82800293
0.0, 110.0, 0.0, 1077.25000000
0.0, 120.0, 0.0, 1103.85900879
0.0, 130.0, 0.0, 1160.82800293
0.0, 140.0, 0.0, 1215.16394043
0.0, 150.0, 0.0, 1268.69494629
0.0, 160.0, 0.0, 1310.60900879
0.0, 170.0, 0.0, 1416.08605957
0.0, 180.0, 0.0, 1370.67199707
0.0, 190.0, 0.0, 1367.88305664
0.0, 200.0, 0.0, 1354.76599121
0.0, 210.0, 0.0, 1458.25805664
0.0, 220.0, 0.0, 1447.41394043
0.0, 230.0, 0.0, 1347.09399414
0.0, 240.0, 0.0, 1355.85205078
0.0, 250.0, 0.0, 1360.16394043
0.0, 260.0, 0.0, 1352.71899414
10.0, 0.0, 0.0, 1389.50805664
10.0, 10.0, 0.0, 1331.70300293
10.0, 20.0, 0.0, 1227.77294922
10.0, 30.0, 0.0, 1089.78894043
10.0, 40.0, 0.0, 851.34381104
10.0, 50.0, 0.0, 830.37500000
10.0, 60.0, 0.0, 882.75781250
10.0, 70.0, 0.0, 967.65618896
10.0, 80.0, 0.0, 1062.11694336
10.0, 90.0, 0.0, 1173.29699707
10.0, 100.0, 0.0, 1245.51599121
10.0, 110.0, 0.0, 1304.62500000
10.0, 120.0, 0.0, 1347.78100586
10.0, 130.0, 0.0, 1382.68798828
10.0, 140.0, 0.0, 1415.14794922
10.0, 150.0, 0.0, 1420.48400879
10.0, 160.0, 0.0, 1432.24194336
10.0, 170.0, 0.0, 1449.27294922
10.0, 180.0, 0.0, 1446.73400879
10.0, 190.0, 0.0, 1564.06201172
10.0, 200.0, 0.0, 1497.14099121
10.0, 210.0, 0.0, 1497.00805664
10.0, 220.0, 0.0, 1493.10205078
10.0, 230.0, 0.0, 1463.61694336
10.0, 240.0, 0.0, 1446.75000000
10.0, 250.0, 0.0, 1442.56201172
10.0, 260.0, 0.0, 1452.94494629
20.0, 0.0, 0.0, 1372.87500000
20.0, 10.0, 0.0, 1238.49194336
20.0, 20.0, 0.0, 1217.31994629
20.0, 30.0, 0.0, 1204.46899414
20.0, 40.0, 0.0, 830.17968750
20.0, 50.0, 0.0, 941.92187500
20.0, 60.0, 0.0, 984.38281250
20.0, 70.0, 0.0, 1065.08605957
20.0, 80.0, 0.0, 1139.66394043
20.0, 90.0, 0.0, 1225.00805664
20.0, 100.0, 0.0, 1292.76599121
20.0, 110.0, 0.0, 1354.28100586
20.0, 120.0, 0.0, 1407.37500000
20.0, 130.0, 0.0, 1441.72705078
20.0, 140.0, 0.0, 1449.70300293
20.0, 150.0, 0.0, 1459.44494629
20.0, 160.0, 0.0, 1473.88305664
20.0, 170.0, 0.0, 1476.12500000
20.0, 180.0, 0.0, 1503.88305664
20.0, 190.0, 0.0, 1532.14099121
20.0, 200.0, 0.0, 1586.68798828
20.0, 210.0, 0.0, 1594.68005371
20.0, 220.0, 0.0, 1583.67199707
20.0, 230.0, 0.0, 1551.50000000
20.0, 240.0, 0.0, 1518.41394043
20.0, 250.0, 0.0, 1505.87500000
20.0, 260.0, 0.0, 1515.62500000
30.0, 0.0, 0.0, 1252.00805664
30.0, 10.0, 0.0, 1072.29699707
30.0, 20.0, 0.0, 1080.48400879
30.0, 30.0, 0.0, 1146.92199707
30.0, 40.0, 0.0, 764.45312500
30.0, 50.0, 0.0, 938.35162354
30.0, 60.0, 0.0, 1015.09399414
30.0, 70.0, 0.0, 1071.89794922
30.0, 80.0, 0.0, 1133.47705078
30.0, 90.0, 0.0, 1231.51599121
30.0, 100.0, 0.0, 1322.43798828
30.0, 110.0, 0.0, 1371.67199707
30.0, 120.0, 0.0, 1414.57800293
30.0, 130.0, 0.0, 1445.46105957
30.0, 140.0, 0.0, 1485.35900879
30.0, 150.0, 0.0, 1511.40600586
30.0, 160.0, 0.0, 1539.00805664
30.0, 170.0, 0.0, 1549.64099121
30.0, 180.0, 0.0, 1555.96899414
30.0, 190.0, 0.0, 1627.12500000
30.0, 200.0, 0.0, 1659.87500000
30.0, 210.0, 0.0, 1695.12500000
30.0, 220.0, 0.0, 1694.25000000
30.0, 230.0, 0.0, 1652.68005371
30.0, 240.0, 0.0, 1621.50805664
30.0, 250.0, 0.0, 1598.06201172
30.0, 260.0, 0.0, 1597.95300293
40.0, 0.0, 0.0, 1056.11694336
40.0, 10.0, 0.0, 904.01562500
40.0, 20.0, 0.0, 898.37500000
40.0, 30.0, 0.0, 746.78912354
40.0, 40.0, 0.0, 762.35162354
40.0, 50.0, 0.0, 910.34381104
40.0, 60.0, 0.0, 1047.89099121
40.0, 70.0, 0.0, 1134.88305664
40.0, 80.0, 0.0, 1194.68005371
40.0, 90.0, 0.0, 1268.64794922
40.0, 100.0, 0.0, 1338.41394043
40.0, 110.0, 0.0, 1438.34399414
40.0, 120.0, 0.0, 1489.25000000
40.0, 130.0, 0.0, 1501.06201172
40.0, 140.0, 0.0, 1531.61694336
40.0, 150.0, 0.0, 1573.18005371
40.0, 160.0, 0.0, 1609.68798828
40.0, 170.0, 0.0, 1646.06994629
40.0, 180.0, 0.0, 1648.30505371
40.0, 190.0, 0.0, 1687.81201172
40.0, 200.0, 0.0, 1722.10205078
40.0, 210.0, 0.0, 1774.44494629
40.0, 220.0, 0.0, 1771.98400879
40.0, 230.0, 0.0, 1748.40600586
40.0, 240.0, 0.0, 1721.31994629
40.0, 250.0, 0.0, 1703.18005371
40.0, 260.0, 0.0, 1670.37500000
50.0, 0.0, 0.0, 922.93750000
50.0, 10.0, 0.0, 1036.92199707
50.0, 20.0, 0.0, 964.81250000
50.0, 30.0, 0.0, 726.25000000
50.0, 40.0, 0.0, 754.89837646
50.0, 50.0, 0.0, 935.60162354
50.0, 60.0, 0.0, 1043.56994629
50.0, 70.0, 0.0, 1200.11694336
50.0, 80.0, 0.0, 1327.37500000
50.0, 90.0, 0.0, 1379.24194336
50.0, 100.0, 0.0, 1381.35900879
50.0, 110.0, 0.0, 1467.47705078
50.0, 120.0, 0.0, 1521.60205078
50.0, 130.0, 0.0, 1542.80505371
50.0, 140.0, 0.0, 1569.60900879
50.0, 150.0, 0.0, 1638.46105957
50.0, 160.0, 0.0, 1691.85205078
50.0, 170.0, 0.0, 1722.92199707
50.0, 180.0, 0.0, 1725.75805664
50.0, 190.0, 0.0, 1715.32800293
50.0, 200.0, 0.0, 1751.84399414
50.0, 210.0, 0.0, 1814.59399414
50.0, 220.0, 0.0, 1827.53894043
50.0, 230.0, 0.0, 1803.16394043
50.0, 240.0, 0.0, 1787.89099121
