S
I=18,J=16
0.000000, 0.000000, 1556.593994
15.000000, 0.000000, 1670.437988
30.000000, 0.000000, 2346.500000
45.000000, 0.000000, 2661.108887
60.000000, 0.000000, 2403.508057
75.000000, 0.000000, 2191.593994
90.000000, 0.000000, 2056.375000
105.000000, 0.000000, 1979.640991
120.000000, 0.000000, 1934.078003
135.000000, 0.000000, 1819.062012
150.000000, 0.000000, 1657.133057
165.000000, 0.000000, 1514.171997
180.000000, 0.000000, 1336.109009
195.000000, 0.000000, 1221.241943
210.000000, 0.000000, 1232.750000
225.000000, 0.000000, 1168.265991
240.000000, 0.000000, 1153.515991
255.000000, 0.000000, 1192.711060
0.000000, 15.000000, 1708.555054
15.000000, 15.000000, 1789.671997
30.000000, 15.000000, 1999.180054
45.000000, 15.000000, 2713.647949
60.000000, 15.000000, 2796.391113
75.000000, 15.000000, 2592.156006
90.000000, 15.000000, 2285.031006
105.000000, 15.000000, 2127.039063
120.000000, 15.000000, 1908.491943
135.000000, 15.000000, 1647.500000
150.000000, 15.000000, 1389.444946
165.000000, 15.000000, 1147.453003
180.000000, 15.000000, 1012.382996
195.000000, 15.000000, 935.570313
210.000000, 15.000000, 818.328125
225.000000, 15.000000, 753.164124
240.000000, 15.000000, 871.859375
255.000000, 15.000000, 1003.531006
0.000000, 30.000000, 1795.288940
15.000000, 30.000000, 1869.272949
30.000000, 30.000000, 1849.366943
45.000000, 30.000000, 3144.414063
60.000000, 30.000000, 2884.047119
75.000000, 30.000000, 2599.133057
90.000000, 30.000000, 2334.312012
105.000000, 30.000000, 2057.147949
120.000000, 30.000000, 1810.484009
135.000000, 30.000000, 1528.336060
150.000000, 30.000000, 1148.069946
165.000000, 30.000000, 862.179688
180.000000, 30.000000, 690.226624
195.000000, 30.000000, 547.039124
210.000000, 30.000000, 519.039124
225.000000, 30.000000, 485.335907
240.000000, 30.000000, 644.867188
255.000000, 30.000000, 867.343811
0.000000, 45.000000, 2146.914063
15.000000, 45.000000, 2185.406006
30.000000, 45.000000, 2735.391113
45.000000, 45.000000, 3176.414063
60.000000, 45.000000, 3062.477051
75.000000, 45.000000, 2726.772949
90.000000, 45.000000, 2397.906006
105.000000, 45.000000, 2108.000000
120.000000, 45.000000, 1761.140991
135.000000, 45.000000, 1344.015991
150.000000, 45.000000, 922.921875
165.000000, 45.000000, 594.187500
180.000000, 45.000000, 382.109406
195.000000, 45.000000, 131.554703
210.000000, 45.000000, 68.460938
225.000000, 45.000000, 148.570297
240.000000, 45.000000, 391.093811
255.000000, 45.000000, 647.273376
0.000000, 60.000000, 2143.608887
15.000000, 60.000000, 2345.750000
30.000000, 60.000000, 3021.358887
45.000000, 60.000000, 3193.843994
60.000000, 60.000000, 3056.187988
75.000000, 60.000000, 2806.343994
90.000000, 60.000000, 2446.054932
105.000000, 60.000000, 2122.460938
120.000000, 60.000000, 1760.421997
135.000000, 60.000000, 1192.796997
150.000000, 60.000000, 618.328125
165.000000, 60.000000, 217.476593
180.000000, 60.000000, -61.835941
195.000000, 60.000000, -351.734406
210.000000, 60.000000, -447.578094
225.000000, 60.000000, -345.531189
240.000000, 60.000000, 25.750000
255.000000, 60.000000, 406.898407
0.000000, 75.000000, 2266.906006
15.000000, 75.000000, 2527.516113
30.000000, 75.000000, 3064.937988
45.000000, 75.000000, 2815.397949
60.000000, 75.000000, 2901.937988
75.000000, 75.000000, 2751.093994
90.000000, 75.000000, 2440.866943
105.000000, 75.000000, 2121.164063
120.000000, 75.000000, 1660.366943
135.000000, 75.000000, 1107.890991
150.000000, 75.000000, 531.859375
165.000000, 75.000000, -191.570297
180.000000, 75.000000, -746.851624
195.000000, 75.000000, -1124.727051
210.000000, 75.000000, -1196.062012
225.000000, 75.000000, -896.250000
240.000000, 75.000000, -353.273407
255.000000, 75.000000, 150.539093
0.000000, 90.000000, 2304.304932
15.000000, 90.000000, 2566.891113
30.000000, 90.000000, 2656.914063
45.000000, 90.000000, 2750.195068
60.000000, 90.000000, 2802.843994
75.000000, 90.000000, 2679.625000
90.000000, 90.000000, 2405.022949
105.000000, 90.000000, 2105.343994
120.000000, 90.000000, 1599.461060
135.000000, 90.000000, 973.867188
150.000000, 90.000000, 103.234398
