S3D
I=30,J=34,K=15
0.0, 0.0, 0.0, 0.00342140
0.0, 8.0, 0.0, 0.00349751
0.0, 16.0, 0.0, 0.00447877
0.0, 24.0, 0.0, 0.00513753
0.0, 32.0, 0.0, 0.00562328
0.0, 40.0, 0.0, 0.00545507
0.0, 48.0, 0.0, 0.00519084
0.0, 56.0, 0.0, 0.00643610
0.0, 64.0, 0.0, 0.00746196
0.0, 72.0, 0.0, 0.00784553
0.0, 80.0, 0.0, 0.00736280
0.0, 88.0, 0.0, 0.00670910
0.0, 96.0, 0.0, 0.00704924
0.0, 104.0, 0.0, 0.00809370
0.0, 112.0, 0.0, 0.00825643
0.0, 120.0, 0.0, 0.00837195
0.0, 128.0, 0.0, 0.00838272
0.0, 136.0, 0.0, 0.00870164
0.0, 144.0, 0.0, 0.00917630
0.0, 152.0, 0.0, 0.00984732
0.0, 160.0, 0.0, 0.01023668
0.0, 168.0, 0.0, 0.00980429
0.0, 176.0, 0.0, 0.00933257
0.0, 184.0, 0.0, 0.00963250
0.0, 192.0, 0.0, 0.00928131
0.0, 200.0, 0.0, 0.00815920
0.0, 208.0, 0.0, 0.00740682
0.0, 216.0, 0.0, 0.00820343
0.0, 224.0, 0.0, 0.01048212
0.0, 232.0, 0.0, 0.01263944
0.0, 240.0, 0.0, 0.01304289
0.0, 248.0, 0.0, 0.01380258
0.0, 256.0, 0.0, 0.01545223
0.0, 264.0, 0.0, 0.01624649
8.0, 0.0, 0.0, 0.00342761
8.0, 8.0, 0.0, 0.00348479
8.0, 16.0, 0.0, 0.00485579
8.0, 24.0, 0.0, 0.00434804
8.0, 32.0, 0.0, 0.00188980
8.0, 40.0, 0.0, 0.00238676
8.0, 48.0, 0.0, 0.00413016
8.0, 56.0, 0.0, 0.00539891
8.0, 64.0, 0.0, 0.00686264
8.0, 72.0, 0.0, 0.00763304
8.0, 80.0, 0.0, 0.00604131
8.0, 88.0, 0.0, 0.00685060
8.0, 96.0, 0.0, 0.00662145
8.0, 104.0, 0.0, 0.00576831
8.0, 112.0, 0.0, 0.00590773
8.0, 120.0, 0.0, 0.00731910
8.0, 128.0, 0.0, 0.00697108
8.0, 136.0, 0.0, 0.00571551
8.0, 144.0, 0.0, 0.00643885
8.0, 152.0, 0.0, 0.00702559
8.0, 160.0, 0.0, 0.00688920
8.0, 168.0, 0.0, 0.00823541
8.0, 176.0, 0.0, 0.00863749
8.0, 184.0, 0.0, 0.00957469
8.0, 192.0, 0.0, 0.00973058
8.0, 200.0, 0.0, 0.00936076
8.0, 208.0, 0.0, 0.01041087
8.0, 216.0, 0.0, 0.01216457
8.0, 224.0, 0.0, 0.01360120
8.0, 232.0, 0.0, 0.01368623
8.0, 240.0, 0.0, 0.01475337
8.0, 248.0, 0.0, 0.01580818
8.0, 256.0, 0.0, 0.01708590
8.0, 264.0, 0.0, 0.01731659
16.0, 0.0, 0.0, 0.00339728
16.0, 8.0, 0.0, 0.00350951
16.0, 16.0, 0.0, 0.00390320
16.0, 24.0, 0.0, 0.00350281
16.0, 32.0, 0.0, 0.00173948
16.0, 40.0, 0.0, 0.00209128
16.0, 48.0, 0.0, 0.00249122
16.0, 56.0, 0.0, 0.00471271
16.0, 64.0, 0.0, 0.00598192
16.0, 72.0, 0.0, 0.00518793
16.0, 80.0, 0.0, 0.00553756
16.0, 88.0, 0.0, 0.00636713
16.0, 96.0, 0.0, 0.00592902
16.0, 104.0, 0.0, 0.00555568
16.0, 112.0, 0.0, 0.00693262
16.0, 120.0, 0.0, 0.00588929
16.0, 128.0, 0.0, 0.00594521
16.0, 136.0, 0.0, 0.00665501
16.0, 144.0, 0.0, 0.00696591
16.0, 152.0, 0.0, 0.00759428
16.0, 160.0, 0.0, 0.00672110
16.0, 168.0, 0.0, 0.00794915
16.0, 176.0, 0.0, 0.00947559
16.0, 184.0, 0.0, 0.00941532
16.0, 192.0, 0.0, 0.00945036
16.0, 200.0, 0.0, 0.00989222
16.0, 208.0, 0.0, 0.01127943
16.0, 216.0, 0.0, 0.01089039
16.0, 224.0, 0.0, 0.01148199
16.0, 232.0, 0.0, 0.01271765
16.0, 240.0, 0.0, 0.01303023
16.0, 248.0, 0.0, 0.01536180
16.0, 256.0, 0.0, 0.01704264
16.0, 264.0, 0.0, 0.01733359
24.0, 0.0, 0.0, 0.00317114
24.0, 8.0, 0.0, 0.00325935
24.0, 16.0, 0.0, 0.00290639
24.0, 24.0, 0.0, 0.00316128
24.0, 32.0, 0.0, 0.00154851
24.0, 40.0, 0.0, 0.00197147
24.0, 48.0, 0.0, 0.00220648
24.0, 56.0, 0.0, 0.00385256
24.0, 64.0, 0.0, 0.00511651
24.0, 72.0, 0.0, 0.00524134
24.0, 80.0, 0.0, 0.00509857
24.0, 88.0, 0.0, 0.00683717
24.0, 96.0, 0.0, 0.00494651
24.0, 104.0, 0.0, 0.00482165
24.0, 112.0, 0.0, 0.00500150
24.0, 120.0, 0.0, 0.00473686
24.0, 128.0, 0.0, 0.00544905
